DateTime,AddedIPs,RemovedIPs
1536320910,212,0
1536340638,519,1583
1536362327,334,0
1536383838,307,0
1536405481,658,0
1536427039,454,1956
1536447006,326,0
1536466733,310,0
1536486456,687,0
1536507586,429,1783
1536517247,2,0
1536536852,254,0
1536558638,521,0
1536578300,578,0
1536589061,1,1911
1536610659,400,0
1536630568,328,0
1536652042,655,0
1536673654,497,0
1536695276,321,1589
1536715040,86,0
1536724093,90,0
1536745823,838,0
1536767265,568,1632
1536789030,360,0
1536810447,472,0
1536832103,668,0
1536853672,165,1881
1536875281,344,0
1536896854,372,0
1536918428,796,0
1536940055,852,1877
1536959979,491,0
1536981455,368,0
1537003063,840,0
1537024641,741,1427
1537046256,391,0
1537067829,362,0
1537089652,781,0
1537111038,557,2331
1537132629,136,0
1537148752,287,0
1537168667,445,0
1537190308,888,0
1537211920,371,2044
1537231755,308,0
1537253239,735,0
1537274838,727,0
1537296545,414,2083
1537316323,60,0
1537336038,212,0
1537357610,1078,0
1537379242,519,1808
1537400900,418,0
1537422428,377,0
1537444081,1026,0
1537465613,459,2173
1537485210,392,0
1537505241,431,0
1537526320,190,0
1537546656,769,2059
1537562899,369,0
1537584464,426,0
1537606017,800,0
1537627655,677,2043
1537649351,412,0
1537670852,187,0
1537692423,1134,0
1537714016,231,1716
1537735647,223,0
1537753610,436,0
1537775217,486,0
1537796937,840,0
1537818503,380,1847
1537840042,407,0
1537861677,677,0
1537883451,609,0
1537904947,364,2439
1537926547,155,0
1537948037,675,0
1537969660,341,0
1537991220,559,1854
1538013246,331,0
1538034477,512,0
1538047050,725,0
1538068663,439,1942
1538090355,435,0
1538111844,499,0
1538133444,840,0
1538155098,517,1721
1538175981,414,0
1538196462,11,0
1538218257,779,0
1538239677,710,1826
1538260829,428,0
1538281255,402,0
1538300850,788,0
1538320614,531,1640
1538340461,324,0
1538362138,376,0
1538383610,653,0
1538405317,215,1611
1538425081,450,0
1538446682,391,0
1538466460,480,0
1538488112,415,0
1538509654,670,2051
1538531274,430,0
1538552852,630,0
1538574510,626,0
1538596151,352,2116
1538617860,356,0
1538639263,774,0
1538660846,379,0
1538682507,172,1910
1538704055,375,0
1538725846,334,0
1538747334,788,0
1538768846,479,1963
1538790505,328,0
1538812017,578,0
1538833672,677,0
1538855252,427,1813
1538876817,360,0
1538898396,594,0
1538920003,727,0
1538941868,378,1873
1538961403,251,0
1538983073,40,0
1539004742,1020,0
1539026268,476,1800
1539047937,519,0
1539069425,399,0
1539091023,1120,0
1539112691,354,2017
1539134291,335,0
1539155926,476,0
1539177426,588,0
1539199326,372,1979
1539220632,312,0
1539242237,710,0
1539263885,590,0
1539285597,322,2167
1539307078,155,0
1539328675,44,0
1539350339,1068,0
1539368441,417,1652
1539388249,390,0
1539409657,315,0
1539431218,800,0
1539452875,382,2008
1539474457,407,0
1539496030,528,0
1539517663,741,0
1539539221,453,2011
1539560904,374,0
1539582394,63,0
1539600592,757,0
1539622055,624,1810
1539642771,357,0
1539661664,179,0
1539683251,975,0
1539705048,449,2232
1539726504,395,0
1539748317,311,0
1539769862,869,0
1539791245,432,2160
1539812846,35,0
1539830928,461,0
1539852478,580,0
1539874335,620,2053
1539895702,480,0
1539917295,475,0
1539938862,954,0
1539958654,489,0
1539980352,446,2144
1540002005,178,0
1540023432,1032,0
1540045074,461,0
1540064867,407,1845
1540086441,516,0
1540108046,3,0
1540129635,1223,0
1540147627,536,2270
1540169521,489,0
1540190836,553,0
1540212476,1644,0
1540232359,1315,1927
1540253941,784,0
