DateTime,AddedIPs,RemovedIPs
1544835946,3,1
1544843138,0,1
1544846730,1,2
1544850340,1,0
1544857540,1,3
1544861141,4,1
1544868335,2,1
1544871934,0,1
1544875544,3,1
1544879131,0,1
1544882741,1,3
1544886333,0,1
1544889946,1,2
1544893540,1,2
1544897137,4,2
1544900734,1,2
1544904342,1,0
1544907941,1,1
1544911544,1,2
1544915143,1,2
1544918774,2,1
1544922337,3,1
1544925944,0,2
1544929537,3,2
1544936731,1,0
1544940338,0,1
1544943944,1,0
1544951145,1,0
1544954732,0,1
1544958339,1,1
1544961944,1,0
1544965550,2,0
1544969132,0,3
1544972736,3,2
1544976332,1,1
1544979942,1,5
1544983544,2,1
1544987133,0,1
1544990742,1,1
1544994338,1,2
1544997942,3,0
1545001530,1,1
1545005187,1,2
1545008755,1,2
1545012329,1,1
1545015941,1,0
1545019533,2,0
1545023137,0,2
1545026721,2,3
1545030328,6,5
1545033941,0,1
1545037547,5,0
1545041141,1,1
1545044738,4,2
1545051940,1,4
1545055524,1,2
1545059131,2,2
1545062748,1,0
1545066342,1,1
1545069928,2,1
1545073544,1,1
1545077147,0,1
1545080730,0,1
1545084346,1,1
1545087945,1,2
1545091578,3,1
1545095161,1,1
1545098759,0,1
1545102340,1,2
1545105943,3,1
1545109547,2,1
1545113143,2,2
1545116746,2,2
1545120342,1,0
1545123950,2,2
1545127553,1,1
1545131131,2,4
1545134744,1,2
1545138357,1,2
1545141949,3,1
1545145543,0,1
1545149144,1,0
1545152755,1,1
1545156350,1,2
1545159951,1,0
1545163544,0,1
1545167147,0,1
1545170745,0,1
1545174339,0,4
1545177969,2,1
1545181549,1,0
1545185162,0,1
1545188747,6,0
1545192359,0,1
1545195941,1,1
1545199548,2,0
1545203159,0,1
1545206755,0,1
1545210348,2,2
1545213954,2,2
1545217541,1,0
1545221133,3,1
1545224745,1,3
1545228352,1,2
1545231951,1,1
1545235546,2,1
1545242745,1,1
1545246354,0,2
1545249960,1,2
1545253549,2,1
1545257150,1,0
1545260747,0,1
1545264369,2,1
1545267963,0,1
1545271556,2,0
1545278747,1,3
1545282352,2,0
1545285943,0,5
1545289533,3,1
1545293150,2,1
1545296749,2,0
1545300346,0,1
1545303952,1,0
1545307558,2,1
1545311152,2,1
1545314757,0,2
1545321948,0,1
1545325545,1,1
1545332748,1,0
1545336341,0,2
1545339958,1,4
1545343551,3,2
1545350787,2,3
1545354345,1,0
1545357949,2,1
1545361547,0,1
1545365151,2,1
1545368751,2,3
1545372346,0,1
1545375937,5,1
1545379551,2,1
1545383162,0,3
1545386753,4,1
1545390359,1,0
1545393951,1,1
1545397536,1,2
1545401151,1,2
1545404754,2,1
1545408348,1,1
1545411949,2,2
1545415550,0,2
1545419162,2,0
1545422751,1,1
1545426338,0,1
1545429947,0,2
1545433558,2,1
1545437173,2,2
1545440760,1,1
1545444341,1,0
1545447956,2,2
1545451546,1,0
1545455154,2,2
1545458756,1,0
1545462351,0,3
1545465943,1,2
1545469538,1,2
1545473148,1,3
1545476749,2,0
1545480357,1,1
1545483958,1,1
1545487529,3,0
1545491130,1,2
1545498348,0,1
1545501954,3,0
1545505555,0,1
1545509160,3,2
1545512746,0,2
1545516347,1,1
1545519940,2,3
1545523579,3,2
1545527136,1,0
1545530749,1,1
1545534333,1,2
1545537949,0,1
1545548740,0,1
1545552341,1,1
1545555934,2,0
1545559537,2,3
1545563133,3,0
1545566742,0,1
1545570343,1,2
1545573930,1,1
1545577538,1,1
1545581137,2,1
1545584741,0,1
1545588335,2,1
1545591940,1,0
1545595533,1,1
1545599142,0,2
1545602747,1,0
1545609972,0,3
1545613550,2,1
1545617132,2,3
1545620743,1,3
1545624334,2,0
1545627946,3,1
1545631545,1,0
1545635154,0,2
1545638739,0,1
1545642342,1,1
1545645943,2,1
1545653146,1,0
1545656731,1,0
1545660340,0,2
1545663927,1,1
1545667540,2,2
1545671134,3,1
1545674746,2,1
1545678346,0,1
1545681938,1,1
1545685540,0,1
1545689141,1,1
1545692747,0,1
1545696385,1,2
1545699952,2,1
1545703548,1,1
1545710750,0,1
1545714341,1,2
1545717943,1,1
1545725149,1,1
1545732349,0,2
1545735945,4,0
1545739545,1,1
1545743136,2,0
1545750334,1,1
1545753932,1,1
1545757552,0,2
