DateTime,AddedIPs,RemovedIPs
1540886788,0,3
1540890377,9,0
1540912012,0,2
1540922784,2,2
1540926376,1,0
1540933635,0,1
1540937191,0,3
1540940780,3,1
1540944397,2,1
1540947998,1,1
1540951598,1,0
1540958784,0,1
1540962399,0,6
1540966001,4,4
1540969594,1,1
1540973192,2,1
1540976780,3,1
1540980394,0,5
1540984007,1,1
1540987587,6,1
1540991181,2,0
1540994788,3,0
1541012792,2,0
1541023582,0,3
1541027171,2,3
1541030805,6,0
1541034399,4,0
1541037991,1,0
1541041583,1,0
1541045183,1,0
1541048781,3,0
1541052394,0,2
1541055992,1,4
1541059617,0,1
1541066780,0,1
1541070379,0,2
1541074027,1,3
1541077591,2,2
1541081192,4,0
1541106394,0,2
1541110002,1,0
1541120788,0,2
1541124392,0,2
1541127985,1,1
1541131599,3,1
1541135189,9,0
1541138788,0,3
1541142382,0,3
1541145984,2,0
1541149592,0,2
1541153195,2,1
1541156788,0,1
1541160381,2,1
1541178391,0,9
1541181983,7,0
1541185588,1,0
1541189182,1,1
1541196396,2,4
1541199998,2,5
1541203603,7,3
1541207198,1,0
1541210780,0,2
1541214384,2,6
1541217989,1,0
1541221574,0,1
1541228780,0,1
1541232367,1,0
1541235985,0,1
1541246782,0,1
1541250388,1,0
1541286383,0,1
1541290021,4,0
1541297185,1,0
1541300786,0,1
1541304378,0,3
1541311595,0,1
1541315196,0,5
1541325991,0,1
1541340383,1,0
1541372794,1,0
1541376424,5,0
1541383581,1,1
1541387178,1,1
1541394384,1,0
1541397977,1,2
1541401582,0,3
1541405183,1,2
1541408770,0,1
1541412371,1,3
1541416001,0,1
1541419590,4,0
1541423205,0,1
1541426786,1,0
1541430385,1,2
1541433996,5,1
1541437567,1,1
1541441180,2,0
1541444785,1,1
1541448381,3,1
1541451991,1,3
1541455590,3,4
1541459166,5,2
1541462817,5,1
1541466382,1,2
1541469988,1,2
1541473573,0,8
1541477164,8,3
1541480771,1,0
1541484390,1,1
1541487963,1,5
1541516788,0,2
1541520360,2,0
1541545588,0,2
1541549221,1,0
1541552814,2,0
1541563594,0,1
1541567164,0,1
1541574377,1,0
1541585182,0,1
1541588780,1,1
1541592380,1,0
1541635609,0,1
1541639190,1,0
1541646387,0,1
1541653583,0,5
1541657193,1,1
1541660793,1,2
1541671606,0,1
1541675176,2,0
1541689581,0,1
1541703985,0,3
1541707591,4,0
1541711188,1,0
1541714773,6,0
1541721995,5,0
1541736376,3,3
1541739982,5,2
1541743577,1,0
1541747172,0,9
1541750789,0,4
1541754388,1,8
1541757975,5,2
1541761583,5,3
1541765181,3,0
1541768774,5,0
1541772386,0,1
1541775997,2,1
1541779579,2,0
1541783180,1,1
1541790382,1,1
1541793990,0,7
1541797578,0,3
1541801177,2,0
1541804772,7,1
1541811969,1,0
1541819174,0,5
1541844374,0,6
1541847986,3,1
1541855173,1,1
1541858777,2,1
1541862397,0,5
1541865965,2,0
1541869578,5,0
1541873188,0,1
1541876783,2,0
1541894813,1,0
1541909178,0,1
1541912787,0,4
1541916387,3,0
1541919980,1,0
1541934385,0,3
1541937983,2,2
1541941581,0,2
1541945172,1,0
1541948774,2,0
1541952397,1,0
1541955991,1,0
1541966783,0,1
1541973978,0,1
1541977581,2,0
1541988393,0,3
1541995582,0,1
1542002777,0,1
1542017180,0,1
1542027986,1,0
1542060387,0,1
1542067620,7,0
1542081980,7,1
1542085575,2,5
1542092799,0,3
1542099983,0,1
1542107179,0,2
1542110790,0,6
1542121586,0,1
1542125188,9,2
1542128783,1,0
1542132383,2,0
1542135981,1,0
1542139590,1,0
1542143186,0,1
1542146783,0,1
1542150383,0,1
1542154012,0,3
1542157569,1,0
1542164775,0,5
1542215180,0,1
1542218779,1,0
1542222377,5,0
1542225977,2,0
1542229582,3,1
1542233167,5,0
1542254781,0,1
1542258384,1,0
1542272789,0,10
1542276383,5,1
1542279975,6,0
1542297989,0,2
1542301583,1,0
1542305176,2,0
1542315983,0,1
1542341228,5,0
1542344827,0,1
1542351968,0,9
1542359171,0,2
1542362776,0,1
1542366368,4,0
1542413214,2,2
1542416770,5,0
1542427584,1,0
1542474371,0,3
1542477983,2,0
1542481571,1,0
1542506779,2,0
1542510411,0,7
1542521186,0,2
1542643576,0,2
1542647167,2,0
1542672391,0,5
1542675983,5,0
1542686785,5,0
1542693971,0,9
1542697581,0,2
1542722776,0,1
1542726381,1,0
1542737167,4,0
1542740772,2,0
1542744372,1,0
1542758814,5,0
1542762388,2,0
1542769588,0,2
1542773188,2,0
1542783986,1,0
1542794796,0,3
1542798376,3,1
1542834419,0,2
1542838000,2,0
1542848785,0,2
1542852394,1,8
1542855980,2,0
1543032376,2,0
1543039580,0,1
1543043165,1,0
1543046769,0,2
1543104416,4,0
1543107984,2,0
1543115189,2,0
1543118782,1,0
1543129596,0,2
1543133190,0,1
1543197967,0,2
1543201582,0,11
1543205168,2,0
1543208762,7,0
1543212389,0,2
1543215984,0,6
1543219577,0,1
1543251981,6,0
1543255577,8,0
1543291571,4,0
1543295178,3,0
1543302377,0,8
1543305980,1,0
1543341984,0,1
1543352783,1,0
1543363613,6,0
1543377982,0,7
1543381594,3,4
1543385190,4,0
1543388799,0,2
1543514795,0,3
1543518375,3,0
1543547181,0,8
1543550777,8,1
1543557975,0,1
1543561581,0,6
1543622790,6,0
1543647988,0,6
1543719997,1,0
1543727185,3,0
1543730778,1,0
1543734392,2,1
1543737977,0,2
1543741592,2,1
1543745183,0,2
1543748777,1,0
1543755984,1,0
1543759590,0,1
1543770381,0,1
1543773988,1,0
1543788392,0,1
1543802777,0,1
1543806370,0,9
1543863960,5,0
1543867576,1,0
1543871177,5,0
1543874776,3,0
1543889178,1,0
1543896376,5,0
1543899985,0,2
1543903576,0,2
1543907180,0,8
1543935981,0,1
1543939576,1,0
1543968432,3,2
1543971982,5,0
1543975587,1,0
1543979195,1,0
1543989974,0,1
1543993580,0,1
1544018784,0,1
1544029611,0,4
1544033182,5,0
1544054828,1,0
1544058391,0,1
1544065580,0,6
1544069170,0,1
1544112385,0,2
1544115986,0,1
1544119583,3,2
1544126778,2,0
1544141664,0,1
1544144781,1,0
1544155591,3,0
1544159157,6,0
1544162784,0,1
1544166368,0,8
1544180774,0,1
1544184379,1,0
1544209570,0,1
1544216777,1,1
1544223980,1,0
1544252772,0,6
1544267181,2,0
1544281583,0,2
1544314005,3,0
1544317594,2,0
1544321177,1,0
1544411185,0,8
1544465174,0,2
1544468774,1,3
1544472382,6,0
1544475987,4,1
1544486813,1,1
1544490382,2,0
1544497583,0,1
1544501179,7,1
1544504784,4,0
1544508380,0,8
1544511972,0,2
1544558787,0,1
1544562379,1,0
1544587576,0,2
1544591176,0,1
1544594785,0,1
1544598393,0,2
1544659606,6,0
1544677600,1,2
1544681178,2,0
1544684779,0,1
1544720777,0,1
1544724378,1,0
1544735161,0,5
1544738761,5,0
1544742368,4,0
1544749578,2,0
1544753168,1,1
1544756777,0,5
1544760375,0,1
1544763961,9,1
1544771164,2,9
1544933177,0,1
1544940361,0,5
1545005230,3,0
1545008797,1,0
1545012363,1,0
1545037584,2,0
1545051979,0,2
1545102373,0,7
1545105977,7,0
1545109580,1,0
1545116780,1,9
1545152789,0,1
1545156375,1,0
1545181582,8,0
1545188780,6,0
1545195974,0,2
1545203192,2,0
1545282381,0,2
1545289567,0,4
1545350828,8,0
1545361580,4,0
1545393994,0,1
1545397571,1,0
1545401190,0,2
1545404793,1,0
1545408383,0,1
1545411988,2,0
1545415586,0,1
1545419203,1,2
1545426373,2,0
1545444370,0,1
1545447984,0,6
1545591973,0,1
1545595565,1,0
1545631580,0,1
1545635187,0,4
1545696422,11,0
1545699993,1,0
1545710786,3,0
1545714380,1,0
1545717979,3,0
1545721585,1,6
1545732385,0,3
1545739582,1,0
1545771978,0,1
1545775586,1,0
1545789977,0,3
1545793591,0,4
1545879987,1,0
1545883583,1,0
1545948388,1,2
1545955615,2,1
1545959188,1,0
1545969967,3,0
1545977180,0,9
1546002376,0,1
1546005974,1,0
1546027591,0,1
1546031177,1,0
1546042014,9,0
1546135584,0,5
1546139185,0,2
1546203981,1,0
1546232795,0,3
1546236377,2,0
1546239990,1,0
1546301208,7,0
1546304803,3,0
1546337193,0,1
1546340796,1,0
1546394794,2,0
1546401988,3,0
1546405601,2,2
1546409190,1,2
1546412789,3,12
1546416359,1,0
1546419986,0,1
1546423591,0,1
1546448777,1,0
1546452379,4,4
1546455991,12,0
1546459586,3,0
1546474014,0,1
1546477580,1,2
1546481187,1,2
1546484780,0,5
1546502773,1,0
1546506374,0,1
1546535171,1,0
1546542375,0,2
1546549571,1,0
1546553163,1,0
1546567584,0,10
1546571194,9,3
1546574770,0,4
1546578381,2,0
1546585575,0,1
1546592790,1,2
1546599979,2,0
1546614369,0,1
1546621567,1,5
1546625180,5,0
1546646820,6,0
1546650368,2,0
1546657580,1,0
1546661192,1,0
1546740366,0,3
1546743980,0,10
1546754772,0,2
1546758379,2,0
