DateTime,AddedIPs,RemovedIPs
1532354641,0,2
1532358237,1,1
1532365446,0,2
1532369041,2,0
1532390619,1,0
1532423031,0,1
1532426649,0,1
1532430225,1,0
1532433840,1,1
1532441034,1,1
1532444638,1,0
1532448228,0,2
1532451834,2,0
1532459044,0,1
1532462660,1,0
1532466231,0,1
1532473448,1,0
1532491451,0,1
1532495030,1,0
1532509439,0,2
1532516648,2,0
1532520235,0,1
1532527446,1,0
1532549042,0,1
1532559848,0,1
1532563422,2,0
1532588648,0,2
1532592249,2,0
1532595850,0,1
1532599448,2,0
1532603050,0,1
1532606653,1,0
1532689441,0,1
1532693043,1,0
1532711049,0,1
1532714637,0,1
1532718248,1,2
1532725433,2,0
1532729055,0,1
1532736262,1,0
1532747047,0,1
1532750659,0,1
1532754245,2,1
1532757850,1,0
1532790244,0,1
1532793837,1,0
1532891048,0,1
1532894673,0,4
1532898252,5,0
1532937851,0,1
1532941445,1,0
1532988258,0,1
1532991876,1,0
1533035049,0,1
1533053074,0,1
1533060247,1,0
1533063866,0,1
1533067463,1,1
1533071060,1,0
1533074660,0,1
1533078251,1,0
1533085460,0,2
1533089069,2,0
1533092656,0,1
1533096258,1,0
1533107051,0,1
1533110672,1,0
1533117861,0,1
1533128656,1,0
1533164671,0,1
1533168265,1,0
1533182650,0,2
1533189854,2,0
1533193471,0,1
1533197065,1,0
1533200661,0,1
1533204239,1,0
1533211445,0,1
1533215068,1,0
1533287034,0,2
1533290637,2,0
1533301436,0,1
1533305042,1,0
1533333907,0,1
1533337439,1,0
1533351844,0,1
1533355436,0,1
1533359047,0,1
1533362657,2,0
1533377051,0,1
1533387849,1,0
1533391448,0,3
1533395028,3,0
1533420244,0,1
1533423849,1,0
1533459842,0,1
1533463433,1,0
1533481453,0,1
1533485032,1,0
1533499440,0,3
1533503054,3,0
1533585850,0,1
1533593034,1,0
1533629061,0,1
1533636249,0,1
1533643446,2,1
1533654259,0,2
1533657858,2,0
1533661444,1,0
1533665052,0,3
1533668653,0,1
1533672255,4,2
1533675847,2,0
1533737062,0,2
1533740681,1,1
1533744265,1,0
1533751470,1,0
1533798251,0,1
1533801871,1,0
1533805460,0,3
1533809061,1,1
1533812667,1,0
1533816259,2,0
1533837851,0,1
1533841458,1,0
1533967490,0,1
1533974675,1,0
1533989082,0,1
1533992695,1,0
1534046674,0,1
1534050287,1,0
1534147460,0,1
1534151060,1,0
1534172661,0,1
1534187050,1,0
1534226668,1,0
1534266271,0,1
1534273474,1,0
1534295061,0,2
1534439039,0,1
1534442663,1,0
1534475047,0,1
1534485869,1,0
1534640683,0,1
1534647879,1,0
1534691085,0,1
1534734288,1,0
1534763073,0,1
1534781079,1,0
1534802688,0,1
1534806281,1,0
1534820681,0,1
1534824289,1,1
1534835085,1,0
1534853091,0,1
1534860284,1,0
1534896299,1,0
1534907071,0,2
1534982713,1,0
1535004256,0,1
1535007853,1,0
1535033049,1,0
1535241800,1,0
1535256200,0,1
1535281459,1,0
1535295851,0,2
