DateTime,AddedIPs,RemovedIPs
1535961672,0,2
1535972474,2,0
1535986873,0,2
1536022885,2,0
1536066090,0,2
1536069677,2,1
1536076878,1,0
1536084084,0,2
1536087685,2,0
1536109278,0,2
1536116478,2,0
1536134475,0,2
1536152483,2,0
1536166880,0,2
1536199280,2,0
1536246088,0,2
1536256882,2,0
1536274879,0,3
1536278478,1,0
1536310879,2,1
1536314480,1,0
1536328885,0,2
1536332484,2,0
1536336087,0,1
1536339679,1,0
1536346881,0,2
1536372087,2,0
1536386482,3,0
1536397276,0,1
1536404484,0,2
1536490872,2,0
1536501673,0,3
1536508877,0,2
1536516072,2,0
1536519671,3,0
1536541272,0,2
1536552074,2,0
1536566471,0,2
1536613280,2,0
1536627690,0,2
1536634889,3,0
1536638480,0,3
1536642079,3,0
1536649279,0,3
1536656483,2,0
1536678078,0,2
1536685287,2,0
1536699678,0,2
1536703284,2,0
1536739279,0,2
1536775281,2,0
1536778888,0,3
1536782478,3,0
1536789679,0,2
1536796888,1,0
1536800477,2,0
1536814878,0,1
1536818482,1,0
1536829278,0,2
1536832880,0,1
1536836479,2,0
1536847279,1,0
1536854482,0,2
1536861687,0,1
1536876078,2,0
1536890483,1,2
1536894079,2,0
1536904888,0,1
1536908479,0,2
1536926487,2,0
1536955277,0,2
1536962477,2,0
1536976879,0,2
1536994879,3,0
1537016479,0,3
1537045277,3,0
1537059673,0,1
1537066874,0,2
1537084872,2,0
1537099274,0,2
1537128072,2,0
1537135277,0,3
1537146073,3,0
1537153282,0,2
1537156874,2,0
1537171271,0,2
1537178478,0,3
1537182075,5,0
1537196471,0,2
1537232479,1,0
1537239680,4,0
1537254079,0,4
1537261277,4,0
1537275681,0,5
1537304478,3,0
1537333281,0,3
1537340479,2,0
1537369277,0,3
1537372889,3,0
1537380078,0,2
1537387286,0,3
1537390886,3,0
1537412487,2,0
1537416078,0,3
1537423279,3,0
1537430484,0,2
1537477276,2,0
1537491680,0,2
1537538490,1,0
1537549283,2,0
1537552880,0,1
1537556477,0,3
1537570879,0,2
1537574479,3,0
1537578076,2,0
1537617678,0,2
1537624887,2,0
1537628481,1,0
1537657276,0,1
1537660886,0,2
1537668071,2,0
1537689682,0,2
1537696872,2,0
1537700473,1,0
1537711272,0,3
1537714880,0,3
1537718472,3,0
1537779681,1,0
1537790476,3,0
1537797673,0,1
1537812071,0,3
1537819272,3,3
1537833640,0,3
1537837280,3,0
1537869677,3,0
1537909280,0,3
1537916488,3,0
1537927277,0,3
1537934483,0,3
1537938079,6,0
1537970481,0,3
1537984876,3,0
1538002889,0,3
1538006479,3,0
1538020881,0,3
1538028090,3,0
1538035277,0,3
1538053279,3,0
1538056879,0,3
1538060479,3,0
1538074882,0,3
1538096493,3,0
1538110881,0,3
1538132482,3,0
1538157684,0,3
1538168486,3,0
1538193685,0,3
1538197281,3,0
1538222483,0,3
1538226078,1,0
1538233291,3,0
1538244095,0,1
1538262081,0,3
1538308882,3,0
1538326878,0,3
1538370087,2,0
1538395278,0,2
1538420489,2,0
1538442084,0,3
1538445678,0,2
1538452880,3,0
1538474481,1,0
1538485279,0,3
1538488886,2,1
1538499678,3,0
1538517690,0,2
1538550073,0,3
1538553672,5,0
1538571673,0,2
1538582480,2,0
1538586081,0,3
1538589672,3,0
1538607684,0,2
1538618488,2,0
1538632889,0,2
1538640080,0,3
1538643678,3,0
1538647289,2,0
1538661680,0,2
1538676090,2,0
1538690479,0,2
1538715678,2,0
1538737288,0,2
1538751687,2,0
1538766077,0,2
1538784081,0,3
1538798482,3,0
1538809279,2,0
1538823679,0,2
1538845282,2,0
1538870484,0,2
