DateTime,AddedIPs,RemovedIPs
1545783880,11,414
1545785783,11,365
1545787719,12,408
1545789668,15,443
1545791543,7,400
1545793493,8,471
1545795374,13,102
1545797582,8,12
1545799486,10,6
1545801410,14,10
1545803301,6,8
1545805229,11,8
1545807154,6,7
1545809051,10,8
1545811335,13,7
1545813145,14,323
1545815090,10,13
1545817006,5,587
1545819146,12,288
1545821075,15,10
1545823228,19,8
1545825174,7,14
1545827058,6,10
1545829007,10,6
1545830890,10,5
1545832832,10,13
1545834769,6,60
1545836675,6,20
1545838835,10,24
1545840785,15,32
1545843160,16,506
1545845049,17,753
1545847278,15,426
1545849143,27,31
1545851064,26,44
1545852978,28,39
1545854918,18,51
1545856820,17,83
1545858760,10,26
1545860663,11,26
1545862593,13,28
1545864506,13,22
1545866410,14,22
1545868345,6,21
1545870249,12,17
1545872198,10,15
1545874100,7,22
1545876272,9,17
1545878201,14,14
1545880097,3,14
1545882258,9,25
1545884069,1676,13
1545885879,1925,8
1545887774,1910,18
1545889938,2686,10
1545891860,2307,10
1545893790,522,5
1545896045,113,7
1545897863,8,12
1545899800,41,11
1545901695,20,7
1545903614,6,10
1545905565,27,11
1545907707,7,14
1545909640,9,12
1545911546,2,11
1545913484,3,3
1545915367,6,9
1545917545,5,5
1545919480,3,12
1545921382,6,7
1545923332,4,8
1545925232,7,9
1545927407,5,15
1545929304,7,16
1545931223,7,18
1545933154,10,11
1545935051,10,16
1545936994,4,9
1545938888,7,12
1545940837,11,15
1545942764,10,13
1545944929,6,16
1545946813,7,9
1545948741,4,12
1545950687,6,8
1545952591,3,13
1545954525,6,10
1545956439,11,5
1545958344,3,8
1545960303,9,8
1545963383,7,22
1545965540,3,1
1545967474,7,3
1545969658,11,765
1545971784,4,2383
1545973699,8,1815
1545975616,10,2441
1545977534,2,2090
1545979470,11,1514
1545981373,12,42
1545983554,16,56
1545985455,12,22
1545987391,74,6
1545989539,83,68
1545991489,35,46
1545993367,10,11
1545995320,5,8
1545997223,13,9
1545999136,9,9
1546001076,13,7
1546003245,22,12
1546005154,18,5
1546007057,18,4
1546009008,16,8
1546010896,16,1
1546013780,13,10
1546015966,16,11
1546017862,33,9
1546019770,51,6
1546021988,85,14
1546023879,52,6
1546026042,43,13
1546027943,36,15
1546029853,46,11
1546031783,41,11
1546033957,30,8
1546035850,24,10
1546037770,53,8
1546039966,24,8
1546041857,9,15
1546044026,13,9
1546046180,11,5
1546048412,9,14
1546050263,8,10
1546052174,9,6
1546054348,15,8
1546056276,6,10
1546058434,5,7
1546060357,13,11
1546062267,6,7
1546064445,11,7
1546066362,10,10
1546068258,11,6
1546071372,17,10
1546073298,66,5
1546075220,21,6
1546077135,451,7
1546079051,524,7
1546080969,491,8
1546082889,6,2
1546084836,7,10
1546086757,13,7
1546088653,8,14
1546090567,10,13
1546092521,10,12
1546094415,12,17
1546096581,25,11
1546098736,17,10
1546100677,11,13
1546102584,13,13
1546104495,20,21
1546106475,16,36
1546108359,27,57
1546110525,62,61
1546112420,34,26
1546114332,38,29
1546116276,36,25
1546118179,27,18
1546120094,73,21
1546122036,18,18
1546123934,14,35
1546125879,11,13
1546128049,10,10
1546129958,11,7
1546131868,17,11
1546133812,7,7
1546135730,6,8
1546137629,6,14
1546139534,14,6
1546141471,9,8
1546143658,9,11
1546145561,7,13
1546147479,6,6
1546150574,10,142
1546152502,21,13
1546154442,6,14
1546156348,14,15
1546158281,17,6
1546160270,17,63
1546162347,13,11
1546164256,14,7
1546166169,16,5
1546168093,7,7
1546170042,10,9
1546171960,5,425
1546173854,112,522
1546175849,278,478
1546177942,16,13
1546179852,3,12
1546181792,1341,15
1546183696,145,16
1546185624,158,13
1546187542,8,12
1546189482,9,13
1546191614,13,22
1546193533,11,20
1546195474,14,47
1546197393,23,39
1546199296,33,28
1546201212,23,31
1546203171,6,38
1546205054,9,30
1546206996,54,82
1546208919,6,19
1546210842,11,14
1546212766,3,14
1546214660,13,7
1546216609,11,11
1546218504,137,25
1546220417,47,8
1546222357,14,9
1546224269,4,14
1546226425,11,14
1546228368,7,9
1546230263,8,13
1546232195,3,11
1546234342,13,11
1546236275,13,6
1546238448,17,17
1546240361,10,12
1546242267,14,18
1546244182,7,19
1546246117,9,22
1546248036,8,18
1546249933,16,16
1546251876,57,24
1546253775,56,16
1546255941,57,19
1546257884,33,12
1546259774,17,14
1546261936,17,365
1546263864,37,16
1546265800,44,13
1546267686,16,811
1546269611,928,454
1546271533,300,346
1546273449,10,10
1546275399,18,6
1546277290,24,11
1546279464,26,10
1546281625,19,18
1546283530,20,18
1546285484,16,17
1546287381,26,18
1546289536,20,7
1546291453,16,8
1546293388,9,11
1546295289,10,8
1546297263,9,13
1546299133,4,8
1546301327,6,11
1546303245,8,10
1546305382,5,104
1546307567,4,16
1546309462,9,7
1546312601,12,14
1546314498,12,6
1546316416,6,10
1546318337,136,5
1546320277,8,9
1546322171,55,7
1546324338,130,19
1546326261,156,11
1546328195,82,8
1546330345,27,10
1546332253,14,4
1546334219,10,9
1546336339,13,9
1546338287,11,36
1546340170,24,47
1546342098,31,45
1546344044,87,27
1546345939,30,18
1546347880,28,14
1546349770,25,21
1546351945,28,15
1546353862,22,11
1546355798,20,18
1546357692,25,24
1546359643,17,7
1546361539,10,11
1546363454,12,557
1546365397,10,391
1546367295,51,12
1546370442,28,29
1546372354,16,32
1546374271,28,14
1546376171,21,12
1546378364,19,11
1546380267,16,12
1546382190,18,7
1546384113,9,8
1546386018,12,6
1546388202,742,7
1546390337,1048,12
1546392286,786,81
1546394183,931,4
1546396092,919,7
1546398029,4,9
1546399941,5,7
1546401876,8,5
1546403775,11,116
1546405704,8,22
1546407615,6,25
1546409781,6,58
1546411938,6,59
1546413850,15,39
1546415817,10,42
1546417691,10,16
1546419661,21,12
1546421556,17,12
1546423481,9,12
1546425404,7,25
1546427313,27,19
1546429240,23,25
1546431151,477,120
1546433051,23,20
1546435003,15,16
1546436912,14,26
1546438825,14,19
1546440755,20,33
1546442664,28,15
1546444572,30,12
1546446505,45,16
1546448453,38,8
1546450337,14,12
1546452275,14,15
1546454201,15,10
1546456112,17,18
1546458259,72,15
1546460446,14,33
1546462327,1,56
1546464251,6,11
1546466178,18,14
1546468345,22,9
1546470287,23,12
1546472420,12,10
1546474363,22,590
1546476290,15,1043
1546478457,90,802
1546480341,5,928
1546482516,11,1053
1546485649,17,8
1546487555,19,9
1546489485,6,9
1546491411,2,8
1546493298,2,9
1546495098,11,4
1546497166,14,18
1546499074,25,60
1546500998,15,14
1546502895,12,17
1546504849,5,11
1546506731,11,18
1546508676,14,15
1546510589,8,11
1546512517,17,10
1546514414,11,24
1546516340,17,32
1546518252,16,572
1546520199,33,25
1546522363,136,18
1546524527,31,27
1546526420,38,17
1546528368,19,60
1546530263,15,35
1546532209,10,37
1546534373,44,48
1546536264,22,24
1546538190,22,18
1546540349,24,12
1546542285,25,24
1546544204,852,72
1546546348,796,14
1546548260,792,7
1546550214,948,6
1546552096,866,20
1546554030,903,15
1546555957,158,25
1546557856,20,11
1546560089,23,16
1546561947,9,15
1546563879,15,11
1546565787,9,63
1546567716,26,5
1546569612,4,14
1546571551,24,6
1546573477,35,15
1546575636,15,12
1546577574,11,2
1546579459,15,4
1546581402,8,12
1546583297,5,40
1546585314,18,64
1546587182,13,16
1546589066,10,38
1546590998,8,5
1546592904,7,12
1546594820,11,15
1546596784,5,11
1546598693,8,20
1546600580,27,24
1546602518,8,27
1546604432,9,27
1546606393,8,51
1546608279,10,189
1546610173,10,36
1546612116,8,45
1546614271,84,29
1546616445,140,22
1546618586,9,15
1546620783,11,52
1546622680,29,26
1546624604,13,26
1546626498,11,38
1546628488,12,42
1546630608,9,919
