DateTime,AddedIPs,RemovedIPs
1545781983,4,5
1545783881,5,8
1545785784,2,4
1545787720,5,5
1545789679,2,2
1545791543,1,2
1545793494,2,4
1545795375,3,3
1545797582,2,4
1545799487,3,1
1545801410,4,3
1545803302,4,9
1545805230,1,1
1545807155,4,1
1545809052,2,3
1545811338,2,4
1545813145,2,10
1545815090,2,3
1545817007,4,9
1545819147,6,5
1545821077,5,2
1545823229,5,3
1545825174,4,5
1545827059,3,2
1545829007,2,4
1545830890,3,2
1545832843,4,2
1545834770,4,6
1545836685,5,4
1545838836,2,6
1545840786,1,2
1545843161,3,3
1545845050,3,2
1545847284,3,9
1545849143,4,4
1545851065,8,3
1545852979,2,6
1545854918,4,4
1545856821,6,0
1545858760,4,5
1545860663,1,2
1545862595,2,2
1545864506,6,3
1545866411,3,6
1545868346,4,3
1545870249,2,5
1545872199,7,2
1545874100,3,5
1545876272,0,2
1545878202,0,2
1545880097,2,1
1545882259,3,4
1545884069,2,1
1545885879,3,3
1545887775,5,5
1545889939,2,4
1545891860,6,2
1545893791,9,4
1545896046,7,2
1545897864,2,2
1545899800,1,7
1545901696,2,0
1545903614,1,4
1545905566,2,5
1545907707,18,5
1545909640,3,5
1545911547,1,4
1545913485,3,3
1545915368,2,2
1545917546,3,2
1545919480,2,7
1545921383,2,2
1545923333,0,5
1545925233,3,2
1545927408,5,1
1545929304,2,2
1545931225,3,2
1545933155,0,2
1545935052,0,6
1545936995,6,11
1545938889,5,2
1545940853,0,2
1545942764,2,6
1545944929,3,5
1545946813,2,1
1545948753,7,2
1545950688,4,5
1545952591,5,5
1545954526,8,2
1545956440,2,3
1545958344,1,4
1545960304,2,2
1545963384,5,0
1545965541,2,0
1545967475,2,3
1545970862,8,5
1545972747,1,3
1545974674,3,3
1545976854,2,1
1545978759,1,5
1545980925,2,6
1545983081,2,4
1545984995,11,3
1545987156,3,4
1545989072,3,1
1545990969,1,2
1545993161,2,3
1545995065,4,1
1545996979,9,1
1545998914,2,0
1546000809,1,3
1546002773,0,3
1546004678,5,2
1546006843,2,4
1546008747,3,0
1546010653,1,1
1546013780,6,6
1546015966,2,0
1546017862,2,5
1546019771,2,1
1546021989,6,1
1546023880,1,5
1546026042,3,1
1546027944,4,1
1546029854,0,2
1546031783,3,3
1546033958,2,4
1546035850,2,5
1546037770,7,4
1546039966,2,14
1546041858,5,7
1546044027,3,0
1546046180,1,3
1546048412,3,4
1546050263,2,3
1546052175,0,3
1546054349,1,0
1546056277,2,4
1546058434,1,3
1546060357,0,2
1546062267,3,2
1546064445,3,0
1546066362,4,3
1546068258,4,1
1546071373,4,12
1546073298,5,3
1546075220,17,3
1546077136,6,3
1546079052,7,3
1546080969,2,1
1546082890,5,8
1546084840,2,2
1546086758,2,4
1546088653,5,18
1546090567,22,3
1546092522,1,5
1546094415,2,3
1546096581,5,0
1546098737,4,5
1546100678,5,2
1546102584,3,1
1546104495,1,3
1546106481,5,2
1546108360,4,6
1546110525,8,4
1546112421,6,3
1546114333,3,3
1546116277,4,0
1546118180,2,4
1546120095,9,3
1546122037,4,1
1546123934,1,8
1546125879,5,1
1546128056,11,5
1546129959,4,0
1546131876,3,1
1546133813,7,3
1546135731,2,0
1546137630,4,1
1546139535,2,0
1546141472,2,2
1546143658,5,1
1546145562,6,1
1546147480,2,1
1546150575,8,3
1546152503,2,5
1546154442,1,4
1546156349,1,3
1546158282,2,2
1546160270,3,6
1546162347,7,15
1546164257,2,7
1546166170,1,7
1546168093,1,3
1546170042,8,5
1546171960,1,0
1546173855,3,4
1546175849,1,5
1546177943,4,2
1546179853,2,2
1546181793,7,5
1546183709,6,4
1546185638,4,1
1546187542,8,5
1546189491,3,3
1546191614,7,1
1546193534,1,8
1546195474,5,5
1546197393,5,7
1546199296,4,2
1546201213,3,5
1546203172,3,4
1546205054,7,5
1546206997,4,6
1546208920,4,4
1546210848,5,1
1546212767,6,8
1546214661,4,9
1546216610,2,2
1546218504,7,3
1546220417,4,5
1546222365,4,2
1546224270,3,2
1546226426,5,1
1546228369,4,3
1546230263,5,7
1546232201,2,3
1546234343,1,2
1546236276,4,6
1546238449,4,3
1546240362,2,1
1546242268,1,0
1546244182,2,5
1546246117,4,2
1546248037,4,6
1546249934,4,5
1546251877,4,1
1546253776,2,0
1546255942,4,6
1546257885,8,26
1546259775,1,3
1546261937,5,1
1546263864,1,3
1546265801,5,1
1546267687,5,7
1546269612,1,5
1546271534,4,3
1546273450,7,9
1546275400,0,4
1546277291,3,5
1546279465,4,3
1546281626,5,4
1546283531,3,6
1546285484,4,4
1546287382,5,2
1546289537,4,4
1546291454,2,7
1546293388,7,5
1546295289,4,2
1546297276,4,5
1546299134,2,5
1546301328,1,6
1546303246,8,2
1546305383,4,8
1546307567,3,5
1546309463,2,3
1546312608,7,9
1546314499,5,2
1546316416,5,6
1546318337,3,2
1546320278,4,1
1546322172,3,3
1546324339,4,3
1546326263,6,4
1546328196,4,0
1546330345,1,3
1546332254,3,4
1546334219,3,2
1546336339,6,5
1546338288,5,4
1546340170,7,2
1546342099,1,3
1546344056,4,6
1546345940,2,3
1546347881,3,7
1546349771,2,1
1546351946,8,6
1546353862,5,6
1546355799,3,1
1546357693,5,4
1546359644,5,6
1546361539,4,0
1546363454,4,3
1546365398,3,5
1546367295,3,6
1546370443,3,6
1546372355,6,6
1546374271,5,4
1546376172,1,4
1546378365,3,3
1546380268,1,4
1546382190,4,6
1546384113,6,5
1546386018,4,2
1546388203,2,4
1546390338,7,3
1546392287,4,4
1546394185,3,3
1546396093,3,4
1546398032,3,4
1546399941,6,3
1546401877,1,6
1546403775,2,3
1546405705,1,5
1546407616,3,4
1546409781,2,5
1546411938,3,5
1546413851,5,4
1546415817,2,1
1546417692,3,5
1546419666,4,2
1546421557,6,3
1546423484,7,4
1546425404,3,4
1546427313,1,6
1546429240,1,3
1546431151,3,4
1546433052,1,1
1546435003,7,4
1546436912,1,2
1546438825,4,7
1546440755,2,5
1546442664,9,3
1546444572,3,4
1546446506,8,4
1546448461,4,4
1546450338,5,4
1546452280,1,2
1546454201,5,4
1546456112,1,1
1546458259,3,5
1546460448,5,6
1546462328,4,1
1546464251,5,5
1546466179,3,2
1546468345,6,4
1546470293,2,5
1546472420,4,4
1546474364,89,1
1546476291,76,8
1546478458,68,4
1546480341,57,1
1546482517,39,4
1546485650,43,5
1546487555,37,5
1546489485,25,1
1546491412,31,2
1546493300,25,2
1546495467,30,2
1546497373,18,2
1546499576,25,6
1546501454,21,4
1546503402,19,2
1546505315,36,4
1546507235,23,4
1546509250,20,9
1546511088,21,1
1546512973,23,3
1546514899,12,2
1546516854,0,1
1546518774,3,3
1546520657,1,1
1546522576,24,4
1546524527,37,2
1546526421,30,3
1546528368,36,9
1546530263,32,3
1546532210,25,8
1546534374,28,5
1546536265,26,6
1546538190,25,1
1546540349,18,7
1546542286,23,1
1546544204,21,2
1546546349,32,5
1546548260,36,6
1546550215,18,5
1546552097,19,3
1546554030,17,4
1546555958,12,1
1546557856,5,3
1546560097,8,21
1546561947,9,27
1546563883,10,32
1546565788,11,14
1546567717,9,22
1546569613,8,17
1546571552,9,10
1546573478,12,14
1546575637,19,13
1546577575,20,21
1546579459,12,9
1546581402,18,3
1546583298,13,1
1546585320,19,3
1546587182,14,4
1546589067,13,4
1546590999,9,15
1546592906,13,5
1546594820,16,4
1546596785,10,5
1546598694,23,4
1546600580,11,125
1546602519,17,3
1546604432,6,3
1546606393,12,2
1546608279,18,7
1546610173,8,24
