DateTime,AddedIPs,RemovedIPs
1545390279,1,0
1545392176,1,0
1545394107,0,1
1545396044,0,18
1545403959,0,1
1545419539,2,0
1545429143,4,0
1545431078,0,1
1545436893,1,0
1545440657,8,0
1545442576,14,0
1545446416,0,1
1545450765,0,2
1545454596,1,0
1545456503,2,0
1545459381,1,0
1545467057,6,0
1545469306,6,0
1545471165,0,181
1545473066,0,32
1545477145,0,2
1545479085,5,0
1545480994,3,0
1545490597,4,0
1545492739,5,0
1545494688,1,0
1545504277,0,1
1545506482,10,1
1545508361,1,0
1545510256,1,0
1545514335,38,1
1545516280,140,3
1545518444,1,0
1545520336,2,0
1545522284,2,1
1545524208,7,0
1545526096,0,2
1545528016,1,14
1545529931,0,6
1545535713,14,0
1545538586,3,0
1545540499,1,1
1545542448,0,2
1545544364,0,1
1545550101,11,0
1545552098,2,1
1545553968,1,10
1545555860,3,1
1545559945,1,0
1545561875,1,0
1545564046,1,3
1545565940,2,2
1545567890,0,3
1545571938,1,0
1545577939,1,8
1545579880,1,2
1545581795,8,0
1545583961,1,0
1545586130,1,0
1545588125,3,0
1545591873,0,3
1545593816,0,7
1545595734,6,2
1545597654,2,0
1545599570,8,0
1545601854,9,154
1545603869,155,23
1545606126,25,3
1545608436,0,2
1545610597,0,5
1545614697,2,1
1545616572,1,0
1545618494,4,0
1545620550,1,4
1545622463,1,10
1545624295,6,3
1545626174,1,1
1545628102,1,0
1545630040,1,0
1545631967,2,0
1545633860,5,0
1545636044,0,9
1545637964,0,4
1545639885,4,1
1545641773,2,2
1545643693,4,1
1545645713,0,1
1545647538,1,0
1545649468,2,1
1545651379,0,3
1545657168,1,0
1545659060,0,1
1545664821,2,1
1545666765,0,2
1545668593,3,7
1545670570,10,1
1545672523,4,1
1545674532,1,3
1545680421,1,0
1545682336,6,6
1545684279,5,2
1545686183,3,9
1545688365,0,16
1545690284,0,149
1545692534,1,26
1545700341,0,1
1545702263,7,1
1545704190,1,5
1545706102,1,1
1545709971,0,1
1545712105,0,7
1545714098,0,1
1545715935,0,1
1545719803,0,6
1545721728,0,1
1545723640,1,0
1545725812,0,4
1545727702,0,2
1545729863,1,4
1545733697,0,1
1545736592,0,2
1545738742,1,0
1545740657,1,0
1545744490,0,1
1545749540,0,1
1545751459,0,1
1545755316,1,4
1545757267,0,11
1545759163,1,2
1545761087,0,1
1545764919,1,0
1545766823,0,1
1545768986,0,8
1545770897,0,3
1545772851,1,3
1545774757,1,0
1545778574,0,1
1545782501,7,0
1545784358,77,0
1545786303,32,0
1545788180,1,7
1545792011,7,2
1545795878,1,0
1545803798,6,0
1545805946,8,0
1545809782,0,1
1545811736,1,0
1545815545,0,1
1545817460,2,0
1545819650,3,0
1545821539,1,0
1545825371,0,1
1545827319,0,1
1545831161,3,0
1545835220,5,0
1545837133,1,0
1545843164,0,1
1545845052,1,1
1545849146,49,0
1545851067,20,1
1545852981,1,0
1545856823,2,0
1545858762,0,1
1545860665,2,0
1545862597,2,1
1545864509,1,0
1545868348,6,0
1545870258,0,52
1545872201,0,34
1545874103,1,0
1545876276,1,1
1545878204,0,7
1545882261,0,1
1545884072,1,0
1545885882,1,0
1545887778,1,0
1545889941,0,3
1545891863,1,11
1545897867,0,1
1545899803,1,0
1545901698,2,0
1545903617,6,1
1545905568,1,4
1545907710,0,1
1545909643,1,0
1545911550,1,0
1545917548,2,3
1545921386,0,5
1545923336,0,1
1545925236,1,0
1545927411,30,0
1545929307,25,0
1545931227,1,1
1545933158,6,0
1545935055,4,15
1545936998,3,56
1545938891,2,8
1545940912,7,0
1545942767,0,1
1545944932,0,1
1545946816,0,2
1545948756,0,2
1545950691,0,1
1545952594,2,0
1545954528,0,6
1545956442,9,0
1545960306,9,1
1545962479,0,1
1545966321,2,0
1545968486,1,0
1545970355,0,1
1545972279,0,1
1545974181,0,1
1545976362,5,0
1545978262,1,1
1545982406,3,0
1545984256,2,0
1545986170,0,1
1545988368,0,3
1545990255,1,5
1545992203,0,1
1545996256,1,1
1545998197,0,1
1546002303,4,0
1546004181,1,2
1546006094,1,0
1546011877,0,1
1546013782,3,29
1546015968,1,47
1546017864,0,1
1546019772,3,6
1546021990,1,7
1546023882,1,1
1546026044,0,1
1546027946,3,7
1546031786,3,0
1546033960,1,0
1546039969,5,2
1546041860,0,9
1546046183,0,5
1546048415,2,4
1546050266,8,0
1546052177,8,0
1546054352,3,3
1546060360,1,0
1546062270,5,2
1546064448,3,4
1546066365,1,0
1546068261,1,1
1546070505,1,4
1546074272,1,0
1546076198,0,1
1546081953,0,1
1546087948,1,4
1546089861,0,1
1546091797,1,1
1546093693,5,0
1546097564,1,0
1546099490,1,0
1546101411,0,3
1546103543,2,1
1546107396,0,3
1546109544,7,1
1546111465,3,1
1546113398,0,2
1546115295,1,1
1546117287,6,0
1546119139,0,4
1546121067,2,0
1546125167,3,0
1546127054,1,5
1546129256,2,0
1546133298,6,0
1546135298,0,2
1546137136,5,15
1546140978,0,3
1546145088,1,0
1546146999,1,1
1546149163,0,7
1546151062,0,2
1546153002,11,1
1546154895,1,1
1546156896,0,1
1546160670,5,1
1546168581,4,0
1546172432,1,0
1546174364,0,1
1546178499,0,1
1546180367,3,5
