DateTime,Entries,UniqueIPs
1545588126,80,80
1545589967,79,79
1545591873,78,78
1545593817,76,76
1545595734,77,77
1545597654,77,77
1545599570,77,77
1545601854,78,78
1545603870,79,79
1545606133,79,79
1545608437,79,79
1545610598,80,80
1545612496,79,79
1545614697,80,80
1545616573,79,79
1545618494,81,81
1545620554,78,78
1545622464,77,77
1545624296,76,76
1545628102,77,77
1545630040,78,78
1545631968,77,77
1545633861,75,75
1545636045,74,74
1545639886,73,73
1545641773,72,72
1545643693,73,73
1545645718,72,72
1545647538,71,71
1545651379,76,76
1545653309,77,77
1545655222,77,77
1545657168,78,78
1545660998,78,78
1545666766,79,79
1545668594,78,78
1545670571,78,78
1545672524,78,78
1545674532,77,77
1545676374,76,76
1545678271,76,76
1545680421,75,75
1545682336,73,73
1545684280,71,71
1545686183,70,70
1545688365,72,72
1545690284,72,72
1545692535,74,74
1545694339,71,71
1545696284,72,72
1545698172,73,73
1545700341,73,73
1545706102,74,74
1545709972,72,72
1545714101,71,71
1545715936,70,70
1545717880,69,69
1545719803,68,68
1545721728,68,68
1545723641,69,69
1545725813,68,68
1545731792,66,66
1545733698,67,67
1545737563,58,58
1545739454,58,58
1545743324,59,59
1545745250,57,57
1545747142,56,56
1545751008,58,58
1545753453,57,57
1545757290,56,56
1545759164,57,57
1545761087,58,58
1545762999,57,57
1545764920,58,58
1545766823,60,60
1545768987,63,63
1545770898,66,66
1545772851,68,68
1545774758,68,68
1545776677,66,66
1545778574,66,66
1545780491,68,68
1545782509,69,69
1545784370,69,69
1545786303,67,67
1545788180,67,67
1545790131,67,67
1545792011,66,66
1545793959,65,65
1545795879,64,64
1545801881,66,66
1545803799,66,66
1545805946,67,67
1545807892,67,67
1545809783,66,66
1545811736,66,66
1545813644,65,65
1545815546,66,66
1545819651,65,65
1545823475,67,67
1545825371,65,65
1545827319,66,66
1545831162,64,64
1545841001,62,62
1545843164,64,64
1545845053,65,65
1545847293,64,64
1545851068,65,65
1545854921,63,63
1545856824,63,63
1545858763,61,61
1545860666,62,62
1545862597,63,63
1545864509,63,63
1545866414,61,61
1545868349,60,60
1545870258,59,59
1545874103,61,61
1545876276,60,60
1545878204,65,65
1545880100,64,64
1545882262,65,65
1545884072,65,65
1545887778,64,64
1545889942,65,65
1545891864,66,66
1545896057,633,633
1545897867,637,637
1545899804,708,708
1545901699,739,739
1545903618,738,738
1545905569,768,768
1545907711,769,769
1545909643,765,765
1545913488,765,765
1545915371,766,766
1545919483,768,768
1545921386,771,771
1545923336,770,770
1545925236,773,773
1545927411,774,774
1545929308,776,776
1545931228,775,775
1545933158,776,776
1545935055,775,775
1545936998,776,776
1545938891,777,777
1545944933,778,778
1545946816,778,778
1545948756,779,779
1545950691,782,782
1545952594,784,784
1545956443,784,784
1545958347,787,787
1545960307,788,788
1545962492,789,789
1545964370,786,786
1545966323,787,787
1545968486,786,786
1545970356,787,787
1545972279,788,788
1545974181,788,788
1545976363,789,789
1545978263,790,790
1545982406,550,550
1545984256,274,274
1545988368,274,274
1545990256,167,167
1545992203,86,86
1545998197,85,85
1546000106,83,83
1546002303,85,85
1546006094,85,85
1546008013,85,85
1546009941,85,85
1546011877,87,87
1546015968,85,85
1546017865,85,85
1546019773,85,85
1546021991,87,87
1546023882,86,86
1546026044,89,89
1546027946,92,92
1546029856,90,90
1546031787,90,90
1546033960,91,91
1546035853,87,87
1546037772,90,90
1546039969,88,88
1546041861,87,87
1546044030,86,86
1546048415,84,84
1546050266,86,86
1546052178,83,83
1546056280,83,83
1546058438,84,84
1546060361,84,84
1546062270,85,85
1546064449,86,86
1546068262,85,85
1546070505,86,86
1546072346,87,87
1546074272,86,86
1546076199,85,85
1546078131,83,83
1546081954,83,83
1546083885,84,84
1546085785,83,83
1546087949,85,85
1546089862,85,85
1546091798,89,89
1546093694,89,89
1546095695,86,86
1546099490,87,87
1546101411,89,89
1546103544,88,88
1546105461,87,87
1546107397,84,84
1546109545,84,84
1546111465,82,82
1546113398,82,82
1546115296,80,80
1546119139,79,79
1546121068,80,80
1546123006,81,81
1546125168,79,79
1546127054,83,83
1546129257,83,83
1546131139,80,80
1546133299,81,81
1546135312,81,81
1546137136,79,79
1546139089,78,78
1546143191,78,78
1546145089,77,77
1546147000,76,76
1546149164,79,79
1546156897,76,76
1546160671,80,80
1546164739,81,81
1546172432,81,81
1546174364,79,79
1546176303,77,77
1546178503,74,74
1546180368,74,74
1546182272,75,75
1546186386,75,75
1546188260,72,72
1546190454,73,73
1546192343,72,72
1546194534,71,71
1546197397,72,72
1546199300,70,70
1546201217,70,70
1546203175,72,72
1546205058,74,74
1546207000,71,71
1546208923,72,72
1546212768,69,69
1546214663,70,70
1546216611,68,68
1546218506,68,68
1546220419,69,69
1546222367,72,72
1546224272,71,71
1546228370,72,72
1546230265,73,73
1546232203,75,75
1546234346,73,73
1546236282,74,74
1546238452,75,75
1546240365,77,77
1546246121,78,78
1546248041,79,79
1546249937,79,79
1546251902,76,76
1546253779,75,75
1546259778,73,73
1546261951,72,72
1546263868,73,73
1546267690,71,71
1546269615,75,75
1546271537,74,74
1546273453,75,75
1546277295,75,75
1546279469,76,76
1546281629,75,75
1546283534,73,73
1546285488,74,74
1546287385,75,75
1546289541,72,72
1546291458,68,68
1546293392,69,69
1546295292,70,70
1546297306,72,72
1546299137,74,74
1546301331,73,73
1546303249,75,75
1546305386,74,74
1546307570,72,72
1546309478,77,77
1546312611,78,78
1546314502,77,77
1546316420,78,78
1546320281,79,79
1546322175,77,77
1546324343,76,76
1546326269,77,77
1546328200,76,76
1546330349,77,77
1546334222,75,75
1546336343,78,78
1546340174,79,79
1546344130,80,80
1546345950,80,80
1546347885,81,81
1546349784,80,80
1546351950,82,82
1546353866,83,83
1546355803,87,87
1546357696,90,90
1546359647,88,88
1546361543,88,88
1546367299,86,86
1546370446,86,86
1546372358,85,85
1546378368,87,87
1546380274,88,88
1546382194,89,89
1546384117,89,89
1546386021,88,88
1546388206,92,92
1546390341,93,93
1546392291,92,92
1546394188,90,90
1546396096,86,86
1546398039,84,84
1546401881,84,84
1546403779,83,83
1546405709,84,84
1546407620,85,85
1546409785,87,87
1546411942,89,89
1546415821,91,91
1546419716,94,94
1546421560,100,100
1546423488,101,101
1546427329,100,100
1546431155,99,99
1546433055,97,97
1546436916,98,98
1546438830,96,96
1546440759,97,97
1546442668,95,95
1546444576,98,98
1546446509,97,97
1546448498,97,97
1546450340,97,97
1546452285,98,98
1546454204,99,99
1546456115,100,100
1546458262,101,101
1546460450,100,100
1546462330,98,98
1546464253,99,99
1546466181,98,98
1546468348,97,97
1546470302,94,94
1546472423,96,96
1546474366,95,95
1546476293,94,94
1546478460,95,95
1546480343,96,96
1546482520,95,95
1546487558,97,97
1546491414,98,98
1546493304,97,97
1546495472,97,97
1546497375,98,98
1546499579,98,98
1546501456,96,96
1546503404,94,94
1546505317,94,94
1546507238,88,88
1546509253,85,85
1546511090,86,86
1546512976,87,87
1546514901,86,86
1546516905,88,88
1546518776,89,89
1546520664,90,90
1546522579,90,90
1546524531,90,90
1546526425,88,88
1546528372,85,85
1546530267,85,85
1546532213,84,84
1546536268,84,84
1546538193,82,82
1546540353,84,84
1546542289,85,85
1546544207,84,84
1546546352,83,83
1546548263,84,84
1546550217,85,85
1546552117,84,84
1546554033,85,85
1546555961,85,85
1546557872,84,84
1546560140,81,81
1546561951,81,81
1546563887,79,79
1546569616,80,80
1546573481,79,79
1546575641,79,79
1546577578,77,77
1546579463,80,80
1546581406,78,78
1546583301,78,78
1546585335,77,77
1546589071,78,78
1546591002,80,80
1546592911,78,78
1546594826,77,77
1546596788,76,76
1546598697,75,75
1546602522,75,75
1546604436,74,74
1546608283,75,75
1546610176,75,75
1546612120,74,74
1546614294,73,73
1546616449,73,73
1546618590,75,75
1546620787,75,75
1546622684,75,75
1546624608,74,74
1546626502,75,75
1546628542,76,76
1546630613,76,76
1546634662,80,80
1546636589,79,79
1546638509,80,80
1546640457,79,79
1546642363,79,79
1546644265,76,76
1546646206,76,76
1546648014,77,77
1546650042,74,74
1546653880,88,88
1546655799,87,87
1546657963,86,86
1546659860,87,87
1546662047,88,88
1546665875,85,85
1546667775,86,86
1546669577,85,85
1546671725,85,85
1546673542,86,86
1546677620,84,84
1546679557,85,85
1546683486,84,84
1546685593,83,83
1546687465,83,83
1546689376,86,86
1546691299,86,86
1546693293,84,84
1546695133,83,83
1546697068,83,83
1546701141,85,85
1546703080,84,84
1546705013,85,85
1546708833,86,86
1546710762,84,84
1546712664,84,84
1546714591,82,82
1546716499,83,83
1546718481,82,82
1546720349,78,78
1546722310,79,79
1546724450,82,82
1546726354,80,80
1546728274,81,81
1546730184,82,82
1546732103,83,83
1546734019,82,82
1546735965,81,81
1546737853,82,82
1546739783,82,82
1546747945,84,84
1546749855,83,83
1546753934,84,84
1546755891,84,84
1546757775,83,83
1546760011,82,82
1546762156,83,83
1546764020,84,84
1546765948,86,86
1546770058,85,85
