DateTime,AddedIPs,RemovedIPs
1545786304,8,1049
1545788181,4,1122
1545790131,1,1065
1545792012,4,1064
1545793960,4,998
1545795879,3,3
1545798025,2,2
1545799938,6,3
1545801881,2,4
1545803800,4,3
1545805947,6,4
1545807892,9,3
1545809783,4,7
1545811737,1,4
1545813644,2,714
1545815546,5,4
1545817462,3,9
1545819651,3,1
1545821541,3,6
1545823476,13,8
1545825372,1,3
1545827319,4,6
1545829308,2,0
1545831162,3,6
1545833059,5,8
1545835221,3,207
1545837134,2,10
1545839066,4,4
1545841001,2,13
1545843165,3,8
1545845053,3,4
1545847293,5,3
1545849147,2,6
1545851069,5,3
1545852982,38,1
1545854922,3,3
1545856824,5,94
1545858763,2,4
1545860666,2,6
1545862598,0,40
1545864510,5,2
1545866414,4,7
1545868349,6,6
1545870259,1,6
1545872202,8,7
1545874104,3,3
1545876277,5,5
1545878205,22,3
1545880100,4,4
1545882262,4,3
1545884073,3,2
1545885883,5,8
1545887778,5,1
1545889942,8,7
1545891864,4,2
1545893794,2,11
1545896057,5,5
1545897868,3,1
1545899804,6,2
1545901700,4,5
1545903618,12,2
1545905569,10,4
1545907711,7,4
1545909644,5,2
1545911550,6,1
1545913488,9,2
1545915371,7,2
1545917549,5,4
1545919484,5,6
1545921387,5,3
1545923337,2,3
1545925237,4,4
1545927412,5,2
1545929308,7,3
1545931228,6,3
1545933159,5,4
1545935056,6,3
1545936999,4,2
1545938892,2,39
1545940914,6,6
1545942768,5,4
1545944933,5,3
1545946817,7,1
1545948757,6,1
1545950692,5,1
1545952595,6,15
1545954529,4,8
1545956443,4,2
1545958348,3,4
1545960307,5,5
1545962498,3,4
1545964370,8,20
1545966324,5,3
1545968487,4,4
1545970357,6,4
1545972280,4,5
1545974182,5,4
1545976363,4,13
1545978263,4,3
1545980499,1,41
1545982407,10,4
1545984257,7,4
1545986171,31,4
1545988369,154,5
1545990256,118,9
1545992203,47,9
1545994338,6,7
1545996257,6,4
1545998197,5,7
1546000106,7,7
1546002304,3,8
1546004182,3,4
1546006095,5,5
1546008014,2,2
1546009942,5,2
1546011878,4,2
1546013783,4,5
1546015969,8,7
1546017865,5,6
1546019774,5,4
1546021991,9,7
1546023882,17,3
1546026045,5,5
1546027947,4,5
1546029857,7,2
1546031787,2,6
1546033960,3,7
