DateTime,AddedIPs,RemovedIPs
1535666192,9,6
1535688036,32,57
1535710106,28,349
1535732203,6,117
1535754287,179,4
1535776358,301,62
1535798438,1291,1
1535820758,133,59
1535842885,60,16
1535864935,6,3
1535886998,3,262
1535909319,2,60
1535931392,50,30
1535953249,7,0
1535975311,85,1
1535997404,45,3
1536019872,51,2
1536041819,5,1
1536063880,3,0
1536085962,6,4
1536108011,4,1
1536130096,5,1
1536151950,18,47
1536173794,312,0
1536195893,3,2
1536217951,1,1
1536240017,7,1063
1536261874,6,0
1536284201,9,3
1536306257,5,29
1536328364,2,39
1536350703,2,67
1536372732,5,2236
1536394603,9,1840
1536416660,4,213
1536438528,9,212
1536460578,24,19
1536482419,90,38
1536504273,211,2
1536526122,124,95
1536548181,26,1
1536570090,827,125
1536592127,0,5
1536614503,122,14
1536636523,545,55
1536658579,530,79
1536680431,905,2
1536702546,17,1
1536724573,3,3
1536746714,0,103
1536768788,2,332
1536790828,10,37
1536812902,4,4
1536834770,3,6
1536856838,457,5
1536879150,68,8
1536901244,298,7
1536923313,553,74
1536945388,3,53
1536967469,206,1373
1536989547,2038,1
1537011408,3,4
1537033468,9,27
1537055556,3,125
1537077691,8,10
1537099972,64,8
1537122043,44,9
1537144108,102,4
1537165964,2,324
1537188027,8,39
1537210115,50,1
1537232180,8,48
1537254078,1,85
1537276366,4,1015
1537298433,5,637
1537320500,148,97
1537342366,5,57
1537364419,5,2
1537386504,2,1
1537408594,4,8
1537430720,6,12
1537452998,7,27
1537475080,5,87
1537497172,18,2
1537519243,12,219
1537541559,8,1
1537563673,17,7
1537585703,119,2056
1537607794,5,4
1537629863,67,5
1537651955,2,19
1537674025,11,317
1537696108,153,71
1537718181,4,2
1537740073,18,133
1537762122,8,4
1537784431,1326,29
1537806283,6,17
1537828360,4,60
1537850445,13,123
1537872765,7,5
1537894879,48,5
1537916910,237,636
1537938986,1,310
1537960844,6,2
1537983165,15,399
1538005236,2457,7
1538027302,517,0
1538049170,108,3
1538071284,2,1
1538093322,1,198
1538115397,6,4
1538137484,29,3
1538159568,7,493
1538181628,20,0
1538203703,36,1
1538237064,219,69
1538259156,10,2
1538281219,186,7
1538303071,21,63
1538325159,574,3
1538347224,10,1
1538369311,251,3
1538391161,719,0
1538413242,521,2
1538435326,95,0
1538457645,128,9
1538479956,1,6
1538502279,8,43
1538524607,2,1
1538546716,1,0
1538568746,13,0
1538590601,1,0
1538612443,2,1
1538634497,2,69
1538656596,2,37
1538678690,0,1
1538700738,1,2
1538722847,56,3
1538744942,0,32
1538767007,50,4
1538789127,0,65
1538811173,1,2
1538833483,191,1
1538855582,0,1267
1538877679,1,78
1538899726,5,5
1538921804,5,362
1538943850,2,129
1538965713,27,2
1538987796,243,882
1539009638,109,2583
1539031953,116,129
1539054092,134,2
1539076123,71,152
1539098218,2,13
1539120250,10,50
1539142108,6,6
1539163959,6,68
1539186020,98,6
1539207865,10,4
1539229960,37,144
1539252268,133,104
1539274377,13,314
1539296418,5,286
1539318520,489,247
1539340376,8,262
1539362692,97,66
1539384797,4,7
1539407078,79,6
1539429146,4,89
1539450991,5,334
1539473069,466,4
1539495153,10,5
1539517218,7,12
1539539088,1162,8
1539561198,133,3
1539594536,105,253
1539616838,1337,6
1539638895,85,808
1539660996,498,76
1539683087,11,164
1539705400,61,5
1539727474,69,27
1539749805,119,7
1539771855,7,25
1539793966,59,53
1539815809,20,15
1539837864,1,46
1539859948,9,304
1539882188,2,11
1539904355,4,554
1539926425,8,7
1539948287,162,12
1539970341,1,101
1539992190,9,4
1540014280,4,68
1540036351,8,71
1540058481,6,4
1540080526,9,604
1540102598,8,7
1540124652,187,6
1540146500,692,1254
1540168591,21,3
1540190669,8,9
1540212775,2362,1
1540235062,500,1323
1540256924,270,5
1540279024,2,19
1540301075,99,9
1540323173,6,33
1540345505,0,7
1540367539,1,135
1540389399,919,97
1540411277,256,57
1540433329,62,19
1540455658,144,3
1540477947,50,3
1540500033,207,7
1540522119,129,4
1540544520,92,337
1540566775,4,180
1540588831,20,1
1540610677,334,2
1540632766,5,3
1540655088,5,98
1540677145,7,2
1540698991,5,5
1540721054,202,3
1540742949,364,456
1540765243,1,4
1540787296,3,5
1540809396,1,5
1540831388,92,7
1540853679,3,1
1540886924,42,1
1540909000,201,93
1540931080,53,21
1540953150,2,1
1540975004,1,6
1540996857,1,1157
1541019157,435,0
1541040998,9,55
1541063072,601,2
1541084927,61,46
1541107513,1,116
1541129549,1,0
1541151646,2,99
1541173701,319,70
1541195556,0,18
1541217635,0,3
1541239965,2,1
1541262021,0,2113
1541283907,2111,25
1541305961,3,22
1541328283,2,205
1541350333,3,53
1541372187,26,1
1541394261,1,263
1541416123,11,4
1541438197,869,1
1541460265,0,3
1541482115,353,1
1541503966,2,1
1541525823,3,196
1541547850,3,120
1541569720,3,0
1541591797,3,69
1541613889,2,0
1541635736,5,401
1541657789,303,244
1541679888,2,53
1541702021,382,396
1541724010,19,1
1541745852,2,78
1541767965,16,345
1541790125,74,14
1541812374,0,1
1541834441,16,40
1541856512,42,157
1541878579,23,1
1541900441,3,0
1541922524,161,34
1541944977,3,1442
1541966918,30,1198
1541988994,74,17
1542011067,518,120
1542032913,14,5
1542055038,2,0
1542077072,2,1306
1542099397,2,2
1542121242,3,3
1542143333,27,54
1542165388,2,4
1542187452,335,1
1542209299,2,6
1542231407,41,6
1542253490,2,5
1542275555,83,389
1542297667,172,411
1542319943,99,2
1542342048,10,5
1542364117,3,19
1542386592,3,48
1542408502,4,33
1542430602,89,4
1542452478,2,206
1542474528,8,4
1542496606,3,5
1542518672,4,27
1542540758,5,173
1542562817,111,4
1542584682,24,30
1542606762,7,629
1542628860,4,8
1542650910,4,2
1542673291,52,3
1542695299,5,6
1542717160,11,53
1542739525,12,17
1542761536,607,593
1542783669,10,4
1542805947,17,380
1542828032,650,38
1542849880,7,0
1542872172,5,7
1542894019,743,3
1542916100,590,193
1542938198,5,5
1542960085,2,7
1542982135,22,5
1543004433,179,2
1543026519,6,3
1543048595,134,119
1543070680,5,4
1543092744,19,1
1543125880,128,7
1543148192,242,7
1543170272,2110,3
1543192343,888,5
1543214447,4,51
1543236508,15,4
1543258615,2,4
1543280686,3,55
1543303007,0,4
1543325061,76,1
1543347405,55,5
1543369467,8,265
1543391321,1,0
1543413162,132,2
1543435473,14,21
1543457543,5,25
1543479391,2,5
1543501467,21,674
1543523696,275,455
1543545640,4,3
1543567955,2,2
1543590288,3,192
1543612366,4,0
1543634673,37,2
1543656767,569,135
1543679062,43,0
1543701156,2,35
1543734270,0,168
1543756368,3,166
1543778413,4,2526
1543800526,8,200
1543822597,3,0
1543844650,47,502
1543866757,6,1
1543888599,3,2
1543910686,3,2
1543932529,2,1
1543954598,96,4
1543976659,5,8
1543998748,3,4
1544020616,0,2
1544042670,38,132
1544064769,2,2
1544086828,12,6
1544108937,476,2
1544131007,46,646
1544153311,6,0
1544175167,23,0
1544197246,1,3
1544219294,0,2
1544241158,4,74
1544274252,131,435
1544296125,2,91
1544318431,1,20
1544340283,1,74
1544362599,1,40
1544384669,88,40
1544406768,26,4
1544428613,2,219
1544450506,5,53
1544473015,145,6
1544495301,4,1
1544517169,3,129
1544539222,6,2
1544561326,4,234
1544583669,0,7
1544605717,219,1
1544627817,812,0
1544650104,4,21
1544671960,2,2
1544694015,2,15
1544716092,2,855
1544737955,4,52
1544760058,610,8
1544782145,5,56
1544804025,0,20
1544826029,3,18
1544847889,2,21
1544869941,0,11
1544891799,4,5
1544913871,2,2
1544935935,3,10
1544957787,196,114
1544990680,140,83
1545012541,3,18
1545034598,0,21
1545056650,1371,3
1545078765,2970,133
1545100822,348,111
1545122677,18,6
1545144747,1,1
1545166909,4,1
1545188929,9,3
1545211000,4,91
1545233053,5,520
1545254896,3,10
1545276993,2,3
1545299050,3,4
1545320916,291,24
1545343317,2,8
1545365567,3,571
1545387611,2,0
1545409746,1,4
1545431769,3,0
1545453618,3,1
1545475460,4,219
1545497538,6,7
1545519382,3,1
1545541481,1,2
1545563540,240,18
1545585403,6,8
1545607483,4,4
1545629547,0,4
1545651609,41,1
1545673460,2,1247
