DateTime,AddedIPs,RemovedIPs
1535739394,2,114
1535761480,2,69
1535783552,3,4
1535805627,6,5
1535827471,2,2
1535849559,3,2
1535871674,1,3
1535893715,1,1
1535916072,6297,11
1535938092,3,4
1535959967,3,1
1535982042,4,3
1536004106,1,4
1536025949,32,9
1536048066,95,5
1536070345,33,5
1536092457,175,4
1536114518,149,4
1536136852,78,10
1536158913,45,6
1536181284,56,2
1536203565,37,3
1536225618,74,4
1536247724,46,8
1536269566,12,1
1536291414,22,4
1536313472,37,0
1536335565,17,1
1536357651,24,4
1536379949,18,1
1536401801,3,3
1536424119,6,4
1536446182,19,3
1536468023,25,0
1536490102,9,0
1536512194,17,6122
1536534262,58,172
1536556106,21,3
1536578194,2,7
1536600280,10,1
1536622136,9,4
1536644172,11,13
1536666275,13,15
1536688281,7,14
1536710196,5,59
1536732284,13,37
1536754375,10,24
1536776425,5,40
1536798606,5,36
1536820591,2,50
1536842664,15,56
1536864527,8,9
1536886441,18,18
1536908486,38,37
1536930511,23,24
1536952374,16,26
1536974685,3,20
1536997003,16,11
1537019079,1,1
1537041153,9,20
1537063255,2,29
1537085341,3,10
1537107621,7,21
1537129462,6,63
1537151816,20,94
1537173850,4,11
1537195705,4,25
1537217812,108,18
1537240126,84,13
1537262216,30,35
1537284275,35,27
1537306353,23,8
1537328438,28,9
1537350751,14,15
1537372826,3,7
1537394681,15,5
1537416756,20,8
1537439080,22,13
1537461157,8,8
1537483235,3,7
1537505321,12,40
1537527170,28,32
1537549495,9,17
1537571809,21,4
1537593874,2,13
1537615958,7,1
1537638031,6,7
1537660113,5,5
1537682201,11,1
1537704280,15,4
1537726360,9,5
1537748200,17,20
1537770268,20,8
1537792364,19,5
1537814418,12,54
1537836510,37,101
1537858582,72,65
1537880453,35,20
1537902501,60,24
1537924601,29,19
1537946658,4,22
1537968761,70,12
1537990823,25,6
1538012902,22,21
1538034778,5,26
1538056857,19,9
1538078932,12,10
1538101012,1,4
1538123054,4,19
1538145160,9,18
1538167237,20,6
1538189293,32,16
1538211392,25,8
1538244277,8,13
1538266361,8,4
1538288432,2,11
1538310487,0,11
1538332355,5,9
1538354437,11,24
1538376279,2,12
1538398326,3,24
1538420186,6,17
1538442083,4,39
1538464363,2,73
1538486426,1,53
1538508504,4,70
1538530350,92,36
1538552457,95,6
1538574496,26,29
1538596618,29,28
1538618470,37,30
1538640511,26,11
1538662363,45,25
1538684442,10,18
1538706749,15,1
1538728817,27,6
1538750921,38,11
1538772768,28,22
1538794890,39,34
1538816929,13,22
1538839233,10,5
1538861319,15,2
1538883370,6,5
1538905476,19,5
1538927555,14,3
1538949629,12,15
1538971472,7,5
1538993547,10,3
1539015389,9,7
1539037476,20,5
1539059809,33,1
1539081887,8,1
1539103934,17,3
1539125786,11,60
1539147686,14,49
1539169701,20,43
1539191806,3,30
