DateTime,AddedIPs,RemovedIPs
1545786308,13,6
1545788183,12,11
1545790134,2,12
1545792014,5,4
1545793962,11,6
1545795881,9,4
1545798027,15,11
1545799940,6,5
1545801883,6,9
1545803802,9,10
1545805950,14,3
1545807895,8,6
1545809787,4,9
1545811739,5,9
1545813646,5,7
1545815548,12,6
1545817464,3,10
1545819653,6,8
1545821544,5,4
1545823478,4,6
1545825374,8,5
1545827331,6,6
1545829314,8,6
1545831164,12,14
1545833062,4,7
1545835223,9,7
1545837136,3,5
1545839068,7,9
1545841004,7,7
1545843168,10,9
1545845055,16,9
1545847296,5,3
1545849150,2,5
1545851071,7,10
1545852984,3,12
1545854924,11,16
1545856826,3,11
1545858765,6,15
1545860668,6,24
1545862600,3,3
1545864512,6,10
1545866417,7,18
1545868351,4,5
1545870260,2,10
1545872205,5,14
1545874106,1,8
1545876280,5,5
1545878207,10,3
1545880102,6,12
1545882264,8,8
1545884074,5,15
1545885885,6,7
1545887780,9,5
1545889944,11,9
1545891866,6,12
1545893796,0,11
1545896059,6,3
1545897870,2,4
1545899806,3,6
1545901702,5,12
1545903621,4,3
1545905571,4,7
1545907713,3,6
1545909646,1,3
1545911552,7,9
1545913490,3,5
1545915373,2,8
1545917551,3,12
1545919486,6,3
1545921389,3,9
1545923340,3,3
1545925239,5,7
1545927414,4,7
1545929310,5,9
1545931232,0,16
1545933161,13,5
1545935058,6,6
1545937001,11,7
1545938894,5,3
1545940916,10,10
1545942770,11,4
1545944935,10,6
1545946818,7,6
1545948759,14,5
1545950694,56,6
1545952597,18,7
1545954531,13,5
1545956445,6,0
1545958350,7,6
1545960310,9,1
1545962511,9,5
1545964372,11,9
1545966328,9,7
1545968489,11,8
1545970373,11,6
1545972282,16,6
1545974184,11,8
1545976365,7,11
1545978265,8,6
1545980525,6,0
1545982409,8,6
1545984259,13,2
1545986173,10,3
1545988371,9,6
1545990260,13,4
1545992205,5,5
1545994340,8,3
1545996259,3,2
1545998211,8,6
1546000108,7,3
1546002306,7,3
1546004183,12,2
1546006097,4,5
