DateTime,AddedIPs,RemovedIPs
1544075802,4,0
1544077701,4,1
1544079887,4,0
1544082044,9,1
1544083970,8,2
1544085882,2,0
1544087807,2,0
1544089703,5,1
1544091654,7,3
1544093556,2,2
1544095495,3,1
1544097380,6,0
1544099337,3,1
1544101308,5,0
1544103150,1,0
1544105090,6,2
1544107008,4,2
1544108939,2,7
1544110835,3,5
1544112806,8,5
1544114687,3,4
1544116587,3,6
1544118522,6,6
1544120445,0,2
1544122507,5,4
1544124753,5,7
1544126687,5,6
1544128591,3,2
1544130540,3,5
1544132443,7,5
1544134370,3,5
1544136727,6,4
1544138928,4,5
1544140935,5,3
1544142761,4,4
1544144673,6,5
1544146609,4,3
1544148532,5,5
1544150442,1,1
1544152375,7,1
1544154377,3,7
1544156217,1,4
1544158120,0,7
1544160290,0,3
1544162212,0,4
1544164349,0,5
1544166299,0,3
1544168445,1,9
1544170344,0,8
1544172291,0,2
1544174211,0,2
1544176122,0,4
1544178049,0,8
1544179940,0,2
1544181864,0,3
1544183809,1,6
1544185734,0,3
1544187712,0,5
1544189565,0,1
1544191467,1,6
1544193619,0,4
1544195577,0,2
1544197723,0,3
1544199640,0,9
1544201559,0,3
1544203489,0,3
1544205509,0,6
1544209370,0,6
1544211395,0,6
1544213328,0,2
1544215238,0,3
1544217146,3,3
1544219076,0,7
1544221006,1,4
1544223061,0,5
1544225060,1,4
1544226972,0,5
1544228892,1,4
1544230918,2,6
1544233012,0,4
1544234913,0,5
1544236828,0,1
1544238778,0,7
1544240669,0,3
1544242615,1,1
1544246436,1,0
1544248364,1,0
1544254370,0,1
1544263948,1,0
1544268282,1,0
1544270223,0,1
1544272151,2,1
1544275952,1,0
1544277904,0,1
1544280039,2,0
1544281945,1,0
1544289626,1,0
1544297544,1,0
1544301642,2,0
1544303561,1,2
1544307399,0,1
1544311242,0,1
1544315319,0,1
1544317471,0,2
1544319408,1,0
1544323247,1,0
1544327065,1,0
1544329000,1,1
1544333101,0,1
1544350592,0,1
1544354423,0,1
1544360178,0,1
1544362100,0,1
1544365943,0,2
1544367886,0,1
1544371803,1,0
1544375547,1,1
1544377467,2,0
1544381550,2,0
1544387294,0,1
1544389292,0,1
1544391137,0,1
1544393070,1,0
1544396926,0,1
1544401007,2,0
1544402901,1,0
1544404817,0,1
1544408660,1,1
1544410577,1,0
1544414517,1,1
1544416362,0,1
1544418316,1,0
1544420427,1,0
1544424287,1,0
1544431941,2,0
1544435794,1,0
1544439727,1,0
1544443495,1,1
1544447569,2,0
1544457705,1,1
1544461728,0,1
1544463642,1,2
1544467478,1,1
1544469669,1,0
1544471796,1,1
1544473693,1,0
1544475720,1,0
1544479472,0,1
1544481644,1,1
1544483560,1,0
1544487417,0,2
1544489347,0,1
1544491230,1,0
1544493425,1,0
1544495303,0,1
1544497319,1,1
1544501544,0,1
1544503737,0,1
1544511389,0,1
1544517171,0,1
1544525067,0,1
1544527137,0,1
1544529169,1,1
1544531358,0,1
1544533298,1,1
1544535150,0,1
1544543305,0,1
1544545481,1,1
1544551458,0,1
1544553421,0,1
1544555316,0,1
1544557488,0,1
1544559417,0,1
1544561327,0,1
1544567064,0,1
1544571165,0,1
1544577441,0,1
1544579309,0,1
1544581215,1,0
1544583144,0,1
1544597083,1,0
1544604741,1,0
1544609137,2,0
1544612931,2,0
1544614816,1,0
1544617075,3,0
1544619242,1,0
1544621143,2,1
1544623371,1,0
1544625180,1,0
1544627194,2,0
1544629209,2,0
1544631406,0,1
1544633804,3,0
1544635964,1,0
1544637878,1,1
1544644105,1,0
1544646273,3,0
1544658018,2,0
1544660191,1,0
1544666214,0,1
1544670107,1,0
1544675776,2,0
1544682050,1,0
1544683936,2,1
1544685879,1,0
1544687811,3,0
1544689967,1,0
1544695730,2,2
1544697621,0,2
1544699793,0,1
1544701706,1,1
1544703891,1,4
1544707630,1,2
1544709726,2,1
1544711587,2,1
1544713462,2,2
1544715647,2,2
1544717600,1,0
1544719499,3,1
1544721654,3,3
1544723564,0,1
1544725454,1,0
1544729815,1,1
1544733643,2,3
1544735584,1,0
1544739866,2,0
1544742379,3,0
1544744217,0,2
1544748400,0,1
1544750423,6,0
1544752615,2,0
1544754776,1,0
1544756670,0,1
1544760523,1,0
1544762349,1,2
1544764335,1,0
1544768447,0,1
1544770347,0,2
1544772281,0,1
1544774176,0,2
1544776104,0,1
1544782147,0,2
1544787884,0,1
1544790051,0,1
1544791958,1,0
1544793871,3,1
1544796111,1,2
1544798218,1,2
1544800119,0,2
1544802056,0,2
1544804027,2,1
1544805864,1,2
1544807794,3,4
1544809698,5,0
1544811893,1,1
1544813777,2,0
1544815971,1,1
1544818134,3,0
1544820048,2,2
1544822201,4,1
1544824357,1,0
1544826280,1,1
1544828180,0,2
1544830355,0,1
1544832287,3,0
1544834214,4,0
1544836129,1,4
1544838034,2,2
1544839951,3,2
1544841856,2,1
1544844058,3,0
1544845941,0,1
1544847891,3,1
1544849802,5,1
1544851699,2,0
1544853753,4,0
1544856047,3,0
1544858211,2,0
1544860087,3,1
1544862277,3,0
1544866092,2,0
1544869943,2,0
