DateTime,AddedIPs,RemovedIPs
1534131405,0,2
1534153476,0,1
1534175319,1,10
1534197385,21,23
1534219476,25,36
1534241324,17,15
1534263370,18,23
1534285215,19,19
1534307232,19,29
1534329163,42,19
1534351465,32,25
1534373320,39,25
1534395391,13,4
1534417472,22,1
1534439550,32,2
1534461553,1529,0
1534505563,10,0
1534527426,21,0
1534549614,11,0
1534571539,4,0
1534593684,18,1
1534615707,16,1
1534637559,22,0
1534659642,28,2
1534681698,26,0
1534703893,28,1
1534725874,29,0
1534747928,10,0
1534769804,26,1
1534791704,20,4
1534813715,9,17
1534835567,22,12
1534857862,10,5
1534879941,27,13
1534902037,23,8
1534924102,15,15
1534945945,19,5
1534968025,9,0
1534989890,0,1
1535011945,10,0
1535034016,23,1
1535055869,15,1501
1535077972,6,1
1535100024,12,0
1535121874,14,42
1535144218,22,0
1535166533,7,63
1535188609,16,11
1535210806,13,11
1535232745,10,13
1535254604,15,12
1535276650,21,17
1535298499,6,13
1535320585,18,26
1535342506,27,1
1535364523,15,18
1535386609,20,15
1535408664,6,16
1535430757,16,12
1535452696,18,2
1535474674,8,21
1535496750,7,26
1535518619,5,20
1535540669,11,26
1535562509,5,20
1535584617,12,0
1535607032,10,0
1535629016,0,4
1535651068,4,1
1535673152,3,0
1535695250,2,0
1535717104,13,1
1535739394,14,0
1535761482,10,60
1535783553,6,1
1535805628,15,1
1535827472,9,0
1535849560,6,153
1535871676,16,31
1535893716,5,14
1535916074,1486,6
1535938094,0,3
1536004107,0,2
1536025949,0,1
1536048080,0,3
1536070345,5,1
1536092458,53,162
1536114518,92,5
1536136852,73,11
1536158913,97,10
1536181285,80,5
1536203566,68,5
1536225619,53,2
1536247725,76,1
1536269568,31,3
1536291414,34,3
1536313473,25,0
1536335566,26,4
1536357658,20,4
1536379950,18,1
1536401802,19,0
1536424120,17,3
1536446183,13,1
1536468023,16,2
1536490102,14,0
1536512194,12,1485
1536534263,8,0
1536556106,4,0
1536578194,4,0
1536600280,8,0
1536622138,3,0
1536644173,4,0
1536666276,3,1
1536688282,2,6
1536710196,2,9
1536732285,5,10
1536754376,6,13
1536776426,4,7
1536798607,5,7
1536820593,1,7
1536842664,6,9
1536864528,2,10
1536886442,7,9
1536908487,8,7
1536930512,5,8
1536952374,9,6
