DateTime,AddedIPs,RemovedIPs
1541748040,0,1
1541749937,0,1
1541755939,0,1
1541767967,0,2
1541773695,1,0
1541775649,0,1
1541779469,1,0
1541785482,1,0
1541787387,0,1
1541790127,0,2
1541797953,0,2
1541838032,1,0
1541849812,1,0
1541857479,1,0
1541861330,0,1
1541865400,0,1
1541871148,1,1
1541886778,1,0
1541911944,1,0
1541923958,0,1
1541937396,0,1
1541943156,0,1
1541955149,1,0
1541959288,0,1
1541972922,0,1
1541988996,1,0
1541998899,0,1
1542033389,1,0
1542042988,0,1
1542050704,1,0
1542074509,0,1
1542080209,1,0
1542091941,1,0
1542119299,0,1
1542123145,1,0
1542135134,1,0
1542137074,0,1
1542148594,1,0
1542160335,1,0
1542166347,0,1
1542174042,2,0
1542177864,0,1
1542181702,1,0
1542187978,1,0
1542189856,2,0
1542197806,1,0
1542209301,2,1
1542217485,1,0
1542219394,1,0
1542221559,1,1
1542225372,1,0
1542233336,3,0
1542235471,0,1
1542239798,1,0
1542243639,1,0
1542247486,0,1
1542255623,1,0
1542259477,0,2
1542261382,1,0
1542263326,1,0
1542269100,0,1
1542275068,0,2
1542277043,0,1
1542284676,0,1
1542296460,0,2
1542298658,1,0
1542305085,0,2
1542306985,0,1
1542310847,0,1
1542318767,0,2
1542320903,0,1
1542323089,1,0
1542326920,0,1
1542330773,0,1
1542340344,1,0
1542342264,0,1
1542346362,0,1
1542350180,0,1
1542359802,1,0
1542385132,0,1
1542408505,0,1
1542412381,1,0
1542425808,0,1
1542429623,1,0
1542439224,1,0
1542446898,0,1
1542497573,0,1
1542516762,0,1
1542523008,0,1
1542535707,1,0
1542539531,1,0
1542586101,1,0
1542622587,0,1
1542624514,0,1
1542638198,1,0
1542655958,1,0
1542673303,0,1
1542680949,1,0
1542702263,1,0
1542723627,1,0
1542725532,0,1
1542727454,1,0
1542743295,0,1
1542759167,1,0
1542768753,0,1
1542790160,1,1
1542799716,1,0
1542808342,0,1
1542814113,0,1
1542816061,1,0
1542831893,1,0
1542833781,1,0
1542839547,1,0
1542845569,0,1
1542864759,1,0
1542874586,1,0
1542876501,0,1
1542880363,1,0
1542886355,0,1
1542888281,1,0
1542894021,1,0
1542901942,1,1
1542919459,1,2
1542925222,0,1
1542930993,1,0
1542944677,1,0
1542950669,0,1
1542960552,0,1
1542968184,0,1
1542973941,0,1
1542979704,0,1
1542982604,1,0
1542988594,0,1
1542990512,1,0
1543005883,0,1
1543017864,0,1
1543021731,1,0
1543029417,1,0
1543031319,0,1
1543044873,1,0
1543060915,1,0
1543068749,0,1
1543076421,0,1
1543103547,1,0
1543109317,0,1
1543117223,0,1
1543132581,0,1
1543148195,0,1
1543188041,0,1
1543254013,1,0
1543290975,1,0
1543298679,1,0
1543341396,0,1
1543362980,1,0
1543376897,0,1
1543384873,0,1
1543429957,1,0
1543446308,1,0
1543450112,0,1
1543496927,1,0
1543502663,1,0
1543504586,1,0
1543516351,0,1
1543529793,1,0
1543531707,0,1
