DateTime,AddedIPs,RemovedIPs
1534203785,1,3
1534225847,2,5
1534247778,3,2
1534269866,2,0
1534291957,1,2
1534314019,14,17
1534335865,3,0
1534357945,1,1
1534380759,2,2
1534402601,1,3
1534424458,0,2
1534446517,1229,0
1534468684,2017,0
1534512750,2,7
1534534652,1,1
1534556653,2,12
1534578752,1,2
1534600894,1,0
1534623265,1,1
1534645215,1,0
1534667321,0,2
1534689376,1,15
1534711544,1,0
1534733547,2,1
1534755648,3,2
1534777563,1,2
1534799548,5,4
1534821627,4,0
1534843472,3,2
1534865547,3,1
1534887393,1,0
1534909453,9,10
1534931306,2,2
1534953400,4,2
1534975484,4,0
1534997539,2,16
1535019619,13,2
1535041474,7,1
1535063768,2,3182
1535085618,3,2
1535107694,1,2
1535129772,3,0
1535151691,3,1
1535173702,0,6
1535195801,1,3
1535217865,9,0
1535239943,1,0
1535262013,3,0
1535283862,0,2
1535306783,0,1
1535350613,6,1
1535372667,1,3
1535394998,0,4
1535417052,2,2
1535439027,1,5
1535461264,0,3
1535483564,1,1
1535505682,2,8
1535527942,2,3
1535549825,5,4
1535571867,0,2
1535594228,2,0
1535616529,3,16
1535638854,4,3
1535661166,2,4
1535683214,0,4
1535705086,3,1
1535727144,10,1
1535748984,2,5
1535770839,1,2
1535792909,3,1
1535814760,5,2
1535836607,5,8
1535858661,4,2
1535880774,3,2
1535902827,634,1
1535924891,2559,1
1535946995,0,1
1535969075,0,1
1535991214,1,44
1536013244,0,1
1536035309,0,1
1536057651,1,1
1536079707,5,0
1536102077,0,2
1536124222,1,3
1536146183,1,5
1536168041,0,1
1536190318,0,1
1536212204,2,1
1536234273,1,3
1536256120,1,0
1536277995,0,4
1536300064,1,0
1536322128,0,3
1536344195,0,13
1536366039,3,2
1536388361,0,2
1536410429,2,3
1536432286,1,3
1536454378,1,5
1536476445,0,3
1536498511,44,6
1536520360,0,3183
1536542430,3,6
1536564286,6,0
1536586390,3,3
1536608455,2,2
1536630868,1,0
1536652877,1,1
1536674929,4,0
1536696996,3,6
1536718843,4,0
1536740918,1,2
1536762972,1,2
1536785081,2,0
1536807160,1,2
1536829007,1,2
1536851105,3,1
1536873135,1,1
1536895033,1,1
1536917315,2,0
1536939385,0,2
1536961478,0,1
1536983334,0,10
1537016666,3,2
1537038514,5,3
1537060598,2,5
1537082665,2,0
1537104786,3,0
1537126837,1,0
1537148918,6,1
1537170877,1,7
1537192884,0,1
1537214910,0,1
1537237254,7,0
1537259315,0,2
1537281383,4,4
1537303480,1,4
1537325546,1,64
1537347656,1,1
1537369502,1,0
1537391790,2,3
1537413854,0,4
1537435716,1,3
1537457797,1,1
1537479884,1,0
1537502004,3,1
1537524276,1,1
1537546131,2,1
1537568173,2,0
1537590026,2,0
1537612111,2,3
1537634201,0,3
1537656290,1,1
1537678344,0,2
1537700485,0,1
1537722519,1,1
1537744584,0,5
1537766430,1,1
1537810357,1,0
1537832203,0,1
1537854262,1,4
1537876607,8,3
1537898686,0,7
1537920743,14,3
1537942833,2,1
1537964911,3,3
1537986983,2,1
1538009077,6,1
1538031153,2,1
1538053509,1,0
1538075565,2,1
1538119698,1,1
1538141798,69,2
1538185957,0,1
1538219329,1,4
1538241401,1,1
1538263469,2,0
1538285555,2,1
1538307622,0,1
1538329463,1,3
1538351536,0,1
1538373378,4,0
1538395309,4,5
1538417307,2,1
1538439161,4,0
1538461480,4,0
1538483555,2,8
1538527710,3,11
1538550083,0,2
1538572343,0,1
1538594205,2,1
1538616510,3,11
1538638585,2,1
1538660436,1,1
1538682528,1,2
1538726931,0,4
1538749017,1,2
1538771069,3,0
1538792942,1,0
1538815011,3,0
1538837057,0,495
1538858900,0,1
1538881012,3,3
1538902874,1,1
1538924920,497,2
1538946996,0,1
1538969083,1,1
1538991158,0,2
1539013479,1,4
1539035793,3,1
1539057894,0,1
1539079957,4,2
1539102047,2,63
1539146178,2,1
1539223484,1,0
1539245541,1,2
1539267384,1,0
1539311315,2,0
1539333650,63,0
1539355953,0,2
1539378046,0,2
1539400342,2,1
1539422428,1,3
1539444767,2,2
1539466810,1,0
1539488674,1,1
1539510746,0,1
1539543884,1,4
1539565947,0,2
1539609880,3,0
1539631943,0,2
1539653797,1,3
1539675866,0,1
1539697953,1,1
1539720115,0,2
1539742121,3,1
1539764208,2,2
