DateTime,AddedIPs,RemovedIPs
1535692598,6,61
1535714672,10,118
1535736634,4,120
1535758593,5,80
1535780693,5,7
1535802750,10,4
1535824897,7,3
1535847271,5,4
1535869260,5,4
1535891677,4,0
1535913617,6297,12
1535935714,6,6
1535957560,6,5
1535979699,6,7
1536001720,2,6
1536023564,37,9
1536046002,93,9
1536068207,32,7
1536090047,152,7
1536112113,168,9
1536134189,82,10
1536156087,53,11
1536178361,60,3
1536200209,40,4
1536222285,73,6
1536244360,50,14
1536266430,14,3
1536288497,14,8
1536310606,41,4
1536332457,16,5
1536354530,33,7
1536376945,19,2
1536398921,9,3
1536420984,6,10
1536443069,18,3
1536465140,32,4
1536487268,12,3
1536509351,21,2360
1536531409,56,3935
1536553454,27,4
1536575297,6,9
1536597389,11,3
1536619481,13,6
1536641537,12,14
1536663380,20,17
1536685250,9,16
1536707326,7,55
1536729394,15,39
1536751473,14,33
1536773546,7,31
1536795626,8,46
1536817728,3,57
1536839775,16,54
1536861703,10,16
1536883963,17,20
1536906043,41,37
1536928134,29,25
1536950174,19,26
1536972270,6,17
1536994358,18,21
1537027551,4,13
1537049789,9,27
1537071889,2,21
1537093959,4,15
1537115803,9,29
1537137850,13,108
1537159732,18,57
1537181789,4,15
1537203919,45,27
1537226213,120,10
1537248259,76,23
1537270125,14,43
1537291974,33,20
1537314045,23,6
1537336347,29,13
1537369504,14,20
1537391790,15,8
1537413855,17,12
1537435716,26,8
1537457798,11,17
1537479885,6,11
1537502005,12,43
1537524277,31,30
1537546132,13,26
1537568174,25,7
1537590027,3,16
1537612111,8,3
1537634201,9,6
1537656291,94,7
1537678344,10,3
1537700489,9,2
1537722520,13,8
1537744584,22,14
1537766430,22,17
1537788270,18,5
1537810358,17,37
1537832203,27,126
1537854263,75,81
1537876608,42,20
1537898692,61,27
1537920744,37,22
1537942833,9,26
1537964911,68,13
1537986983,30,7
1538009078,24,25
1538031153,7,26
1538053532,16,10
1538075567,18,12
1538097665,3,12
1538119699,3,15
1538141798,14,23
1538163871,15,6
1538185957,41,20
1538219330,36,12
1538241401,6,12
1538263470,8,95
1538285556,6,10
1538307625,4,10
1538329712,94,9
1538351786,18,26
1538373905,3,17
1538396244,2,23
1538418265,8,20
1538440335,8,43
1538462192,8,67
1538484271,16,55
1538506127,4,71
1538528508,100,38
1538550529,100,11
1538572604,31,26
1538594664,26,36
1538616511,42,27
1538638587,23,16
1538660436,51,27
1538682529,9,22
1538704881,13,2
1538726931,23,7
1538749018,45,13
1538771069,30,24
1538792943,40,43
1538815011,18,24
1538837058,8,9
1538858901,17,5
1538881013,9,6
1538902879,17,7
1538924921,18,6
1538946996,10,16
1538969083,11,10
1538991159,13,3
1539013480,7,98
1539035801,19,5
1539057895,30,5
1539079958,17,20
1539102048,19,7
1539124118,16,77
1539146179,12,51
1539168261,33,44
1539190347,5,32
1539212444,36,34
1539234499,78,18
1539256581,47,30
1539278428,93,39
1539300765,30,11
1539322833,9,17
1539344683,37,45
1539366731,18,31
1539388839,24,48
1539410920,39,31
1539433016,26,6
1539455069,98,22
1539477414,39,11
1539499475,43,11
1539521799,20,24
1539543885,17,7
1539565947,4,15
1539587793,7,9
1539609880,16,6
1539631943,12,18
1539653797,25,15
1539675867,64,23
1539697953,14,17
1539720116,24,17
1539742122,26,27
1539764209,31,16
1539786250,28,12
1539808373,75,15
1539830417,18,58
1539852287,10,15
1539874375,14,37
1539896474,9,66
1539918621,22,14
1539940954,27,18
1539962900,14,14
1539984989,15,8
1540007064,12,24
1540029156,17,19
1540051345,35,58
1540073324,12,49
1540095406,38,47
1540117459,9,38
1540139338,18,41
1540161407,31,14
1540183474,29,11
1540205317,54,21
1540227377,5,18
1540249494,6,9
1540271808,7,47
1540294112,8,12
1540315958,6,4
1540338022,5,36
1540360103,42,26
1540382178,20,11
1540404072,6,92
1540426046,10,26
1540447973,8,17
1540470261,22,12
1540492365,13,7
1540514445,8,9
1540536768,9,35
1540558872,5,21
1540580905,6,16
1540603005,38,21
1540625063,32,10
1540646932,9,31
1540669006,12,22
1540691061,6,22
1540712906,80,28
1540734988,9,11
1540757089,7,43
1540779169,24,14
1540801491,33,54
1540823333,9,52
1540845651,16,13
1540867702,15,7
1540889795,69,8
1540911675,8,5
1540934446,87,6
1540956515,52,10
1540978358,35,59
1541000205,5,13
1541022279,4,19
1541044356,6299,5
1541066474,6,14
1541088801,17,6
1541110819,25,10
1541132671,81,7
1541154768,3,8
1541176849,15,4
1541198905,13,7
1541220764,20,36
1541242850,6,8
1541265162,15,12
1541287209,15,7
1541309060,26,13
1541331161,22,8
1541353463,6,2
1541375569,10,73
1541397643,7,18
1541419506,4,8
1541441571,7,11
1541463905,21,5
1541485941,9,18
1541508040,5,26
1541529899,11,41
1541552103,14,38
1541585056,10,63
1541607091,14,2
1541628997,17,6
1541651074,12,7
1541673910,2,7
1541695957,4,11
1541718091,42,31
1541740369,17,74
1541762656,9,5
1541784517,14,18
1541806582,11,11
1541828657,16,39
1541850516,10,10
1541872600,35,26
1541894513,15,19
1541916767,33,70
1541938644,32,21
1541960678,13,11
1541982828,2,26
1542005055,11,13
1542027161,33,5
1542049283,11,9
1542071567,32,30
1542093639,64,18
1542115485,15,9
1542137554,7,16
1542159619,9,24
1542181704,13,11
1542203552,1,6297
1542225643,13,24
1542247487,12,6
1542269552,19,7
1542291638,18,11
1542313936,7,22
1542335784,8,53
1542357770,14,9
1542379941,7,12
1542402066,8,8
1542424347,37,15
1542446439,3,18
1542468497,20,18
1542490578,30,34
1542512652,16,24
1542534504,3,42
1542556344,8,8
1542578476,41,5
1542600528,49,6
1542622588,17,23
1542644441,10,20
1542666531,13,17
1542688583,14,73
1542710667,19,44
1542732525,5,8
1542754893,80,9
1542777163,33,19
1542799229,8,5
1542821296,12,9
1542843394,20,17
1542865326,42,12
1542887297,11,22
1542909367,9,5
1542931240,32,8
1542953323,29,15
1542975403,20,3
1542997714,49,12
1543019810,17,18
1543041875,4,12
1543063928,18,14
1543086193,8,12
1543108118,12,19
1543129967,5,5
1543152049,9,6
1543174372,16,6
1543196660,11,37
1543218509,4,17
1543240601,9,12
1543262659,16,8
1543284526,12,14
1543306370,14,13
1543328457,24,6
1543350492,18,33
1543372358,13,29
1543394679,23,8
1543416760,9,8
1543438921,3,10
1543460899,9,40
1543482749,8,21
1543505339,36,11
1543527378,17,8
1543549231,8,49
1543571316,0,25
1543593385,4,72
1543615683,5,14
1543637544,10,21
1543659643,5,16
1543681957,4,37
1543704014,8,20
1543726134,2,12
1543748191,3,15
1543770277,2,25
1543792626,3,29
1543814915,5,11
1543836768,6,5
1543859073,5,22
1543880924,6,24
1543902978,6,15
1543925203,10,52
1543947166,11,89
1543969018,6,13
1543991081,7,72
1544013160,7,38
1544035462,43,16
1544057803,5,13
1544079889,8,24
1544102193,6,135
1544124288,51,104
1544146611,197,20
1544168651,91,2
1544190740,6322,2
1544212880,43,5
1544234915,95,8
1544257012,122,5
1544279072,16,4
1544301147,29,4
1544323251,108,5
1544345299,19,2
1544367154,47,3
1544389299,33,3
1544411574,20,1
1544433886,36,2
1544455931,22,8
1544478032,13,6
1544500139,16,3
1544522173,5,7
1544544571,2,13
1544566590,5,5
1544588685,5,6
1544610986,2,4
1544633093,4,39
1544655193,3,6
1544677615,3,7
1544699796,4,4
1544721656,3,13
1544743702,7,33
1544765811,20,36
1544787886,7,6296
1544809964,4,13
1544832289,6,36
1544854595,10,100
1544876655,2,14
1544898768,2,11
1544920810,4,78
1544942914,5,18
1544964994,6,43
1544986865,5,68
1545008924,9,40
1545031002,29,49
1545053073,44,84
1545074918,26,46
1545096968,11,72
1545118851,5,46
1545140928,28,18
1545174253,83,5
1545196347,5,5
1545218190,13,6
1545240039,3,4
1545262088,17,1
1545284155,3,6
1545306037,2,3
1545327887,2,4
1545349946,2,6
1545372104,5,50
1545394113,0,14
1545416179,4,2
1545438039,1,12
1545460095,7,19
1545481970,1,2
1545504013,5,7
1545525857,11,6
1545547702,6,6
1545569549,39,12
1545591404,26,7
1545613499,19,12
1545635543,11,37
1545657627,16,53
1545679689,11,39
1545701791,3,14
1545723648,2,8
1545745696,12,29
1545767567,4,53
1545789704,3,37
1545811743,5,4
1545833781,3,21
1545855880,4,16
1545877941,14,9
1545899810,4,0
1545921856,2,5
1545943948,2,3
1545965796,1,2
1545987661,5,2
1546009717,3,4
1546031793,8,2
1546053873,10,1
1546075945,2,4
1546098012,3,0
1546119876,3,14
1546141947,2,10
1546163790,1,7
1546185695,4,106
1546207947,0,32
1546230044,2,7
1546251908,7,16
1546273967,16,22
1546296015,21,6
1546317868,7,0
1546339724,13,4
1546361796,19,9
1546383659,5,0
1546405715,5,7
1546427808,7,3
1546449869,174,3
1546471950,5,4
1546494015,54,11
1546515857,24,2
1546537946,39,1
1546560149,38,3
1546582223,11,1
1546604444,18,4
1546626513,45,5
1546648372,35,8
1546670414,13,8
1546692284,21,4
1546714345,22,5
1546736472,9,1
1546758522,3,2
