DateTime,AddedIPs,RemovedIPs
1544424292,0,1
1544426199,1,0
1544428105,2,0
1544431946,1,0
1544437703,1,1
1544442062,1,0
1544446391,1,0
1544450516,1,0
1544454312,1,3
1544456459,1,0
1544462192,0,1
1544466069,0,1
1544474205,1,0
1544483790,1,0
1544487443,0,1
1544491234,1,0
1544495318,0,1
1544497327,1,0
1544501549,1,0
1544507578,0,1
1544513319,1,3
1544515323,1,0
1544517175,0,1
1544519328,4,0
1544523150,1,0
1544525074,0,1
1544527141,0,1
1544535154,2,0
1544537080,0,1
1544547376,1,0
1544557500,0,1
1544559421,2,1
1544561332,1,1
1544565167,0,2
1544571389,0,1
1544575230,1,0
1544579314,2,0
1544583149,1,2
1544587303,2,1
1544589177,1,2
1544591115,0,1
1544593251,1,0
1544598995,13,0
1544600928,3,1
1544602837,0,1
1544604745,0,3
1544609145,1,0
1544621147,0,1
1544629214,0,1
1544633808,0,1
1544644130,1,0
1544646278,0,2
1544648181,1,1
1544656101,1,1
1544660197,0,1
1544662125,0,1
1544673948,0,2
1544675780,5,1
1544677620,2,0
1544683941,0,12
1544685882,0,3
1544687814,0,1
1544689971,2,0
1544693797,1,0
1544695737,0,1
1544707636,1,0
1544709765,1,0
1544715652,1,0
1544721659,1,0
1544729819,0,1
1544731734,0,1
1544735589,0,1
1544739871,1,1
1544748409,2,0
1544752619,0,2
1544754780,1,0
1544756675,1,0
1544762353,0,5
1544764339,1,2
1544768452,1,0
1544776108,0,2
1544778131,0,1
1544780226,0,1
1544785949,1,0
1544787889,1,0
1544790059,1,0
1544802068,2,1
1544807798,0,2
1544811898,1,0
1544818139,1,0
1544826284,1,1
1544828184,1,0
1544834218,0,1
1544836134,1,0
1544839956,0,1
1544841860,0,2
1544844063,1,0
1544851703,1,1
1544856051,0,1
1544860092,1,0
1544864182,1,0
1544866096,0,1
1544868118,1,0
1544871891,0,1
1544875704,1,1
1544877870,1,1
1544887973,1,1
1544891819,1,1
1544893714,1,0
1544897549,0,1
1544899501,0,1
1544905486,1,0
1544909544,1,0
1544915310,1,1
1544921088,0,2
1544923138,0,1
1544929001,1,0
1544930910,0,1
1544936704,0,1
1544940545,1,0
1544946317,1,1
1544952046,2,0
1544953950,0,1
1544957793,1,0
1544961735,0,1
1544969311,1,0
1544973174,0,1
1544975067,0,1
1544978927,1,0
1544980838,0,1
1544986602,1,0
1544990689,1,0
1544992604,66,0
1544996425,0,1
1545015945,0,2
1545017788,1,0
1545021626,1,0
1545027655,2,1
1545031492,1,1
1545033391,1,0
1545037337,1,2
1545039181,3,0
1545041111,1,0
1545051171,1,0
