DateTime,AddedIPs,RemovedIPs
1544671966,1,0
1544679877,0,2
1544682058,2,1
1544683943,0,1
1544685884,1,0
1544689972,2,0
1544701712,0,1
1544703896,1,0
1544709767,0,1
1544717606,0,1
1544719505,1,1
1544723581,1,0
1544725459,1,0
1544729821,1,0
1544733650,0,1
1544737709,2,0
1544744229,1,0
1544750428,0,1
1544752621,1,2
1544758613,0,1
1544768454,0,2
1544772286,0,1
1544776121,3,2
1544778132,1,0
1544785951,1,0
1544791963,0,1
1544805870,0,1
1544809703,0,1
1544811899,0,1
1544815977,0,1
1544818145,1,0
1544824363,0,2
1544830360,3,1
1544838040,0,1
1544844071,1,0
1544856053,2,0
1544860093,2,0
1544862283,1,3
1544864183,0,1
1544869949,1,0
1544873782,0,1
1544897551,1,0
1544905487,0,1
1544913386,1,0
1544915312,1,0
1544917250,0,3
1544929002,0,1
1544940546,1,1
1544942437,2,0
1544944366,1,0
1544946319,0,1
1544950104,0,1
1544955884,0,1
1544961736,0,1
1544965489,1,0
1544969313,0,1
1544971251,3,0
1544975068,2,0
1544984692,0,1
1544988515,1,0
1544996427,1,0
1545000292,0,1
1545002192,0,1
1545004382,1,0
1545012134,1,0
1545013972,1,0
1545025494,2,0
1545027656,0,1
1545029565,0,3
1545033392,1,0
1545037340,1,0
1545039183,1,0
1545047080,1,0
1545049287,1,0
1545051173,0,1
1545056914,0,3
1545060795,0,2
1545074425,0,1
1545076385,2,0
1545080210,2,0
1545082396,2,1
1545086216,1,0
1545094102,1,0
1545096058,1,1
1545098123,0,1
1545100114,0,1
1545102150,1,0
1545105890,1,0
1545111656,0,1
1545113671,0,1
1545117422,1,0
1545119350,2,1
1545125104,0,2
1545126988,1,0
1545131106,1,0
1545133256,1,1
1545135186,0,1
1545140934,1,0
1545147151,1,0
1545154834,1,0
1545156775,1,0
1545162759,0,2
1545166978,0,2
1545168794,0,2
1545172829,0,1
1545174755,1,0
1545180785,0,2
1545184585,1,0
1545188566,2,1
1545192748,0,1
1545196601,1,0
1545204521,0,2
1545206733,2,1
1545213164,1,1
1545216998,0,1
1545218923,0,1
1545220941,1,0
1545228756,0,1
1545230693,27,0
1545232583,0,1
1545244375,0,2
1545248190,1,0
1545250139,1,0
1545259944,0,1
1545267882,1,0
1545271713,0,1
1545273661,1,0
1545275590,0,2
1545279396,2,0
1545283479,0,1
1545285381,0,1
1545293102,0,2
1545298820,1,1
1545302690,1,0
1545306510,1,0
1545308461,0,1
1545312279,1,0
1545316103,0,27
1545322177,1,0
1545325950,1,0
1545329817,3,0
1545333873,1,1
1545337963,0,1
1545342029,1,0
1545346353,2,0
1545350556,1,0
1545354312,1,1
1545360422,0,1
1545364616,0,1
1545366529,1,1
1545372747,2,0
1545374663,1,0
1545376860,1,0
1545380684,1,0
1545384782,0,1
1545388597,1,0
1545390506,0,1
1545394352,0,1
1545398276,0,1
1545400373,3,0
1545406114,1,0
1545408130,0,1
1545410222,2,0
1545412357,0,1
1545416185,2,3
1545420050,0,1
1545425781,2,0
1545429748,1,1
1545431580,0,1
1545433468,0,1
1545435376,1,0
1545437348,0,1
1545439220,1,1
1545443078,1,0
1545444998,6,0
1545449084,1,0
1545453165,1,0
1545457004,1,0
1545458919,0,2
1545460825,0,1
1545462762,1,1
1545464658,0,1
1545472596,1,0
1545474757,1,0
1545476680,1,0
1545484345,0,1
1545486269,0,3
1545488201,2,0
1545492288,0,1
1545496096,0,1
1545498117,0,1
1545499968,1,0
1545501881,0,1
1545505732,1,0
1545507646,2,1
1545509557,2,0
1545511467,2,1
1545513680,0,1
1545515601,0,1
1545523302,1,1
1545525172,0,1
1545528990,0,1
1545530937,0,2
1545533077,0,4
1545535160,1,0
1545537156,0,1
1545539069,0,1
1545541013,1,0
1545542928,0,1
1545544922,2,0
1545546762,1,0
1545548710,0,1
1545550620,1,0
1545552571,2,0
1545554430,0,1
1545558273,3,1
1545560221,2,0
1545562350,0,2
1545566211,1,0
1545574150,0,2
1545576061,1,0
1545586143,1,1
1545588138,1,0
1545591889,1,1
1545593831,1,2
1545595748,0,1
1545597675,0,3
1545601867,1,0
1545603883,2,0
1545608452,1,0
1545610611,0,1
1545624328,2,0
1545626188,0,1
1545630054,0,2
1545631981,1,0
1545633876,0,1
1545636073,2,0
1545637978,0,2
1545639902,0,1
1545641786,1,0
1545643710,0,2
1545645735,0,2
1545647551,1,1
1545651391,1,1
1545653323,2,0
1545659078,2,0
1545662909,0,1
1545664872,1,0
1545668607,1,0
1545670589,1,0
1545672538,1,1
1545674547,0,1
1545676388,1,0
1545678283,0,1
1545680447,0,1
1545686196,0,1
1545688379,1,0
1545690297,1,0
1545692554,0,2
1545694358,2,1
1545696325,2,0
1545702287,1,0
1545706115,1,0
1545708031,1,0
1545709990,0,1
1545712119,0,1
1545714126,0,1
1545717907,0,1
1545721741,0,2
1545725825,1,0
1545729876,0,1
1545731804,1,0
1545733711,0,1
1545737585,0,1
1545739508,1,2
1545745263,0,2
1545751019,1,0
