DateTime,AddedIPs,RemovedIPs
1545786327,4,4
1545788195,2,5
1545790145,1,3
1545792024,8,5
1545793973,4,6
1545795892,2,6
1545798038,2,4
1545799950,11,7
1545801895,2,3
1545803813,4,7
1545805960,8,3
1545807907,12,5
1545809798,12,2
1545811750,4,4
1545813657,5,5
1545815560,4,5
1545817474,5,6
1545819676,13,11
1545821562,10,4
1545823488,13,0
1545825383,6,2
1545827350,6,7
1545829328,1,4
1545831175,7,4
1545833076,5,2
1545835245,5,5
1545837147,2,1
1545839086,3,4
1545841015,3,7
1545843182,2,10
1545845068,2,12
1545847308,6,4
1545849167,4,6
1545851083,10,3
1545852994,7,3
1545854936,5,5
1545856848,3,2
1545858774,3,5
1545860677,5,7
1545862609,7,4
1545864532,13,4
1545866446,9,7
1545868361,6,2
1545870269,5,7
1545872213,4,2
1545874116,4,2
1545876341,15,3
1545878216,4,7
1545880112,6,6
1545882286,8,2
1545884455,9,2
1545886337,5,11
1545888256,12,2
1545890497,8,5
1545892365,5,6
1545894264,5,11
1545896068,11,9
1545897887,11,5
1545899817,6,5
1545901712,2,4
1545903638,11,4
1545905580,13,15
1545907723,3,11
1545909666,7,14
1545911574,14,5
1545913501,11,5
1545915382,8,2
1545917561,14,5
1545919496,21,4
1545921398,6,7
1545923359,11,2
1545925248,19,1
1545927423,11,3
1545929320,6,1
1545931242,12,3
1545933179,20,6
1545935067,10,3
1545937010,4,6
1545938903,13,7
1545940937,8,6
1545942779,4,4
1545944944,11,2
1545946828,5,5
1545948770,2,8
1545950705,2,12
1545952606,2,11
1545954541,8,6
1545956455,2,4
1545958361,8,4
1545960320,3,5
1545962547,7,14
1545964382,8,10
1545966338,8,6
1545968498,13,6
1545970407,5,10
1545972292,11,3
1545974192,13,13
1545976374,18,9
1545978274,7,3
1545980537,5,7
1545982418,9,10
1545984270,8,11
1545986182,3,6
1545988380,9,2
1545990268,7,15
1545992227,4,11
1545994349,6,4
1545996267,1,6
1545998223,7,16
1546000117,8,7
1546002315,5,11
1546004204,4,14
1546006106,4,17
1546008024,5,4
1546009954,5,11
1546011889,10,18
1546013795,8,8
1546015980,6,10
1546017876,7,15
1546019785,6,16
1546022002,25,10
1546023896,10,2
1546026057,12,21
1546027958,10,5
1546029868,9,7
1546031799,12,8
1546033972,5,5
1546035876,12,0
1546037783,6,2
1546039994,9,10
1546041875,10,3
1546044042,4,7
1546046196,10,4
1546048430,10,7
1546050290,6,8
1546052194,12,5
1546054364,7,12
1546056296,8,6
1546058462,17,10
1546060373,7,15
1546062283,2,13
1546064478,4,10
1546066377,2,7
1546068285,7,6
1546070522,6,10
1546072358,5,2
1546074286,5,8
1546076212,5,9
1546078145,3,2
1546080056,6,6
1546081967,7,3
1546083898,4,8
1546085798,3,4
1546087962,3,7
1546089884,8,5
1546091810,5,4
1546093711,2,2
1546095725,7,6
1546097584,4,5
1546099520,3,9
1546101434,3,4
1546103558,6,9
1546105473,8,7
1546107411,6,19
1546109568,1,15
1546111479,33,12
1546113422,7,11
1546115326,3,12
1546117330,4,13
1546119152,4,5
1546121085,2,5
1546123018,4,11
1546125181,5,9
1546127066,10,9
1546129272,7,10
1546131151,4,4
1546133313,7,11
1546135360,6,8
1546137383,4,7
1546139302,5,12
1546141219,4,4
1546143203,9,14
1546145102,5,9
1546147012,4,11
1546149185,4,3
1546151075,8,3
1546153021,5,4
1546154907,6,6
1546156914,5,5
1546158774,6,6
1546160700,3,5
1546162857,2,5
1546164751,2,4
1546166712,7,5
1546168593,4,5
1546170523,7,3
1546172454,4,4
1546174378,5,3
1546176316,4,5
1546178524,5,5
1546180382,7,5
1546182287,1,5
1546184223,19,2
1546186400,23,2
1546188274,10,5
1546190482,17,9
1546192359,10,4
1546194547,27,6
1546196495,12,9
1546198355,21,26
1546200294,5,9
1546202189,4,4
1546204365,6,6
1546206289,13,3
1546208211,11,1
1546210109,13,5
1546212023,14,8
1546213962,9,7
1546216139,6,6
1546218992,10,5
1546220915,6,11
1546222828,6,1
1546224775,11,4
1546226683,14,4
1546228589,11,5
1546230497,11,7
1546232531,5,4
1546234358,4,2
1546236294,4,7
1546238476,8,8
1546240377,7,8
1546242284,9,5
1546244198,7,6
1546246135,11,4
1546248053,8,2
1546249950,6,1
1546251916,9,6
1546253792,10,4
1546255958,12,7
1546257923,11,6
1546259791,9,1
1546261974,11,7
1546263881,14,4
1546265818,13,7
1546267702,10,2
1546269628,6,17
1546271550,9,5
1546273465,10,24
1546275429,7,7
1546277308,7,19
1546279496,10,13
1546281642,3,18
1546283559,4,22
1546285502,6,15
1546287398,9,8
1546289553,10,6
1546291469,6,2
1546293404,14,16
1546295321,10,12
1546297338,8,16
1546299149,4,12
1546301367,6,9
1546303262,8,5
1546305410,5,6
1546307584,4,6
1546309491,5,7
1546311745,17,11
1546313787,14,15
1546315950,5,12
1546317874,6,10
1546319789,2,6
1546321732,8,2
1546323636,10,3
1546325545,4,12
1546327492,3,7
1546329381,9,9
1546331334,3,10
1546333321,7,7
1546335181,7,6
1546337121,4,9
1546339008,8,10
1546340924,9,8
1546343145,7,10
1546345013,6,10
1546346919,2,6
1546348837,6,10
1546350772,4,20
1546352689,5,10
1546354931,10,10
1546356753,3,9
1546358694,3,9
1546360587,6,9
1546362533,6,5
1546364422,7,9
1546366343,15,8
1546368287,8,1
1546370459,8,7
1546372384,10,8
1546374287,6,9
1546376188,5,10
1546378382,7,9
1546380292,4,13
1546382207,7,11
1546384134,6,8
1546386035,12,7
1546388220,6,7
1546390357,5,3
1546392305,6,4
1546394216,1,5
1546396110,5,10
1546398111,11,11
1546399956,5,12
1546401911,6,6
1546403802,5,4
1546405722,5,5
1546407632,5,5
1546409797,3,12
1546411953,3,8
1546413865,10,2
1546415834,3,9
1546417707,5,3
1546419737,6,6
1546421572,3,7
1546423517,5,5
1546425418,4,7
1546427342,3,8
1546429256,10,7
1546431168,6,6
1546433081,8,2
1546435041,11,5
1546436941,8,3
1546438855,6,3
1546440772,7,6
1546442681,8,7
1546444599,15,2
1546446522,2,5
1546448555,8,7
1546450606,12,4
1546452520,9,15
1546454694,8,8
1546456615,5,8
1546458919,9,12
1546460901,5,6
1546462919,6,6
1546464766,2,7
1546466719,11,5
1546468845,9,7
1546470758,4,10
1546472704,13,6
1546474865,14,7
