DateTime,AddedIPs,RemovedIPs
1545570276,2,1
1545572206,2,0
1545574153,0,1
1545576065,4,1
1545577982,0,1
1545579896,3,1
1545581811,3,0
1545583975,2,2
1545586145,0,4
1545588141,3,1
1545589983,2,1
1545591892,2,4
1545593833,1,1
1545595750,0,1
1545597677,5,1
1545599587,2,3
1545601870,2,2
1545603885,0,4
1545606190,2,6
1545608455,1,1
1545610614,2,0
1545612512,6,3
1545614715,4,1
1545616596,2,1
1545618510,5,7
1545620572,0,3
1545622480,0,5
1545624331,0,2
1545626191,2,2
1545628119,1,1
1545630057,0,2
1545631984,1,1
1545636076,1,5
1545637981,1,3
1545639905,2,2
1545641789,3,3
1545643713,0,2
1545645738,2,3
1545649491,2,3
1545653326,1,6
1545655237,0,3
1545657183,3,1
1545659081,1,2
1545661025,2,2
1545662912,1,4
1545664877,3,1
1545666781,5,5
1545668610,1,2
1545670592,2,3
1545672541,2,2
1545674550,2,2
1545676391,1,1
1545678287,1,1
1545680449,1,2
1545682361,3,1
1545684295,2,4
1545686201,0,2
1545688382,0,2
1545690300,1,1
1545692556,2,2
1545694373,1,0
1545696328,0,2
1545698204,1,5
1545700357,4,3
1545702289,1,3
1545704217,1,6
1545706117,3,0
1545708033,1,0
1545709993,3,0
1545712121,2,4
1545714128,1,1
1545715950,2,0
1545717912,2,3
1545721743,2,0
1545723656,1,1
1545725827,3,3
1545727717,2,0
1545729878,1,3
1545731806,2,3
1545733714,1,0
1545735736,2,1
1545737587,1,1
1545739511,0,1
1545741408,2,0
1545743352,0,2
1545745265,1,1
1545747157,0,1
1545749089,2,0
1545751022,0,4
1545753467,1,2
1545755331,0,1
1545757323,3,2
1545759181,3,2
1545761105,0,1
1545763015,3,1
1545764935,0,1
1545766839,1,2
1545769003,1,4
1545770913,3,2
1545772868,3,2
1545774782,2,0
1545776706,2,1
1545778591,1,1
1545780506,3,2
1545782561,2,1
1545784388,3,0
1545786330,1,3
1545788197,1,3
1545790147,0,1
1545792026,1,2
1545793975,3,1
1545795894,2,3
1545798040,0,1
1545801897,0,1
1545803815,2,1
1545805962,3,3
1545807909,4,3
1545809800,2,1
1545811752,1,5
1545813659,3,1
1545815562,0,2
1545817476,3,0
1545819678,2,2
1545821564,1,1
1545823490,2,0
1545825389,1,1
1545827356,1,0
1545829330,0,2
1545833078,0,3
1545835248,1,2
1545837149,1,1
1545839089,3,0
1545841017,2,0
1545843184,2,2
1545845070,0,4
1545847310,1,1
1545849169,1,3
1545851085,1,0
1545852995,0,1
1545854938,1,1
1545856849,1,2
1545858776,2,5
1545860679,0,1
1545862610,1,1
1545864534,1,3
1545866448,0,1
1545868363,2,3
1545870271,0,3
1545872215,0,1
1545874118,4,1
1545876344,1,0
1545878217,3,1
1545880114,0,3
1545882288,1,3
1545886339,1,0
1545890512,5,2
1545892367,0,3
1545894267,3,6
1545896070,1,0
1545899819,1,2
1545901714,3,2
1545903647,2,3
1545905582,0,1
1545907725,5,3
1545909668,3,3
1545911576,1,1
1545913503,2,1
1545915384,1,0
1545917562,2,0
1545919499,0,1
1545921400,2,1
1545923369,1,1
1545925250,1,3
1545927426,0,1
1545929323,2,3
1545931244,1,0
1545935070,0,2
1545937013,2,0
1545938905,0,1
1545940940,3,0
1545942781,2,1
1545944947,6,0
1545946830,4,1
1545948772,3,1
1545950709,2,2
1545952609,2,0
1545954543,1,2
1545956458,1,0
1545958363,2,0
1545960322,2,2
1545962549,0,2
1545964384,1,1
1545968501,4,2
1545970410,3,0
1545972294,3,1
1545974194,1,1
1545976376,3,3
1545978275,2,1
1545980539,2,3
1545982420,0,1
1545984272,2,0
1545986184,1,0
1545988382,2,4
1545990270,0,3
1545992229,0,2
1545994350,0,4
1545996269,3,5
1545998225,3,0
1546000118,3,1
1546002317,3,1
1546004206,1,0
1546006108,4,0
1546008026,1,0
1546009956,1,1
1546011891,0,1
1546013797,0,1
1546015982,3,1
1546017878,2,0
1546019787,1,0
1546022004,1,0
1546023898,1,3
1546027960,4,3
1546029882,3,4
1546031809,3,3
1546033986,6,3
1546035878,0,5
1546037785,1,3
1546039995,3,1
1546041878,2,0
1546044044,0,3
1546046198,1,2
1546048432,3,2
1546050291,0,1
1546052196,2,0
1546054366,2,2
1546056298,0,2
1546058464,0,1
1546060377,1,2
1546062285,4,5
1546064480,2,3
1546066379,0,1
1546068287,0,1
1546070524,5,2
1546072360,3,2
1546074288,0,3
1546076213,3,1
1546078147,4,0
1546081968,1,1
1546083900,1,3
1546085800,2,1
1546087964,0,4
1546089886,2,2
1546091812,2,4
1546093713,1,1
1546095727,0,2
1546097586,1,1
1546101456,2,1
1546103560,0,4
1546105475,0,3
