DateTime,Entries,UniqueIPs
1545570276,119,119
1545572206,121,121
1545574153,120,120
1545576065,123,123
1545577982,122,122
1545579896,124,124
1545581811,127,127
1545583975,127,127
1545586145,123,123
1545588141,125,125
1545589983,126,126
1545591892,124,124
1545593833,124,124
1545595750,123,123
1545597677,127,127
1545599587,126,126
1545601870,126,126
1545603885,122,122
1545606190,118,118
1545608455,118,118
1545610614,120,120
1545612512,123,123
1545614715,126,126
1545616596,127,127
1545618510,125,125
1545620572,122,122
1545622480,117,117
1545624331,115,115
1545626191,115,115
1545628119,115,115
1545630057,113,113
1545631984,113,113
1545636076,109,109
1545637981,107,107
1545639905,107,107
1545641789,107,107
1545643713,105,105
1545645738,104,104
1545649491,103,103
1545653326,98,98
1545655237,95,95
1545657183,97,97
1545659081,96,96
1545661025,96,96
1545662912,93,93
1545664877,95,95
1545666781,95,95
1545668610,94,94
1545670592,93,93
1545672541,93,93
1545674550,93,93
1545676391,93,93
1545678287,93,93
1545680449,92,92
1545682361,94,94
1545684295,92,92
1545686201,90,90
1545688382,88,88
1545690300,88,88
1545692556,88,88
1545694373,89,89
1545696328,87,87
1545698204,83,83
1545700357,84,84
1545702289,82,82
1545704217,77,77
1545706117,80,80
1545708033,81,81
1545709993,84,84
1545712121,82,82
1545714128,82,82
1545715950,84,84
1545717912,83,83
1545721743,85,85
1545723656,85,85
1545725827,85,85
1545727717,87,87
1545729878,85,85
1545731806,84,84
1545733714,85,85
1545735736,86,86
1545737587,86,86
1545739511,85,85
1545741408,87,87
1545743352,85,85
1545745265,85,85
1545747157,84,84
1545749089,86,86
1545751022,82,82
1545753467,81,81
1545755331,80,80
1545757323,81,81
1545759181,82,82
1545761105,81,81
1545763015,83,83
1545764935,82,82
1545766839,81,81
1545769003,78,78
1545770913,79,79
1545772868,80,80
1545774782,82,82
1545776706,83,83
1545778591,83,83
1545780506,84,84
1545782561,85,85
1545784388,88,88
1545786330,86,86
1545788197,84,84
1545790147,83,83
1545792026,82,82
1545793975,84,84
1545795894,83,83
1545798040,82,82
1545801897,81,81
1545803815,82,82
1545805962,82,82
1545807909,83,83
1545809800,84,84
1545811752,80,80
1545813659,82,82
1545815562,80,80
1545817476,83,83
1545819678,83,83
1545821564,83,83
1545823490,85,85
1545825389,85,85
1545827356,86,86
1545829330,84,84
1545833078,81,81
1545835248,80,80
1545837149,80,80
1545839089,83,83
1545841017,85,85
1545843184,85,85
1545845070,81,81
1545847310,81,81
1545849169,79,79
1545851085,80,80
1545852995,79,79
1545854938,79,79
1545856849,78,78
1545858776,75,75
1545860679,74,74
1545862610,74,74
1545864534,72,72
1545866448,71,71
1545868363,70,70
1545870271,67,67
1545872215,66,66
1545874118,69,69
1545876344,70,70
1545878217,72,72
1545880114,69,69
1545882288,67,67
1545886339,68,68
1545890512,71,71
1545892367,68,68
1545894267,65,65
1545896070,66,66
1545899819,65,65
1545901714,66,66
1545903647,65,65
1545905582,64,64
1545907725,66,66
1545909668,66,66
1545911576,66,66
1545913503,67,67
1545915384,68,68
1545917562,70,70
1545919499,69,69
1545921400,70,70
1545923369,70,70
1545925250,68,68
1545927426,67,67
1545929323,66,66
1545931244,67,67
1545935070,65,65
1545937013,67,67
1545938905,66,66
1545940940,69,69
1545942781,70,70
1545944947,76,76
1545946830,79,79
1545948772,81,81
1545950709,81,81
1545952609,83,83
1545954543,82,82
1545956458,83,83
1545958363,85,85
1545960322,85,85
1545962549,83,83
1545964384,83,83
1545968501,85,85
1545970410,88,88
1545972294,90,90
1545974194,90,90
1545976376,90,90
1545978275,91,91
1545980539,90,90
1545982420,89,89
1545984272,91,91
1545986184,92,92
1545988382,90,90
1545990270,87,87
1545992229,85,85
1545994350,81,81
1545996269,79,79
1545998225,82,82
1546000118,84,84
1546002317,86,86
1546004206,87,87
1546006108,91,91
1546008026,92,92
1546009956,92,92
1546011891,91,91
1546013797,90,90
1546015982,92,92
1546017878,94,94
1546019787,95,95
1546022004,96,96
1546023898,94,94
1546027960,95,95
1546029882,94,94
1546031809,94,94
1546033986,97,97
1546035878,92,92
1546037785,90,90
1546039995,92,92
1546041878,94,94
1546044044,91,91
1546046198,90,90
1546048432,91,91
1546050291,90,90
1546052196,92,92
1546054366,92,92
1546056298,90,90
1546058464,89,89
1546060377,88,88
1546062285,87,87
1546064480,86,86
1546066379,85,85
1546068287,84,84
1546070524,87,87
1546072360,88,88
1546074288,85,85
1546076213,87,87
1546078147,91,91
1546081968,91,91
1546083900,89,89
1546085800,90,90
1546087964,86,86
1546089886,86,86
1546091812,84,84
1546093713,84,84
1546095727,82,82
1546097586,82,82
1546101456,83,83
1546103560,79,79
1546105475,76,76
1546109570,74,74
1546111481,79,79
1546113424,80,80
1546115328,78,78
1546117333,78,78
1546119154,82,82
1546121087,81,81
1546123020,85,85
1546125184,85,85
1546127075,84,84
1546131153,83,83
1546133315,82,82
1546135362,80,80
1546137385,81,81
1546139304,80,80
1546141221,79,79
1546143205,81,81
1546145104,83,83
1546147015,83,83
1546149187,82,82
1546151077,80,80
1546154909,78,78
1546156916,78,78
1546158776,78,78
1546160702,79,79
1546162859,80,80
1546164752,76,76
1546166714,79,79
1546168595,80,80
1546170527,85,85
1546172456,84,84
1546176317,84,84
1546178527,87,87
1546180384,90,90
1546184225,90,90
1546186402,90,90
1546190484,91,91
1546192361,94,94
1546194549,96,96
1546196497,98,98
1546198357,95,95
1546200305,95,95
1546202191,96,96
1546204387,96,96
1546206291,92,92
1546208213,89,89
1546210111,87,87
1546212025,87,87
1546213964,87,87
1546216141,88,88
1546218108,88,88
1546219942,89,89
1546221901,88,88
1546224031,91,91
1546225971,91,91
1546227863,91,91
1546229784,89,89
1546231952,89,89
1546233894,89,89
1546235773,89,89
1546237967,90,90
1546239881,90,90
1546241814,92,92
1546243711,90,90
1546245625,89,89
1546247429,87,87
1546249465,87,87
1546251642,86,86
1546253539,84,84
1546255483,82,82
1546257379,78,78
1546259329,80,80
1546261291,82,82
1546263142,83,83
1546265090,81,81
1546266993,81,81
1546269159,86,86
1546271082,84,84
1546272977,82,82
1546275142,84,84
1546277058,83,83
1546278991,82,82
1546280900,81,81
1546282878,80,80
1546284770,81,81
1546286670,82,82
1546288575,88,88
1546290533,88,88
1546292424,87,87
1546294353,89,89
1546296284,89,89
1546298450,90,90
1546300363,92,92
1546302290,91,91
1546304184,91,91
1546306100,89,89
1546308100,89,89
1546309960,85,85
1546311898,92,92
1546313789,93,93
1546315952,94,94
1546317876,92,92
1546319791,92,92
1546321734,89,89
1546323638,88,88
1546325547,90,90
1546327494,91,91
1546329383,92,92
1546331336,92,92
1546333323,94,94
1546335183,94,94
1546337124,96,96
1546339010,96,96
1546340926,98,98
1546345015,97,97
1546348839,96,96
1546350774,98,98
1546352691,96,96
1546354933,93,93
1546356767,95,95
1546358695,98,98
1546360589,97,97
1546362535,96,96
1546364424,95,95
1546366345,94,94
1546368288,93,93
1546370461,94,94
1546372386,90,90
1546374289,87,87
1546376197,81,81
1546378384,78,78
1546380294,77,77
1546382209,78,78
1546384136,79,79
1546386037,80,80
1546388222,82,82
1546390359,83,83
1546392307,86,86
1546394218,87,87
