DateTime,AddedIPs,RemovedIPs
1545788198,47,32
1545790149,49,24
1545792027,38,25
1545793976,36,25
1545795895,41,21
1545798041,44,31
1545799953,27,21
1545801898,42,35
1545803816,36,25
1545805963,27,27
1545807911,34,24
1545809801,22,18
1545811753,26,29
1545813660,36,18
1545815563,28,21
1545817477,23,26
1545819679,25,33
1545821565,17,28
1545823491,20,25
1545825390,24,26
1545827357,24,31
1545829332,26,31
1545831178,30,25
1545833086,20,27
1545835249,29,33
1545837150,29,26
1545839091,21,23
1545841018,35,20
1545843185,33,587
1545845071,22,1091
1545847311,19,41
1545849170,24,57
1545851086,37,72
1545852996,22,63
1545854939,30,54
1545856850,27,51
1545858777,31,46
1545860680,29,65
1545862611,34,56
1545864535,28,45
1545866449,20,54
1545868363,15,43
1545870272,17,46
1545872216,31,57
1545874119,16,46
1545876346,27,59
1545878218,29,30
1545880115,18,43
1545882289,21,49
1545884457,22,67
1545886340,11,35
1545888259,21,55
1545890513,22,51
1545892368,16,30
1545894268,24,52
1545896071,24,44
1545897890,21,37
1545899820,17,46
1545901715,22,37
1545903648,22,43
1545905583,17,29
1545907726,27,34
1545909669,19,28
1545911577,17,31
1545913504,34,48
1545915385,12,40
1545917563,20,43
1545919500,19,39
1545921401,16,41
1545923370,16,50
1545925251,23,34
1545927438,19,42
1545929324,19,30
1545931245,14,34
1545933182,35,32
1545935071,35,30
1545937014,31,38
1545938906,29,32
1545940941,134,41
1545942782,115,31
1545944948,128,40
1545946831,127,39
1545948773,109,36
1545950710,62,30
1545952610,78,22
1545954544,53,36
1545956459,70,29
1545958364,50,40
1545960324,85,22
1545962550,63,35
1545964385,43,25
1545966342,45,26
1545968502,56,26
1545970413,39,33
1545972295,23,19
1545974195,50,29
1545976377,43,31
1545978276,29,26
1545980540,58,25
1545982421,30,28
1545984273,45,23
1545986185,26,29
1545988383,39,29
1545990271,40,26
1545992230,28,30
1545994351,45,21
1545996270,42,21
1545998227,36,24
1546000119,41,22
1546002318,44,17
1546004207,35,16
1546006109,32,19
1546008027,28,15
1546009957,22,16
1546011892,24,31
1546013798,19,22
1546015983,26,26
1546017879,26,18
1546019788,40,24
1546022005,44,26
1546023899,37,30
1546026060,39,43
1546027961,59,60
1546029883,74,51
1546031810,79,50
1546033987,94,73
1546035879,77,36
1546037786,64,61
1546039996,78,63
1546041878,55,37
1546044045,45,50
1546046199,50,33
1546048433,55,44
1546050292,44,31
1546052197,43,35
1546054367,42,35
1546056299,34,30
1546058465,40,35
1546060378,31,51
1546062286,32,20
1546064480,42,37
1546066380,24,44
1546068288,27,25
1546070524,31,34
1546072361,32,21
1546074289,49,33
1546076214,576,29
1546078148,1399,22
1546080060,1439,23
1546081969,634,19
1546083901,16,26
1546085801,36,27
1546087965,21,26
1546089887,20,32
1546091813,23,27
1546093714,33,22
1546095728,50,21
1546097587,22,18
1546099525,19,23
1546101457,8,24
1546103561,29,17
1546105476,21,23
1546107414,9,33
1546109571,39,28
1546111482,47,66
1546113425,49,28
1546115330,59,37
1546117335,51,31
1546119157,45,31
1546121088,54,29
1546123021,49,34
1546125185,40,30
1546127076,42,23
1546129276,51,33
1546131154,46,36
1546133316,48,44
1546135363,45,24
1546137386,41,29
1546139305,41,25
1546141222,28,28
1546143206,31,22
1546145105,38,20
1546147016,24,29
1546149188,36,28
1546151078,39,22
1546153024,25,19
1546154911,17,26
1546156917,28,22
1546158777,44,18
1546160704,35,25
1546162860,25,46
1546164753,40,36
1546166715,27,35
1546168597,35,22
1546170528,31,43
1546172458,24,1367
1546174381,26,1418
1546176318,45,915
1546178528,51,42
1546180385,50,32
1546182290,1686,31
1546184226,45,17
1546186403,54,25
1546188277,33,12
1546190485,43,41
1546192362,21,11
1546194550,30,17
1546196498,40,45
1546198358,28,40
1546200307,27,41
1546202192,27,40
1546204388,29,118
1546206292,30,30
1546208214,38,59
1546210112,19,42
1546212026,15,39
1546213965,20,49
1546216142,29,59
1546218110,16,55
1546219943,27,51
1546221902,30,52
1546224032,36,49
1546225972,23,52
1546227864,22,44
1546229785,22,47
1546231954,21,50
1546233895,22,38
1546235774,25,35
1546237968,27,56
1546239882,22,46
1546241815,14,44
1546243712,26,58
1546245626,17,49
1546247430,23,61
1546249466,21,65
1546251643,14,69
1546253540,21,45
1546255484,17,68
1546257381,22,49
1546259330,33,58
1546261293,16,54
1546263143,16,47
1546265091,99,60
1546266994,72,144
1546269160,84,1610
1546271083,84,56
1546272979,73,48
1546275143,93,54
1546277059,64,48
1546278992,56,30
1546280901,69,43
1546282898,77,44
1546284771,76,42
1546286671,86,37
1546288576,77,42
1546290534,92,25
1546292425,84,31
1546294354,99,41
1546296285,71,39
1546298451,83,26
1546300365,49,34
1546302291,67,37
1546304185,60,21
1546306101,48,35
1546308105,58,27
1546309961,64,34
1546311911,52,24
1546313790,27,21
1546315953,59,22
1546317877,40,23
1546319792,38,29
1546321735,44,29
1546323639,37,30
1546325548,27,22
1546327495,40,28
1546329384,22,19
1546331337,37,28
1546333324,24,23
1546335184,35,20
1546337125,24,31
1546339011,39,19
1546340927,33,14
1546343148,30,33
1546345016,48,32
1546346922,48,38
1546348840,35,18
1546350775,44,41
1546352692,53,49
1546354934,44,47
1546356768,31,43
1546358696,48,40
1546360590,38,47
1546362536,49,44
1546364425,40,32
1546366346,34,41
1546368289,54,51
1546370462,39,54
1546372387,17,48
1546374290,19,46
1546376198,55,54
1546378385,47,70
1546380295,28,62
1546382210,48,50
1546384137,68,42
1546386038,76,31
1546388223,91,51
1546390361,69,55
1546392308,63,39
1546394219,55,40
1546396114,66,51
1546398116,62,31
1546399959,54,32
1546401914,48,38
1546403805,42,39
1546405726,38,42
1546407635,53,28
1546409800,58,33
1546411956,52,37
1546413868,52,41
1546415841,43,24
1546417710,48,41
1546419740,54,35
1546421576,56,31
1546423520,56,32
1546425422,67,36
1546427345,50,22
1546429259,58,24
1546431171,44,41
1546433085,47,35
1546435054,48,35
1546436944,35,40
1546438865,28,35
1546440775,8,21
1546442684,8,39
1546444602,7,38
1546446526,52,45
1546448558,61,47
1546450609,70,37
1546452523,48,30
1546454697,62,48
1546456619,52,40
1546458922,63,16
1546460904,56,21
1546462923,37,36
1546464769,45,26
1546466722,55,29
1546468848,30,16
1546470761,34,32
1546472707,27,50
1546474868,49,41
1546477353,32,49
1546479171,32,34
1546481104,41,22
1546483003,24,24
1546484907,37,37
1546487073,28,32
1546489257,24,33
1546491141,14,23
1546493064,17,21
1546495127,21,39
1546497182,28,46
1546499112,24,31
1546501014,22,22
1546502911,26,33
1546504866,39,19
1546506746,19,23
1546508702,30,36
1546510604,20,42
1546512534,27,37
1546514429,19,37
1546516357,16,23
1546518278,23,35
1546520215,25,43
1546522380,22,43
1546524562,27,26
1546526441,17,21
1546528388,25,12
1546530283,17,8
1546532229,23,22
1546534395,17,38
1546536283,19,35
1546538208,25,37
1546540377,26,35
1546542321,40,28
1546544222,1784,26
1546546369,2065,32
1546548293,1921,16
1546550233,1897,18
1546552133,1885,22
1546554062,1820,17
1546555977,275,19
1546557888,8,22
1546560174,10,28
1546562204,11,22
1546564377,14,21
1546566276,13,28
1546568177,20,29
1546570114,11,19
1546572037,10,28
1546574115,8,28
1546576128,17,29
1546578135,13,21
1546580197,11,26
1546582230,14,39
1546584256,14,25
1546586215,9,35
1546588103,7,36
1546590037,3,37
1546591941,10,36
1546593887,14,49
1546596123,23,39
1546597961,9,55
1546599898,8,45
1546601813,16,37
1546603972,13,61
1546605866,11,66
1546608027,13,84
1546609965,9,46
1546611767,9,64
1546613851,15,50
1546615948,12,81
1546618178,14,99
1546620274,13,95
1546622185,13,90
1546624143,17,85
1546626027,12,127
1546627983,20,115
1546630156,16,1599
1546632127,12,2238
1546633955,14,2061
1546636150,14,2457
1546638037,11,2233
1546639968,8,2053
1546641859,8,881
1546643803,8,12
1546645950,7,14
1546648028,24,17
1546650130,12,17
1546651960,8,25
1546653909,7,17
1546655813,10,12
1546657977,10,22
1546659874,17,21
1546662062,10,16
1546663972,10,21
1546665890,15,21
1546667799,12,20
1546669958,11,23
1546671895,11,18
1546673786,11,22
1546675750,11,15
1546677634,12,20
1546679572,7,16
1546681483,9,17
1546683501,6,30
1546685610,13,12
1546687479,20,13
1546689400,13,18
1546691313,12,19
1546693315,15,20
1546695159,23,15
1546697086,12,22
1546699261,8,17
1546701156,16,25
1546703096,16,15
1546705028,11,18
1546706920,10,12
1546708848,15,18
1546710777,10,18
1546712679,11,28
1546714606,25,30
1546716514,10,14
1546718544,6,14
1546720365,12,17
1546722335,15,16
1546724466,17,13
1546726370,10,10
1546728290,10,7
1546730212,18,8
1546732137,13,10
1546734038,11,15
1546735981,8,21
1546737881,15,8
1546739798,13,6
1546741983,15,12
1546743921,8,10
1546746060,12,14
1546747960,16,11
1546749871,17,13
1546752063,13,10
1546753949,12,10
1546755909,12,17
1546757790,9,9
1546760039,13,16
1546762180,14,6
1546764035,18,9
1546765964,15,10
1546767874,13,10
1546770073,12,6
1546771967,14,8
