DateTime,Entries,UniqueIPs
1535749492,7369,7369
1535771561,7382,7382
1535793637,7378,7378
1535815735,6522,6522
1535838044,6238,6238
1535860144,6263,6263
1535882205,6286,6286
1535904299,6374,6374
1535926337,6389,6389
1535948460,6416,6416
1535970529,6427,6427
1535992833,6447,6447
1536014693,6459,6459
1536037100,6475,6475
1536059092,6462,6462
1536081157,6475,6475
1536103480,6485,6485
1536125563,6496,6496
1536147413,6556,6556
1536169459,6450,6450
1536191316,6464,6464
1536213168,6472,6472
1536235305,6480,6480
1536257304,6474,6474
1536279419,6467,6467
1536301490,6468,6468
1536323582,6452,6452
1536345637,6451,6451
1536367697,6449,6449
1536389551,6451,6451
1536411412,6447,6447
1536433285,6454,6454
1536455308,6460,6460
1536477168,6449,6449
1536499247,6380,6380
1536521300,6362,6362
1536543410,6353,6353
1536565390,6336,6336
1536587396,6319,6319
1536609379,6294,6294
1536631299,6266,6266
1536653308,6233,6233
1536675397,6212,6212
1536697456,7362,7362
1536719338,7351,7351
1536741394,2877,2877
1536763500,2861,2861
1536785562,2848,2848
1536807701,2824,2824
1536829964,2802,2802
1536852055,2788,2788
1536874362,2805,2805
1536896434,2785,2785
1536918295,2777,2777
1536940382,2785,2785
1536962508,2790,2790
1536984757,2785,2785
1537006618,2766,2766
1537028772,2746,2746
1537050786,2731,2731
1537072861,2718,2718
1537095158,2708,2708
1537117274,2693,2693
1537139566,2689,2689
1537161651,2744,2744
1537183706,2742,2742
1537205811,2748,2748
1537228139,2763,2763
1537250204,2782,2782
1537272110,2788,2788
1537294367,2780,2780
1537316213,2780,2780
1537338286,2779,2779
1537360363,2778,2778
1537382414,1407,1407
1537404289,1409,1409
1537426476,1442,1442
1537448698,1447,1447
1537470766,1455,1455
1537492848,1461,1461
1537514921,1476,1476
1537536775,1466,1466
1537558830,1457,1457
1537580933,1447,1447
1537602981,1433,1433
1537625126,1416,1416
1537647141,1407,1407
1537669286,1384,1384
1537691305,1373,1373
1537713411,1372,1372
1537735453,1392,1392
1537757323,1408,1408
1537779374,1407,1407
1537801499,1401,1401
1537823568,1398,1398
1537845653,1397,1397
1537867724,1396,1396
1537889564,1394,1394
1537911634,1393,1393
1537933719,1324,1324
1537955783,1322,1322
1537977912,1317,1317
1537999960,1341,1341
1538022029,1347,1347
1538043896,1356,1356
1538065963,1368,1368
1538088035,1362,1362
1538109888,4978,4978
1538131947,8415,8415
