DateTime,AddedIPs,RemovedIPs
1545696330,2,2
1545698205,1,2
1545700358,1,0
1545702291,3,1
1545704218,1,0
1545706119,2,1
1545708035,2,1
1545709994,5,0
1545712123,1,1
1545714130,3,3
1545715952,3,0
1545717917,3,0
1545719819,0,2
1545721745,3,2
1545725829,1,1
1545727718,2,2
1545729880,1,1
1545731808,2,2
1545733715,0,1
1545735737,1,1
1545737589,2,1
1545739513,2,2
1545743353,2,2
1545745266,1,1
1545747158,1,0
1545749091,1,1
1545751023,3,3
1545753469,1,1
1545755332,0,3
1545757325,1,1
1545759182,1,0
1545761107,2,1
1545763017,1,1
1545764937,2,1
1545766841,0,3
1545769005,1,2
1545770915,3,1
1545772869,3,0
1545774784,0,1
1545776708,0,2
1545778592,2,3
1545780508,0,3
1545782563,1,3
1545784389,3,1
1545786332,1,0
1545788198,1,3
1545790149,3,1
1545792028,2,2
1545793977,0,2
1545795896,1,5
1545798041,3,2
1545799954,1,3
1545801898,0,2
1545803816,0,3
1545805964,1,1
1545807912,2,3
1545811754,1,1
1545813660,0,1
1545815563,1,1
1545817478,1,2
1545819679,1,1
1545821566,1,1
1545823492,1,2
1545825390,0,2
1545827358,1,0
1545829332,2,2
1545831178,1,1
1545833087,2,1
1545835250,1,1
1545837151,2,3
1545841018,1,1
1545843185,1,0
1545845072,0,2
1545847312,2,2
1545849171,0,1
1545851087,1,0
1545853009,1,2
1545856851,0,4
1545858777,1,3
1545860692,2,0
1545864536,1,0
1545866450,1,2
1545868364,2,0
1545870273,1,4
1545872217,0,1
1545874119,1,1
1545876346,3,2
1545878219,2,2
1545882289,1,1
1545884458,1,4
1545886340,1,1
1545890514,2,0
1545892369,1,1
1545894268,2,2
1545896072,5,0
1545897891,2,1
1545899820,1,0
1545901716,0,1
1545903649,0,1
1545905583,0,1
1545907726,2,1
1545909670,3,1
1545911578,1,0
1545913505,0,1
1545915386,2,2
1545917564,0,1
1545919500,1,2
1545921402,3,0
1545923371,1,3
1545927439,2,1
1545929324,0,1
1545931245,1,0
1545933183,3,2
1545935071,1,0
1545937014,1,1
1545940941,0,1
1545944948,1,1
