DateTime,AddedIPs,RemovedIPs
1545354343,0,1
1545356451,0,2
1545358355,0,2
1545360427,1,4
1545362490,0,1
1545364621,0,1
1545366546,1,0
1545368572,0,1
1545370870,2,1
1545372751,0,4
1545374668,1,0
1545376864,0,4
1545380689,1,1
1545382603,0,3
1545384788,0,1
1545388602,0,1
1545392460,2,0
1545394357,1,1
1545396270,0,1
1545400378,1,1
1545404205,1,1
1545408136,0,1
1545410227,0,2
1545418105,3,1
1545420067,1,0
1545421951,1,2
1545423900,1,0
1545425786,0,1
1545429762,0,3
1545435381,1,0
1545446915,1,1
1545449089,1,0
1545453170,1,1
1545455065,1,0
1545457009,2,1
1545458924,0,1
1545460830,0,1
1545466601,1,1
1545468772,2,0
1545472603,1,0
1545474762,1,0
1545476685,1,0
1545478589,3,2
1545480534,0,1
1545486279,1,1
1545488206,1,0
1545490357,1,1
1545492293,2,0
1545494192,1,0
1545501887,1,0
1545503782,0,1
1545505738,1,3
1545507655,1,1
1545509563,1,1
1545513685,1,0
1545517507,1,0
1545521311,1,1
1545533082,2,1
1545535165,2,1
1545537161,1,0
1545539074,4,0
1545541018,0,1
1545542933,1,2
1545544927,1,1
1545548716,1,0
1545554435,0,3
1545556355,1,0
1545558278,2,1
1545560233,0,1
1545562355,2,1
1545566216,1,3
1545570278,1,0
1545574156,0,2
1545576081,2,1
1545577985,1,1
1545579899,1,2
1545583978,1,0
1545588143,0,1
1545593836,0,2
1545595753,1,1
1545597680,1,0
1545601873,0,1
1545603888,1,1
1545606193,1,0
1545608457,0,1
1545614718,1,0
1545618514,0,1
1545620576,1,2
1545622488,0,2
1545624335,1,3
1545626194,0,1
1545630060,0,2
1545631999,2,0
1545633881,1,0
1545636079,0,1
1545637984,1,0
1545639908,2,0
1545643716,2,2
1545645741,1,1
1545647557,1,0
1545649494,0,2
1545653340,0,1
1545657187,0,1
1545662917,0,3
1545664882,1,0
1545666784,0,1
1545668613,0,1
1545670595,2,0
1545674553,1,0
1545678290,3,0
1545682364,0,1
1545684298,0,1
1545686205,1,0
1545688397,1,1
1545690303,1,0
1545692560,0,1
1545696331,4,0
1545700359,1,1
1545702292,1,0
1545708036,1,1
1545712123,1,1
1545717918,0,2
1545719820,1,1
1545721746,1,0
1545723659,0,1
1545725830,0,2
1545729881,0,2
1545731809,0,1
1545733716,1,1
1545743354,1,0
1545745267,1,0
1545751024,0,1
1545753470,1,0
1545757326,1,2
1545761108,0,1
1545763018,0,1
1545764938,0,2
1545770916,1,0
1545772870,0,1
1545774785,2,1
1545776709,0,1
1545780509,1,0
1545782564,0,4
1545786333,0,1
1545788199,0,1
1545793978,0,1
1545795897,1,0
1545799955,0,1
1545801899,1,0
1545805965,1,1
1545807913,1,1
1545819680,1,1
1545827359,1,0
1545829333,1,0
1545831179,0,2
1545835250,1,0
1545837152,2,0
1545839094,0,1
1545845072,0,1
1545858778,0,1
1545860693,0,1
1545862613,0,1
1545866451,0,1
1545872218,1,0
1545880116,1,0
1545882290,0,1
1545888260,0,1
1545892370,0,1
1545894269,0,1
1545897904,1,0
1545903650,2,0
1545905584,0,1
1545915387,0,1
1545917565,0,1
1545919501,1,0
1545921403,1,1
1545923372,0,2
1545925252,1,0
1545931246,2,0
1545933184,1,0
1545942783,1,0
1545948775,1,0
1545952611,1,0
1545954546,1,0
1545958365,1,1
1545962551,1,0
1545966344,0,1
1545970416,1,0
1545980541,2,0
1545984274,0,1
1545988384,1,0
1545990272,0,2
1545992231,1,0
1545994353,1,0
1545996271,1,0
1545998228,3,0
1546006110,1,1
1546008029,1,1
1546011893,0,1
1546013799,1,0
1546015984,2,0
1546017880,3,2
1546019791,1,1
1546022007,1,0
1546029884,0,1
1546031812,1,0
1546035880,2,1
1546037788,1,0
1546039998,1,2
1546041881,2,0
1546044046,2,0
1546046200,2,1
1546048435,0,1
1546054368,2,0
1546058466,0,1
1546064482,1,0
1546066381,0,2
1546068289,1,0
1546070526,3,0
1546074291,1,0
1546076216,1,1
1546078149,3,1
1546080073,1,1
1546081971,1,1
1546083903,1,2
1546085803,0,1
1546089889,1,0
1546091814,1,1
1546093715,3,0
1546095730,2,1
1546097588,1,0
1546099529,0,1
1546101459,1,0
1546103564,0,5
1546105477,0,1
1546107415,1,0
1546109573,0,1
1546111483,1,0
1546119159,1,1
1546121090,0,1
1546123022,0,2
1546127077,0,2
1546129277,0,2
1546131156,0,2
1546133318,0,1
1546135365,2,0
1546139307,0,2
1546147017,1,0
1546149189,1,0
1546151079,1,1
1546154912,0,2
1546156919,0,2
1546160705,0,1
1546162861,0,2
1546164755,0,2
1546166717,0,2
1546168598,2,0
1546170531,0,1
1546176320,0,1
1546178529,2,1
1546180386,2,3
1546182291,0,2
1546184228,1,1
1546186405,0,1
1546188278,2,0
1546192363,1,0
1546194552,2,1
1546198360,2,1
1546202194,1,0
1546206293,0,1
1546208215,1,0
1546212039,1,0
1546213966,1,0
1546216144,1,0
1546218111,2,0
1546219945,0,1
1546221904,1,1
1546224034,2,0
1546227866,1,0
1546229786,1,0
1546231957,1,0
1546233896,0,1
1546235775,1,1
1546237969,0,1
1546239883,1,0
1546243714,3,0
1546245628,1,0
1546251645,1,0
1546255485,0,2
1546259334,2,0
1546263144,2,0
1546265093,0,2
1546266996,2,2
1546271085,0,1
1546275144,1,2
1546278994,0,1
1546280902,0,2
1546284772,0,2
1546288577,0,1
1546290535,2,0
1546292426,3,0
1546294359,1,0
1546296287,0,1
1546298453,0,2
1546302292,0,1
1546304186,0,2
1546308107,1,1
1546309963,1,1
1546311924,0,1
1546315954,0,2
1546317879,1,0
1546319794,0,1
1546321736,0,1
1546325550,0,1
1546327497,1,0
1546329386,1,3
1546331339,0,1
1546335186,1,0
1546337126,0,1
1546339012,2,0
1546345018,0,1
1546346923,0,1
1546348841,0,1
1546350776,0,1
1546352693,1,1
1546354936,2,1
