DateTime,AddedIPs,RemovedIPs
1533124339,0,1
1533146181,1,4
1533168327,2,4
1533190351,2,2
1533212204,1,1
1533234298,3,1
1533256353,5,1
1533278425,1,2
1533300523,2,1
1533322382,3,4
1533344428,1,1
1533366277,1,1
1533388665,1,2
1533410662,0,2
1533432516,1,2
1533454978,0,2
1533476917,0,1
1533498979,2,1
1533521114,1,0
1533543146,2,1
1533565259,1,0
1533587333,1,3
1533631472,2,1
1533653532,1,2
1533675381,1,1
1533697298,1,2
1533719329,5,2
1533741383,2,2
1533763467,0,2
1533785546,1,1
1533807641,0,3
1533829494,2,1
1533851533,1,1
1533873413,1,4
1533895459,1,0
1533917512,0,2
1533939381,1,0
1533961233,1,2
1533983083,1,2
1534005163,0,1
1534027229,3,1
1534049075,2,0
1534071166,4,0
1534093288,1,1
1534115545,2,3
1534137680,0,2
1534159718,0,2
1534181811,1,0
1534203805,2,1
1534225855,1,1
1534291968,1,1
1534314029,2,3
1534335873,1,2
1534357953,2,1
1534380777,4,0
1534403214,0,1
1534425167,1,2
1534447224,0,1
1534469254,1,0
1534491188,1,3
1534513216,4,4
1534535095,2,1
1534557158,2,2
1534579307,2,1
1534601325,0,1
1534623276,0,2
1534645229,2,1
1534689382,1,2
1534711552,0,1
1534733561,1,0
1534755704,0,1
1534777601,1,1
1534821638,0,2
1534865556,1,3
1534909463,0,1
1534931312,0,2
1534953405,0,5
1534975502,2,2
1535019625,0,1
1535041513,1,2
1535063776,1,0
1535085630,2,2
1535107707,0,1
1535129778,1,2
1535151708,0,2
1535173709,2,2
1535195832,1,2
1535217872,2,7
1535239949,1,3
1535262019,0,1
1535283868,3,0
1535306812,1,2
1535328735,4,2
1535350619,1,2
1535372673,11,0
1535395004,2,1
1535417058,0,1
1535439040,1,1
1535461320,1,1
1535483572,1,0
1535505688,1,2
1535571873,1,1
1535594250,0,2
1535638881,1,1
1535661176,2,3
1535683226,1,3
1535705100,1,0
1535727151,1,0
1535749493,0,1
1535771562,1,0
1535793638,0,2
1535815737,1,0
1535838045,1,2
1535860145,2,0
1535904303,1,3
1535926338,1,1
1535948466,2,3
1535970530,0,12
1535992834,0,2
1536014694,4,0
1536037102,3,1
1536059093,1,1
1536081158,0,3
1536103481,1,0
1536125565,0,1
1536147414,1,1
1536191317,2,0
1536213169,0,2
1536235306,1,0
1536257305,0,2
1536301491,2,0
1536345638,1,2
1536367697,1,0
1536389552,1,2
1536411413,1,0
1536433286,1,1
1536477169,0,1
1536499249,1,0
1536521301,1,2
1536543411,1,2
1536565391,3,0
1536609380,2,0
1536631300,1,1
1536653309,1,1
1536675398,2,3
1536697457,0,4
1536719340,2,1
1536785563,1,1
1536807703,1,1
1536829965,1,0
1536852056,2,0
1536874363,2,1
1536896435,2,2
1536918297,1,0
1536962518,4,1
1536984758,2,0
1537006619,0,1
1537028773,2,2
1537050788,1,1
1537072863,1,2
1537095160,0,1
1537139567,1,3
1537161653,2,1
1537205812,2,1
1537228141,3,0
1537250205,2,0
1537272116,0,3
1537294369,1,1
1537316222,3,1
1537338288,1,3
1537360364,0,2
1537382418,3,0
1537404289,3,0
1537426478,3,1
1537448700,1,1
1537470767,0,3
1537492849,1,1
1537514922,1,2
1537536777,1,1
1537558831,0,2
1537580934,2,0
1537602983,0,2
1537625128,1,1
1537647142,6,1
1537669296,1,1
1537691306,1,1
1537713413,1,0
1537735454,3,1
1537757324,2,2
1537779374,0,1
1537801510,1,0
1537823570,1,2
1537845657,3,3
1537867726,1,2
1537890025,0,1
1537911872,1,4
1537933721,2,0
1537955784,1,2
1537977916,1,5
1537999962,2,0
1538022033,1,1
1538043898,1,3
1538065965,1,2
1538131947,1,3
1538153797,1,0
1538197981,2,1
1538242368,2,0
1538264452,1,0
1538286516,1,0
1538308370,1,0
1538341474,2,3
1538363564,1,1
1538385423,2,1
1538407481,0,1
1538429566,1,1
1538451657,0,1
1538473726,1,1
1538495570,4,0
1538539968,0,2
1538562023,2,2
1538583887,1,2
1538605939,0,6
1538628042,2,3
1538694115,3,0
1538716354,1,1
1538738443,0,1
1538760299,1,0
1538782354,1,1
1538804593,2,0
1538826530,1,1
1538848890,1,4
1538870928,2,0
1538893022,1,0
1538915090,2,0
1538937136,1,0
1538959234,1,2
1538981562,1,1
1539003706,1,1
1539025726,1,6
1539047789,1,1
1539069642,1,1
1539091609,0,1
1539113548,4,2
1539135392,0,1
1539157269,2,2
1539179355,0,3
1539201392,2,0
1539223496,2,2
1539245547,1,0
1539267389,1,2
1539289241,2,1
1539311321,2,3
1539333166,0,1
1539355227,1,0
1539399149,0,1
1539421006,0,3
1539442901,1,1
1539464923,2,0
1539487052,0,1
1539509055,0,1
1539530911,0,1
1539552992,2,1
1539575061,1,1
1539618767,0,1
1539640899,1,0
1539662938,0,4
1539684994,0,1
1539707321,1,0
1539729645,4,0
1539751721,1,2
1539795923,1,1
1539818200,2,1
1539840272,0,2
1539862369,1,1
1539884661,2,2
1539906788,0,1
1540017214,0,1
1540039222,3,1
1540061324,0,1
1540083206,0,1
1540105342,1,1
1540127395,1,1
1540171469,2,0
1540193563,0,2
1540215414,2,0
1540237491,1,2
1540259537,1,1
1540281533,0,1
1540303465,1,0
1540325557,1,0
1540347446,1,0
1540369725,1,0
1540391797,1,1
1540413658,2,1
1540480108,1,0
1540501975,0,1
1540524043,2,0
1540545889,0,1
1540612115,0,3
1540634191,0,2
1540678145,0,1
1540700203,1,1
1540722287,1,1
1540744364,2,1
1540766445,0,1
1540788526,0,1
1540810367,1,0
1540832215,0,4
1540854107,1,1
1540876122,0,1
1540942611,1,0
1541008911,0,1
1541030935,0,2
1541053027,2,1
1541075084,0,2
1541119263,1,1
1541141117,0,1
1541163060,0,1
1541184999,1,0
1541207084,1,1
1541229407,2,0
1541295884,1,1
1541318200,1,2
1541340090,0,1
1541362113,1,2
1541406269,1,0
1541428364,0,1
1541472047,1,0
1541516498,1,1
1541538539,4,1
1541560829,3,0
1541604745,0,1
1541626605,3,4
1541670752,1,0
1541692596,1,0
1541714493,1,2
1541736779,2,0
1541758827,1,0
1541802747,2,2
1541824834,0,2
1541868763,1,0
1541891102,1,1
1541913157,3,0
1541935508,1,1
1541957822,1,0
1541979859,2,1
1542001716,1,0
1542045872,1,0
1542089838,1,1
1542111888,1,0
1542156274,1,3
1542178359,1,1
1542200484,1,1
1542222507,0,1
1542244593,1,0
1542266685,2,0
1542288528,4,0
1542332908,0,4
1542377573,0,3
1542399875,3,1
1542421965,0,1
1542444025,1,0
1542466113,1,2
1542487969,0,1
1542510105,0,2
1542532108,0,2
1542554190,0,1
1542576255,0,1
1542598118,0,1
1542642095,1,0
1542664115,3,2
1542686200,0,1
1542730194,2,1
1542752194,1,1
1542774284,0,1
1542796363,0,2
1542818427,0,1
1542862370,1,0
1542884229,0,2
1542906272,1,0
1542928117,0,2
1542950434,2,0
1542994827,2,2
1543016694,0,2
1543038746,2,1
1543126833,1,0
1543149157,1,0
1543171241,0,1
1543215177,0,1
1543237305,2,0
1543259319,1,2
1543281258,3,1
1543325566,1,1
1543347412,1,2
1543369474,1,2
1543391328,0,3
1543413191,1,1
1543435493,1,0
1543457554,1,0
1543479406,0,1
1543501482,0,2
1543523719,1,0
1543545646,3,2
1543612387,0,1
1543634682,1,0
