DateTime,Entries,UniqueIPs
1538977735,5,5
1538981795,6,6
1539022612,5,5
1539034850,6,6
1539055978,5,5
1539057906,4,4
1539059829,3,3
1539065852,2,2
1539067729,1,1
1539111157,2,2
1539120753,3,3
1539122689,2,2
1539176493,3,3
1539198276,2,2
1539205990,1,1
1539258035,2,2
1539262114,2,2
1539264052,3,3
1539266170,4,4
1539281579,5,5
1539296927,6,6
1539300772,7,7
1539314200,8,8
1539329572,9,9
1539331742,84,84
1539345399,83,83
1539347300,82,82
1539351423,80,80
1539368918,79,79
1539382373,78,78
1539386947,78,78
1539400359,77,77
1539415702,76,76
1539417710,1,1
1539427263,2,2
1539442593,3,3
1539473605,2,2
1539529534,1,1
1539531414,3,3
1539544854,4,4
1539546771,5,5
1539548689,7,7
1539554538,8,8
1539556433,9,9
1539558797,10,10
1539591565,11,11
1539595482,12,12
1539616851,11,11
1539618768,11,11
1539622628,10,10
1539632448,8,8
1539634368,7,7
1539636311,6,6
1539640126,5,5
1539642276,4,4
1539646113,3,3
1539676905,2,2
1539683093,1,1
1539696511,2,2
1539704432,1,1
1539730604,2,2
1539782683,1,1
1539802105,2,2
1539813898,3,3
1539817739,2,2
1539825573,3,3
1539858518,4,4
1539866206,5,5
1539870038,6,6
1539873887,7,7
1539877722,8,8
1539887572,7,7
1539895226,8,8
1539901008,8,8
1539902945,9,9
1539904858,10,10
1539910593,9,9
1539945161,9,9
1539953321,8,8
1539957184,7,7
1539961019,6,6
1539962908,5,5
1539980697,4,4
1539986550,3,3
1539990335,2,2
1539992208,2,2
1540015302,3,3
1540030621,2,2
1540078607,1,1
1540099727,0,0
1540170528,1,1
1540172429,2,2
1540180118,3,3
1540201264,4,4
1540207230,5,5
1540209170,6,6
1540228845,7,7
1540244241,8,8
1540250197,9,9
1540252118,10,10
1540254037,11,11
1540257872,11,11
1540259817,10,10
1540263700,11,11
1540269437,12,12
1540275186,13,13
1540277668,14,14
1540281533,15,15
1540285485,16,16
1540287399,16,16
1540289340,17,17
1540291232,18,18
1540293164,18,18
1540295084,17,17
1540302758,92,92
1540314538,91,91
1540335733,90,90
1540337581,89,89
1540339500,90,90
1540341417,89,89
1540345538,88,88
1540347446,87,87
1540349317,88,88
1540351231,88,88
1540355092,88,88
1540361102,88,88
1540365162,88,88
1540367112,87,87
1540369259,88,88
1540371160,87,87
1540373078,87,87
1540375035,87,87
1540377064,87,87
1540379152,86,86
1540389168,10,10
1540404529,11,11
1540417973,12,12
1540426059,11,11
1540435978,10,10
1540437901,9,9
1540441963,8,8
1540446061,7,7
1540447984,10,10
1540451823,9,9
1540455673,8,8
1540459498,7,7
1540461423,6,6
1540465324,5,5
1540491186,4,4
1540504937,3,3
1540532458,0,0
1540566777,1,1
1540589296,2,2
1540612603,3,3
1540614520,4,4
1540624131,5,5
1540641692,6,6
1540645495,7,7
1540649329,8,8
1540653188,8,8
1540659274,9,9
1540661076,10,10
1540665174,11,11
1540669009,12,12
1540670929,13,13
1540672844,14,14
1540675257,15,15
1540677148,16,16
1540679082,17,17
1540682903,18,18
1540692989,19,19
1540698741,20,20
1540700681,19,19
1540706496,20,20
1540710535,19,19
1540714367,21,21
1540718455,22,22
1540720340,23,23
1540728107,22,22
1540731878,21,21
1540735737,20,20
1540737637,21,21
1540739566,20,20
1540745319,19,19
1540749402,18,18
1540751306,17,17
1540758983,16,16
1540760923,14,14
1540762822,12,12
1540764752,11,11
1540768609,12,12
1540770540,13,13
1540772439,14,14
1540778231,13,13
1540783985,12,12
1540788061,11,11
1540789966,10,10
1540793825,9,9
1540799575,8,8
1540801500,7,7
1540805578,5,5
1540825347,4,4
1540827183,5,5
1540855507,3,3
1540857412,2,2
1540859582,1,1
1540867253,2,2
1540911159,3,3
1540913094,2,2
1540944528,3,3
1540952214,4,4
1540954116,3,3
1540993000,4,4
1540998785,3,3
1541000746,4,4
1541018708,5,5
1541022772,6,6
1541024677,8,8
1541026636,796,796
1541028538,1897,1897
1541030496,3566,3566
1541038165,3565,3565
1541059745,3566,3566
1541077724,3567,3567
1541079643,3567,3567
1541105091,3566,3566
1541109422,3565,3565
1541111557,3481,3481
1541113515,2548,2548
1541115392,1305,1305
1541117348,4,4
1541119264,3,3
1541146862,3,3
1541164872,1,1
1541168693,2,2
1541176857,3,3
1541184753,4,4
1541231822,3,3
1541254832,2,2
1541264513,1,1
1541272361,1,1
1541289897,2,2
1541299717,3,3
1541324912,4,4
1541334516,5,5
1541359470,4,4
1541363340,5,5
1541375082,4,4
1541385169,3,3
1541420457,2,2
1541443966,3,3
1541449732,2,2
1541476913,1,1
1541527959,0,0
1541554611,1,1
1541560361,2,2
1541562260,4,4
1541568263,7,7
1541577872,8,8
1541587463,347,347
1541589392,1471,1471
1541591302,3170,3170
1541593239,3565,3565
1541595147,3566,3566
1541641949,3565,3565
1541645794,3566,3566
1541647697,3565,3565
1541649690,3564,3564
1541653493,3563,3563
1541673917,3196,3196
1541676052,1933,1933
1541677974,123,123
1541679907,5,5
1541682103,4,4
1541685936,5,5
1541701477,6,6
1541709153,7,7
1541732520,6,6
1541763888,5,5
1541766042,3,3
1541773712,2,2
1541787403,1,1
1541792205,0,0
1541887297,1,1
1541892991,2,2
1541899218,3,3
1541950119,4,4
1541959729,5,5
1541973378,6,6
1541975300,5,5
1541979155,4,4
1542021894,3,3
1542029564,79,79
1542037238,78,78
1542039176,79,79
1542046833,78,78
1542060794,77,77
1542096095,78,78
1542117408,2,2
1542127253,1,1
1542160344,77,77
1542181712,76,76
1542243652,0,0
1542269555,1,1
1542287091,2,2
1542356416,1,1
1542372261,0,0
1542435873,1,1
1542437800,2,2
1542439719,3,3
1542505701,4,4
1542507635,5,5
1542523016,4,4
1542524955,2,2
1542536440,3,3
1542555645,4,4
1542592896,4,4
1542594763,3,3
1542623548,2,2
1542639161,3,3
1542641080,2,2
1542679961,1,1
1542724369,0,0
1542817009,1,1
1542832594,2,2
1542867615,3,3
1542898894,4,4
1542904610,4,4
1542918516,3,3
1542922378,4,4
1542932073,5,5
1542953791,4,4
1542961478,5,5
1542986714,4,4
1542990520,3,3
1543008750,2,2
1543018586,1,1
1543032296,2,2
1543047631,1,1
1543069250,2,2
1543098279,3,3
1543118199,2,2
1543155405,2,2
1543184430,1,1
1543203396,2,2
1543205335,3,3
1543242260,2,2
1543260949,3,3
1543266764,4,4
1543290040,3,3
1543291962,2,2
1543303492,3,3
1543330371,4,4
1543346484,3,3
1543352742,2,2
1543390343,1,1
1543414124,0,0
1543462573,1,1
1543464768,2,2
1543480342,3,3
1543486363,4,4
1543499775,5,5
1543509623,6,6
1543517297,7,7
1543525005,8,8
1543549238,7,7
1543551179,6,6
1543566505,5,5
1543572352,4,4
1543595546,3,3
1543601339,4,4
1543603225,4,4
1543605163,5,5
1543611300,4,4
1543635673,5,5
1543664446,4,4
1543680115,5,5
1543687747,4,4
1543689647,3,3
1543691619,2,2
1543720381,2,2
1543766979,1,1
1543774619,2,2
1543808186,1,1
1543859560,77,77
1543861494,76,76
1543868258,77,77
1543886687,78,78
1543934206,79,79
1543946225,3,3
1543954144,2,2
1543960369,3,3
1543968355,4,4
1543972368,3,3
1544006695,4,4
1544020632,3,3
1544032613,4,4
1544046266,3,3
1544056106,2,2
1544068366,3,3
1544072215,4,4
1544076323,5,5
1544090197,6,6
1544092130,5,5
1544109418,6,6
1544118994,5,5
1544126701,81,81
1544152394,82,82
1544154403,81,81
1544158130,80,80
1544164370,79,79
1544172301,148,148
1544174222,999,999
1544176133,2405,2405
1544178073,3663,3663
1544195588,3662,3662
1544213339,3605,3605
1544215249,3606,3606
1544230941,3607,3607
1544244512,3608,3608
1544250313,3609,3609
1544260156,2908,2908
1544262054,1723,1723
1544263958,30,30
1544266115,5,5
1544285817,6,6
1544297555,7,7
1544301664,6,6
1544317514,5,5
1544331176,4,4
1544336910,3,3
1544346760,2,2
1544354446,3,3
1544371840,2,2
1544383467,1,1
1544389311,2,2
1544456464,3,3
1544481861,2,2
1544487456,3,3
1544499422,80,80
1544515341,79,79
1544543324,78,78
1544573244,77,77
1544583155,0,0
1544615875,1,1
1544634529,2,2
1544703900,1,1
1544717610,0,0
1544728858,1,1
1544814277,0,0
1544825774,1,1
1544853138,2,2
1544909084,3,3
1544912896,2,2
1544940270,1,1
1544978933,2,2
1544996431,1,1
1545027661,2,2
1545064597,1,1
1545111661,0,0
1545146683,1,1
1545231407,0,0
1545266902,1,1
1545352842,0,0
1545426988,77,77
1545501889,78,78
1545527096,79,79
1545528997,2,2
1545588144,1,1
1545601873,2,2
1545612516,1,1
1545662918,2,2
1545688398,1,1
1545747160,0,0
1545798525,1,1
1545825881,2,2
1545885376,1,1
1545900984,2,2
1545912982,1,1
1545985460,0,0
1546144824,1,1
1546229787,0,0
1546320286,1,1
1546322181,2,2
1546365406,3,3
1546392323,4,4
1546407637,3,3
1546409802,2,2
1546452525,1,1
1546456623,79,79
1546464772,80,80
1546477356,79,79
1546542326,78,78
1546544225,2,2
1546555979,1,1
1546608029,2,2
1546630159,1,1
1546679575,2,2
1546693318,1,1
1546764038,0,0
