DateTime,AddedIPs,RemovedIPs
1545761110,4,2
1545763019,0,4
1545764939,2,0
1545766843,3,3
1545769007,4,4
1545770917,2,1
1545772872,0,3
1545774786,4,3
1545776710,1,3
1545778595,1,2
1545780510,0,2
1545782565,1,2
1545784391,2,2
1545786336,2,1
1545788200,3,6
1545790151,2,2
1545792030,1,4
1545793979,3,3
1545795898,4,3
1545798056,1,2
1545799956,3,2
1545801900,0,1
1545803818,4,2
1545805966,3,3
1545807914,1,6
1545809803,3,0
1545811755,3,1
1545813662,3,2
1545815565,5,2
1545817479,5,4
1545819681,4,2
1545821567,2,0
1545823493,4,1
1545825392,1,1
1545827360,1,0
1545829334,3,1
1545831180,3,2
1545833089,4,0
1545835251,4,2
1545837152,1,2
1545839097,1,1
1545841020,2,1
1545843187,4,3
1545845073,1,1
1545847314,0,3
1545851089,2,2
1545853010,4,4
1545854941,1,3
1545856852,2,3
1545858779,1,1
1545860694,0,2
1545862614,4,2
1545864537,2,1
1545866451,3,1
1545868366,2,2
1545872218,4,1
1545874121,2,4
1545876356,4,3
1545878221,1,1
1545880117,3,1
1545882291,3,3
1545884460,4,1
1545886342,2,1
1545888262,0,3
1545890517,1,6
1545892371,2,0
1545894271,2,1
1545896073,1,2
1545897905,3,5
1545899822,6,3
1545901718,6,6
1545903651,2,3
1545905585,5,6
1545907728,5,3
1545909672,3,3
1545911580,2,1
1545913507,0,3
1545915388,4,3
1545917566,2,4
1545919502,2,4
1545921404,1,2
1545923373,0,1
1545925253,1,0
1545927450,0,2
1545929327,2,5
1545931247,2,0
1545933185,3,0
1545935073,2,1
1545937016,2,1
1545938909,2,2
1545940943,0,2
1545942784,0,1
1545944950,3,4
1545946834,0,1
1545948776,3,2
1545950715,1,2
1545952612,0,2
1545954547,3,3
1545956461,1,0
1545958366,2,4
1545960326,2,3
1545962552,6,4
1545964387,2,2
1545966345,1,1
1545968504,0,2
1545970419,2,3
1545972297,10,0
1545974198,1,0
1545976379,0,1
1545978279,3,5
1545980542,6,4
1545982423,1,0
1545984275,2,4
1545986187,2,5
1545988385,4,6
1545990274,4,4
1545992232,0,2
1545994354,1,3
1545996273,1,1
1545998229,0,4
1546000122,2,0
1546002321,2,4
1546004210,0,1
1546006111,2,1
1546008030,0,2
1546009959,3,0
1546011894,0,2
1546013801,1,0
1546015986,1,2
1546017881,1,2
1546019792,1,4
1546022008,3,3
1546023902,1,1
1546026062,0,1
1546027964,2,1
1546029886,2,1
1546031813,1,2
1546033989,1,1
1546035882,0,2
1546037789,0,1
1546039999,4,1
1546041882,1,1
1546046202,3,1
1546048436,4,4
1546050295,3,2
1546052199,8,2
1546054370,2,0
1546056305,3,1
1546058468,3,9
1546060382,2,2
1546062288,3,0
1546064483,3,3
1546066382,0,7
1546068290,3,1
1546070527,2,1
1546072364,1,1
1546074292,4,5
1546076217,1,3
1546078150,0,1
1546080074,1,1
1546081972,4,0
1546083904,3,2
1546085804,3,0
1546087968,3,4
1546089890,1,0
1546091816,4,1
1546093716,1,1
1546095731,1,5
1546099531,4,3
1546101461,5,1
1546103565,0,2
1546105491,3,1
1546107417,5,4
1546109574,3,1
1546111485,4,1
1546113438,2,2
1546115332,1,2
1546117337,2,0
1546119160,1,2
1546121092,1,3
1546123024,1,1
1546125187,1,1
1546127078,2,0
1546129278,0,1
1546131157,1,4
1546133319,5,1
1546135366,1,4
1546137389,0,8
1546139321,0,4
1546141225,1,3
1546143209,5,1
1546145108,3,2
1546147019,3,3
1546149191,0,4
1546151081,1,2
1546153026,3,0
1546154913,3,3
1546156937,3,2
1546158780,3,1
1546160707,2,2
1546162863,5,1
1546164756,2,1
1546166718,7,2
1546168599,4,3
1546170533,1,4
1546172461,2,4
1546174384,2,4
1546176321,1,1
1546178530,3,3
1546180387,1,0
1546182293,2,2
1546186407,5,4
1546188280,2,3
1546190489,0,1
1546192365,1,3
1546194553,3,4
1546196502,0,2
1546198361,3,5
1546200311,3,3
1546202195,1,2
1546204392,1,1
1546208216,1,1
1546210130,2,0
1546212041,0,1
1546213967,0,1
1546218113,1,3
1546219946,1,3
1546225975,3,2
1546227867,2,1
1546229788,0,4
1546231960,2,2
1546233897,0,1
1546235776,4,0
1546237971,5,2
1546239885,1,4
1546241818,3,1
1546243727,4,5
1546245629,2,1
1546247433,1,2
1546249469,2,6
1546251646,5,0
1546253544,2,7
1546255487,1,3
1546257383,3,2
1546259336,1,2
1546261300,0,1
1546263146,1,1
1546265094,1,6
1546266998,5,0
1546269164,8,1
1546271086,7,0
1546272981,5,2
1546275145,7,3
1546277062,6,0
1546278995,2,1
1546280904,1,2
1546282911,1,2
1546284774,1,3
1546286674,2,1
1546288579,10,1
1546290536,2,0
1546296300,0,2
1546300367,1,0
1546304187,4,2
1546306103,2,1
1546308109,2,0
1546309964,1,0
1546311926,4,3
1546313792,1,2
1546315956,3,1
1546317880,4,1
1546319795,2,2
1546321737,2,3
1546323642,1,4
1546325551,5,4
1546327498,3,1
1546329387,4,8
1546331340,2,3
1546333326,2,2
1546335187,1,1
1546337128,27,6
1546339013,2,2
1546340929,1,2
1546343152,37,1
1546345019,23,3
1546346924,49,3
1546348842,5,0
1546350777,5,0
1546352694,9,1
1546354937,6,8
1546356771,2,7
1546358699,2,5
1546360593,4,4
1546362538,2,9
1546364427,1,2
1546366348,3,0
1546368292,1,0
1546370465,0,3
1546372389,7,0
1546374293,2,11
1546376200,1,2
1546378387,18,1
1546380311,3,1
1546382212,3,1
1546384140,10,1
1546386041,1,0
1546388226,46,2
1546390365,3,3
1546392324,39,0
1546394222,15,3
1546396117,14,0
1546398119,5,3
1546399962,12,3
1546401917,5,2
1546403808,6,3
1546405729,1,2
1546407638,1,4
1546409803,2,3
1546411958,0,8
1546413871,0,1
1546415843,1,4
1546417713,4,2
1546419743,4,3
1546421578,0,1
1546423523,3,28
1546425429,5,2
1546427348,5,2
1546429262,3,38
1546431174,7,4
1546433088,5,71
1546435057,3,6
1546436947,4,4
1546438868,2,8
1546440778,18,6
1546442688,42,5
1546444605,46,1
1546446528,45,2
1546448561,45,4
1546450612,15,1
1546452526,2,2
1546454700,1,3
1546456624,1,1
1546458925,1,8
1546460908,2,2
1546462926,2,3
1546464773,1,16
1546466725,1,2
1546468851,2,4
1546470764,2,10
1546472710,2,36
1546474871,2,12
1546477356,2,22
1546479174,1,21
1546481108,0,12
1546483006,4,14
1546484910,2,3
1546487076,4,14
1546489260,4,5
1546491144,2,1
1546493067,2,3
1546495130,1,0
1546497185,4,1
1546499116,7,1
1546501016,6,0
1546502914,4,2
1546504868,1,5
1546508706,2,1
1546510607,2,1
1546512536,4,4
1546514436,3,0
1546516359,2,5
1546518281,2,4
1546520230,3,4
1546522384,6,4
1546524565,2,2
1546526443,5,6
1546528391,6,43
1546530286,8,41
1546532232,5,40
1546534398,6,49
1546536285,4,25
1546538211,0,1
1546540380,1,1
1546542326,5,1
1546544225,1,0
1546546372,3,1
1546548295,3,1
1546550236,1,1
1546552136,4,0
1546554064,1,2
1546555980,3,2
1546557891,4,2
1546560177,27,1
1546562207,4,1
1546564380,0,1
1546566279,3,1
1546568180,2,2
1546570117,3,4
1546572040,6,2
1546574118,0,6
1546576131,2,0
1546578142,3,3
1546580200,3,4
1546582233,4,4
1546584259,4,8
1546586218,6,8
1546588106,3,4
1546590041,1,4
1546591944,2,3
1546593890,2,0
1546596126,3,4
1546597963,8,2
