DateTime,AddedIPs,RemovedIPs
1546382890,4,4
1546383620,5,0
1546384588,7,8
1546385286,5,4
1546386011,3,3
1546386757,5,8
1546387700,7,6
1546388412,2,8
1546389155,4,7
1546389868,4,6
1546390598,6,9
1546391313,7,0
1546392279,11,15
1546392988,5,0
1546393700,4,12
1546394444,7,8
1546395128,8,12
1546395851,10,7
1546396576,4,15
1546397538,14,8
1546398251,8,11
1546399214,8,24
1546399934,8,10
1546400659,9,3
1546401367,12,8
1546402093,2,9
1546402812,10,6
1546403534,5,6
1546404248,3,8
1546405231,8,3
1546405930,2,7
1546406662,3,6
1546407367,8,2
1546407980,5,0
1546408590,3,6
1546409321,6,1
1546410034,6,6
1546410759,3,5
1546411476,2,6
1546412186,4,3
1546412910,9,2
1546413632,7,2
1546414358,4,2
1546415070,5,4
1546415794,2,2
1546416782,6,3
1546417469,8,4
1546418191,3,3
1546418914,9,1
1546419638,4,3
1546420329,5,3
1546421053,3,5
1546421768,6,0
1546422494,9,7
1546423226,12,2
1546423958,9,0
1546424671,8,6
1546425390,9,4
1546426111,8,2
1546426833,8,4
1546427800,11,5
1546428507,6,3
1546429233,3,2
1546429948,3,0
1546430676,4,5
1546431389,5,0
1546432117,7,4
1546432827,4,0
1546433552,5,3
1546434276,6,10
1546434996,6,11
1546435962,11,6
1546436652,4,9
1546437372,12,3
1546438358,7,3
1546439068,8,11
1546439794,12,6
1546440515,7,7
1546441239,6,2
1546441930,10,7
1546442657,7,3
1546443619,11,5
1546444326,7,9
1546445062,4,7
1546445770,10,5
1546446499,4,4
1546447208,2,6
1546447929,10,4
1546448651,7,9
1546449377,4,8
1546450089,8,7
1546451059,12,8
1546451766,11,8
1546452493,13,7
1546453225,6,9
1546453927,12,5
1546454677,8,10
1546455367,13,0
1546456094,6,16
1546457079,8,27
1546457801,16,0
1546458752,16,13
1546459486,9,11
1546460439,13,11
1546461153,9,12
1546461871,5,0
1546462592,13,8
1546463309,12,10
1546464050,4,13
1546464745,12,10
1546465455,9,5
1546466171,18,0
1546466889,5,22
1546467612,8,4
1546468337,8,8
1546469048,4,9
1546469778,7,2
1546470740,11,7
1546471449,6,4
1546472413,3,12
1546473133,5,0
1546473852,9,4
1546474842,7,9
1546475549,3,0
1546476276,8,9
1546477723,10,10
1546478450,5,0
1546479150,5,6
1546479873,4,6
1546480570,8,6
1546481294,10,11
1546482010,8,10
1546482980,11,20
1546483685,14,0
1546484425,10,13
1546485131,11,11
1546485848,8,9
1546486601,14,6
1546487547,13,13
1546488253,6,6
1546489228,4,18
1546489933,8,0
1546490651,12,12
1546491403,7,0
1546492117,7,7
1546492842,7,9
1546493550,8,2
1546494272,6,3
1546495092,3,5
1546496436,4,8
1546497157,5,0
1546497873,1,5
1546498838,9,11
1546499563,6,5
1546500269,4,9
1546500992,6,2
1546501948,7,9
1546502674,4,6
1546503396,4,3
1546504106,6,10
1546504839,7,2
1546505529,10,4
1546506251,8,7
1546506972,3,4
1546507694,7,3
1546508410,7,4
1546509145,9,4
1546509853,2,3
1546510571,5,9
1546511293,6,11
1546512010,4,8
1546512730,10,9
1546513454,9,8
1546514174,8,0
1546514893,4,2
1546515607,2,4
1546516334,3,5
1546517325,4,7
1546518030,2,5
1546518769,7,8
1546519472,6,6
1546520192,5,5
1546520914,5,8
1546521880,8,8
1546522571,3,4
1546523295,3,12
1546524031,7,8
1546525001,9,6
1546525688,6,5
1546526414,8,4
1546527128,7,9
1546527891,4,8
1546528823,7,11
1546529530,4,9
1546530256,5,5
1546531220,11,6
1546532202,6,10
1546533132,5,5
1546533853,6,10
