DateTime,Entries,UniqueIPs
1546383620,8748,8748
1546384588,8747,8747
1546385286,8750,8750
1546386011,8742,8742
1546386757,8732,8732
1546387700,8740,8740
1546388412,8739,8739
1546389155,8727,8727
1546389868,8716,8716
1546390598,8717,8717
1546391313,8726,8726
1546392279,8719,8719
1546392988,8713,8713
1546393700,8727,8727
1546394444,8734,8734
1546395128,8727,8727
1546395851,8721,8721
1546396576,8704,8704
1546397538,8736,8736
1546398251,8726,8726
1546399214,8707,8707
1546399934,8712,8712
1546400659,8697,8697
1546401367,8711,8711
1546402093,8700,8700
1546402812,8695,8695
1546403534,8688,8688
1546404248,8680,8680
1546405231,8660,8660
1546405930,8675,8675
1546406662,8667,8667
1546407367,8664,8664
1546407980,8673,8673
1546408590,8675,8675
1546409321,8670,8670
1546410034,8672,8672
1546410759,8656,8656
1546411476,8657,8657
1546412186,8669,8669
1546412910,8666,8666
1546413632,8668,8668
1546414358,8666,8666
1546415070,8651,8651
1546415794,8651,8651
1546416782,8662,8662
1546417469,8666,8666
1546418191,8653,8653
1546418914,8657,8657
1546419638,8672,8672
1546420329,8670,8670
1546421053,8659,8659
1546421768,8689,8689
1546422494,8694,8694
1546423226,8686,8686
1546423958,8706,8706
1546424671,8697,8697
1546425390,8689,8689
1546426111,8695,8695
1546426833,8682,8682
1546427800,8696,8696
1546428507,8695,8695
1546429233,8692,8692
1546429948,8701,8701
1546430676,8688,8688
1546431389,8711,8711
1546432117,8721,8721
1546432827,8700,8700
1546433552,8708,8708
1546434276,8684,8684
1546434996,8707,8707
1546435962,8712,8712
1546436652,8696,8696
1546437372,8703,8703
1546438358,8675,8675
1546439068,8666,8666
1546439794,8699,8699
1546440515,8715,8715
1546441239,8718,8718
1546441930,8719,8719
1546442657,8706,8706
1546443619,8735,8735
1546444326,8724,8724
1546445062,8746,8746
1546445770,8736,8736
1546446499,8740,8740
1546447208,8731,8731
1546447929,8735,8735
1546448651,8749,8749
1546449377,8723,8723
1546450089,8734,8734
1546451059,8728,8728
1546451766,8741,8741
1546452493,8749,8749
1546453225,8726,8726
1546453927,8717,8717
1546454677,8744,8744
1546455367,8752,8752
1546456094,8742,8742
1546457079,8742,8742
1546457801,8755,8755
1546458752,8757,8757
1546459486,8732,8732
1546460439,8751,8751
1546461153,8730,8730
1546461871,8742,8742
1546462592,8747,8747
1546463309,8734,8734
1546464050,8726,8726
1546464745,8725,8725
1546465455,8723,8723
1546466171,8750,8750
1546466889,8749,8749
1546467612,8749,8749
1546468337,8743,8743
1546469048,8732,8732
1546469778,8717,8717
1546470740,8695,8695
1546471449,8706,8706
1546472413,8714,8714
1546473133,8705,8705
1546473852,8692,8692
1546474842,8673,8673
1546475549,8688,8688
1546476276,8697,8697
1546477723,8701,8701
1546478450,8673,8673
1546479150,8690,8690
1546479873,8678,8678
1546480570,8676,8676
1546481294,8664,8664
1546482010,8676,8676
1546482980,8677,8677
1546483685,8664,8664
1546484425,8675,8675
1546485131,8651,8651
1546485848,8633,8633
1546486601,8630,8630
1546487547,8657,8657
1546488253,8659,8659
1546489228,8657,8657
1546489933,8663,8663
1546490651,8665,8665
1546491403,8665,8665
1546492117,8649,8649
1546492842,8658,8658
1546493550,8665,8665
1546494272,8670,8670
1546495092,8654,8654
1546495708,8680,8680
1546496436,8671,8671
1546497157,8658,8658
1546497873,8671,8671
1546498838,8648,8648
1546499563,8664,8664
1546500269,8679,8679
1546500992,8669,8669
1546501948,8658,8658
1546502674,8675,8675
1546503396,8678,8678
1546504106,8698,8698
1546504839,8704,8704
1546505529,8716,8716
1546506251,8693,8693
1546506972,8709,8709
1546507694,8694,8694
1546508410,8711,8711
1546509145,8707,8707
1546509853,8707,8707
1546510571,8688,8688
1546511293,8715,8715
1546512010,8690,8690
1546512730,8668,8668
1546513454,8700,8700
1546514174,8709,8709
1546514893,8690,8690
1546515607,8691,8691
1546516334,8647,8647
1546517325,8635,8635
1546518030,8674,8674
1546518769,8722,8722
1546519472,8713,8713
1546520192,8724,8724
1546520914,8726,8726
1546521880,8712,8712
1546522571,8725,8725
1546523295,8719,8719
1546524031,8712,8712
1546525001,8697,8697
1546525688,8719,8719
1546526414,8735,8735
1546527128,8721,8721
1546527891,8742,8742
1546528823,8695,8695
1546529530,8715,8715
1546530256,8707,8707
1546531220,8717,8717
1546532202,8732,8732
1546533132,8719,8719
1546533853,8726,8726
1546534823,8708,8708
1546535535,8717,8717
1546536258,8714,8714
1546536967,8710,8710
1546537938,8722,8722
1546538652,8723,8723
1546539378,8737,8737
1546540342,8733,8733
1546541052,8735,8735
1546541771,8737,8737
1546542736,8760,8760
1546543472,8755,8755
1546544197,8752,8752
1546545157,8743,8743
1546545873,8750,8750
1546546592,8731,8731
1546547309,8744,8744
1546548031,8714,8714
1546548756,8720,8720
1546549474,8729,8729
1546550199,8740,8740
1546551163,8733,8733
1546551848,8752,8752
1546552571,8748,8748
1546553288,8752,8752
1546554017,8744,8744
1546554985,8746,8746
1546555937,8726,8726
1546556650,8749,8749
1546557373,8705,8705
1546558367,8719,8719
1546559070,8718,8718
1546560069,8718,8718
1546560758,8719,8719
1546561499,8717,8717
1546562191,8722,8722
1546562913,8716,8716
1546563638,8706,8706
1546564359,8694,8694
1546565069,8706,8706
1546565780,8725,8725
1546566496,8732,8732
1546567223,8741,8741
1546567932,8726,8726
1546568652,8721,8721
1546569371,8715,8715
1546570089,8687,8687
1546570822,8689,8689
1546571534,8675,8675
1546572251,8685,8685
1546572971,8707,8707
1546573938,8693,8693
1546574652,8676,8676
1546575629,8685,8685
1546576599,8702,8702
1546577564,8684,8684
1546578527,8697,8697
1546579209,8681,8681
1546580179,8681,8681
1546581132,8698,8698
1546581849,8698,8698
1546582611,8697,8697
1546583290,8682,8682
1546584010,8694,8694
1546584729,8697,8697
1546585700,8689,8689
1546586658,8694,8694
1546587620,8701,8701
1546588328,8712,8712
1546589059,8682,8682
1546590024,8708,8708
1546590732,8693,8693
1546591452,8715,8715
1546592167,8689,8689
1546592897,8692,8692
1546593611,8710,8710
1546594360,8644,8644
1546595069,8710,8710
1546596087,8656,8656
1546596772,8712,8712
1546597449,8722,8722
1546598174,8718,8718
1546599135,8692,8692
1546599854,8739,8739
1546600573,8733,8733
1546601288,8704,8704
1546602012,8738,8738
1546602731,8739,8739
1546603454,8734,8734
1546604425,8738,8738
1546605133,8730,8730
1546605852,8731,8731
1546606835,8727,8727
1546607549,8742,8742
1546608272,8750,8750
1546609241,8732,8732
1546609950,8752,8752
1546610677,8745,8745
1546611642,8741,8741
1546612597,8756,8756
1546613837,8747,8747
1546614771,8736,8736
1546615480,8726,8726
1546616438,8734,8734
1546617152,8755,8755
1546618162,8755,8755
1546619076,8751,8751
1546619790,8764,8764
1546620763,8761,8761
1546621456,8748,8748
1546622172,8754,8754
1546623140,8774,8774
1546623852,8763,8763
1546624597,8768,8768
1546625294,8769,8769
1546626013,8770,8770
1546626737,8784,8784
1546627452,8783,8783
1546628457,8800,8800
1546629135,8797,8797
1546630116,8791,8791
1546631074,8794,8794
1546631789,8791,8791
1546632765,8779,8779
1546633472,8791,8791
1546634440,8785,8785
1546635128,8798,8798
1546636121,8809,8809
1546637082,8799,8799
1546637773,8804,8804
1546638499,8796,8796
1546639470,8787,8787
1546640439,8787,8787
1546641404,8797,8797
1546642117,8793,8793
1546642861,8799,8799
1546643528,8792,8792
1546644255,8778,8778
1546644968,8777,8777
1546645939,8784,8784
1546646679,8777,8777
1546647370,8796,8796
1546648364,8785,8785
1546649055,8795,8795
1546649766,8798,8798
1546650492,8791,8791
1546651218,8784,8784
1546651936,8774,8774
1546652901,8768,8768
1546653607,8775,8775
1546654355,8771,8771
1546655074,8766,8766
1546655789,8757,8757
1546656763,8780,8780
1546657452,8770,8770
1546658175,8765,8765
1546659142,8765,8765
1546659849,8732,8732
1546660570,8732,8732
1546661542,8722,8722
1546662253,8729,8729
1546663213,8714,8714
1546663948,8731,8731
1546664656,8725,8725
1546665620,8739,8739
1546666612,8721,8721
1546667311,8729,8729
1546668286,8703,8703
1546668971,8711,8711
1546669939,8712,8712
1546670650,8694,8694
1546671626,8728,8728
1546672330,8702,8702
1546673056,8727,8727
1546673768,8688,8688
1546674492,8729,8729
1546675231,8737,8737
1546676192,8729,8729
1546676887,8741,8741
1546677610,8741,8741
1546678578,8738,8738
1546679289,8645,8645
1546680023,8697,8697
1546680737,8709,8709
1546681456,8710,8710
1546682166,8733,8733
1546682916,8730,8730
1546683884,8723,8723
1546684566,8717,8717
1546685578,8720,8720
1546686274,8728,8728
1546686998,8726,8726
1546687967,8710,8710
1546688652,8735,8735
1546689366,8733,8733
1546690092,8738,8738
1546690841,8764,8764
1546691554,8737,8737
1546692276,8765,8765
1546692967,8758,8758
1546693942,8771,8771
1546694650,8768,8768
1546695372,8773,8773
1546696099,8768,8768
1546696806,8778,8778
1546697534,8779,8779
1546698255,8774,8774
