DateTime,AddedIPs,RemovedIPs
1546113942,13,9
1546115304,8,0
1546116138,0,738
1546117006,742,0
1546118146,4,4
1546119753,7,6
1546120607,3,3
1546121740,7,6
1546122909,6,5
1546123345,3,0
1546124943,8,7
1546126261,6,12
1546127789,9,2
1546128866,1,5
1546129717,4,0
1546130547,2,6
1546132468,8,5
1546133734,2,5
1546134162,2,3
1546134991,3,4
1546136075,3,7
1546137198,5,2
1546139668,7,13
1546141253,1,9
1546142744,7,4
1546143268,2,2
1546144539,2,8
1546146868,9,5
1546147718,4,2
1546148560,4,5
1546150466,7,8
1546152147,6,9
1546154080,10,9
1546157180,14,2
1546158507,4,2
1546159349,2,2
1546160213,7,5
1546162110,15,12
1546163433,2,10
1546164652,2,7
1546166546,7,5
1546168466,13,8
1546170041,4,9
1546171543,8,7
1546172071,2,0
1546172909,0,3
1546174569,6,10
1546176516,7,3
1546178128,7,9
1546179636,8,5
1546180100,0,737
1546180947,738,0
1546182640,10,11
1546183726,5,3
1546185399,9,5
1546186546,5,14
1546187319,5,3
1546188662,11,13
1546190081,4,7
1546191642,7,13
1546193134,4,14
1546193663,2,2
1546194526,1,0
1546195910,3,7
1546197264,7,6
1546198105,4,1
1546198950,3,5
1546199781,0,714
1546200938,708,0
1546202138,6,29
1546203419,2,2
1546204466,2,17
1546205313,4,0
1546206986,8,19
1546208065,5,15
1546208917,1,0
1546209758,2,20
1546211439,4,17
1546213349,4,10
1546215286,5,7
1546216107,1,0
1546217275,1,6
1546218590,2,5
1546219707,3,3
1546221397,4,5
1546222466,3,2
1546224232,7,2
1546226069,3,6
1546226909,1,2
1546227827,1,5
1546228977,5,1
1546229680,2,2
1546230519,0,1
1546233040,6,11
1546234117,3,0
1546234984,3,1
1546235806,1,1
1546236876,4,4
1546238135,2,4
1546240244,4,5
1546242172,7,3
1546243570,6,9
1546245062,5,6
1546245787,3,4
1546246599,3,2
1546247688,4,7
1546249260,9,13
1546250188,8,4
1546251268,3,5
1546252116,1,0
1546253325,9,4
1546254864,7,4
1546256569,16,6
1546257962,8,3
1546259306,6,1
1546260189,3,4
1546261800,8,4
1546263743,0,632
1546265664,656,0
1546267358,8,5
1546268930,9,9
1546270442,25,12
1546270965,12,1
1546271785,15,1
1546272952,13,5
1546273710,1,2
1546276241,18,31
1546278153,10,11
1546278997,2,1
1546280139,6,3
1546280904,5,1
1546283423,0,698
1546285345,699,0
1546286740,6,14
1546288634,8,11
1546289794,3,2
1546290879,5,5
1546292133,6,10
1546293933,8,14
1546294466,4,1
1546295724,0,682
1546296994,687,0
1546298068,9,5
1546299533,13,4
1546301666,15,9
1546302927,6,8
1546304191,5,1
1546305647,8,7
1546306844,5,10
1546308341,11,5
1546309710,9,6
1546311708,3,10
1546313318,4,3
1546314172,0,9
1546314988,2,5
1546316067,4,3
1546316916,4,2
1546317750,6,4
1546319450,10,7
1546321349,15,3
1546322170,0,715
1546323289,728,0
1546324950,27,3
1546326886,6,4
1546327705,0,754
1546329027,781,0
1546330474,32,8
1546332157,15,6
1546334088,12,4
1546335650,7,6
1546337158,6,7
1546337667,1,4
1546339344,15,6
1546340206,6,1
1546341282,3,4
1546342527,3,9
1546342955,0,2
1546344880,28,5
1546345706,18,1
1546346561,12,8
1546347386,0,868
1546348521,866,0
1546349716,6,11
1546352065,11,16
1546354533,8,12
1546355681,4,10
1546357357,6,6
1546358196,4,2
1546359339,4,6
1546360123,7,0
1546361726,6,12
1546362942,7,6
1546363707,3,1
1546365326,2,7
1546366451,0,845
1546367730,842,0
1546368987,4,3
1546370081,4,3
1546371328,5,5
1546373745,15,1
1546375246,6,5
1546376211,7,3
1546378106,21,6
1546379441,6,6
1546380632,3,1
1546381714,6,1
1546384470,6,19
1546385306,3,1
1546386132,0,874
1546388067,873,0
1546389330,7,5
1546390529,5,1
1546391667,0,879
1546395281,881,0
1546396965,9,6
1546397792,4,3
1546398955,10,7
1546400549,6,5
1546401389,3,2
1546402550,6,5
1546403739,4,7
1546405837,12,7
1546407763,6,6
1546408594,3,2
1546409685,3,3
1546410508,12,0
1546411348,0,906
1546412187,905,0
1546413358,6,8
1546414111,11,1
1546415791,15,18
1546416869,8,13
1546418550,9,11
1546420241,7,15
1546421479,5,8
1546422940,9,1
1546424153,3,7
1546425653,9,7
1546426609,11,8
1546428046,10,11
1546429251,13,6
1546430200,10,8
1546431271,17,6
1546432426,28,23
1546433729,10,5
1546435722,12,14
1546436557,3,10
1546437408,9,4
1546438468,6,3
1546439635,1,22
1546441845,30,23
1546442915,17,2
1546444588,26,9
1546445745,5,7
1546446522,1,2
1546447347,4,14
1546448521,5,5
1546449640,9,3
1546450842,15,11
1546451991,9,9
1546453729,17,7
1546456483,18,25
1546457323,4,5
1546458987,36,12
1546460139,21,13
1546461759,20,16
1546463665,18,10
1546464513,12,2
1546465937,22,13
1546467265,14,22
1546468545,0,1001
1546470873,1008,0
1546471716,5,3
1546473041,9,8
1546474247,8,8
1546475458,13,8
1546476629,13,5
1546477002,6,1
1546478149,18,4
1546479773,19,16
1546481151,5,10
1546483347,14,3
1546484209,7,4
1546485352,5,7
1546486856,10,9
1546488357,6,10
1546489660,11,4
1546490572,11,8
1546492246,7,17
1546494205,14,21
1546496068,8,11
1546497353,10,10
1546498612,8,4
1546500526,0,1044
1546501653,998,0
1546503319,12,9
1546504119,1,2
1546504970,4,9
1546505804,9,6
1546506945,12,7
1546508274,8,9
1546509412,7,3
1546510544,2,11
1546512157,5,8
1546513840,11,9
1546515052,9,26
1546516517,0,979
1546517688,971,0
1546518519,6,2
1546519348,9,3
1546521269,13,12
1546522551,8,11
1546523812,4,7
