DateTime,AddedIPs,RemovedIPs
1545310597,1,0
1545311693,1,0
1545317799,0,1
1545318876,2,0
1545319704,0,1
1545320555,0,10
1545321951,0,2
1545323326,1,0
1545324168,1,2
1545326088,0,1
1545327336,0,1
1545328595,2,0
1545332142,0,1
1545334849,0,1
1545336353,1,1
1545338551,1,1
1545341459,1,0
1545343550,0,3
1545344906,1,0
1545347760,0,1
1545348941,0,2
1545351285,0,2
1545353555,0,1
1545354975,1,1
1545356138,1,0
1545360175,1,0
1545363092,2,0
1545365154,1,1
1545369275,1,1
1545370956,1,3
1545371798,1,1
1545372886,0,1
1545374569,4,3
1545376477,1,0
1545379014,1,5
1545380928,2,0
1545381774,2,0
1545383672,1,0
1545392574,1,0
1545401673,0,1
1545407759,1,11
1545409718,1,0
1545411397,2,1
1545414089,1,0
1545418446,5,1
1545419686,1,1
1545426875,1,1
1545432044,0,2
1545434075,0,2
1545442837,0,2
1545446554,0,2
1545448246,0,1
1545451006,2,0
1545452082,1,0
1545453662,1,0
1545467306,1,0
1545469842,0,1
1545472600,1,0
1545474525,1,0
1545484067,1,1
1545489650,1,0
1545491438,1,1
1545493366,0,7
1545494748,2,1
1545495935,1,0
1545497793,1,0
1545498952,1,0
1545504046,1,0
1545505001,1,0
1545508550,1,4
1545513045,0,1
1545514113,1,0
1545515792,0,1
1545518145,2,0
1545519409,1,0
1545520552,4,0
1545525355,1,1
1545527227,1,0
1545529551,1,1
1545532538,0,2
1545533809,1,0
1545537357,0,1
1545538492,0,1
1545541009,0,1
1545542085,3,1
1545548194,0,1
1545550950,1,0
1545553717,1,0
1545562393,0,1
1545563680,1,0
1545564820,1,0
1545567355,2,0
1545570947,1,1
1545573945,1,0
1545576523,0,1
1545578074,1,1
1545579761,0,12
1545581684,0,2
1545586477,0,1
1545588951,0,4
1545592486,1,0
1545596090,1,1
1545600511,0,2
1545601836,1,0
1545613010,2,0
1545615777,1,0
1545619357,2,0
1545621277,0,2
1545622990,0,1
1545625532,1,0
1545631000,1,0
1545632940,2,0
1545633785,1,0
1545635675,2,0
1545637253,1,1
1545639274,1,0
1545642889,2,1
1545643810,0,1
1545648166,2,0
1545654513,1,0
1545655833,0,1
1545660897,0,1
1545661731,1,0
1545663393,0,1
1545664543,0,1
1545665846,1,1
1545668151,0,2
1545669332,1,0
1545671755,1,0
1545674132,1,0
1545675347,0,2
1545677431,1,1
1545678645,1,0
1545684155,0,1
1545687768,0,2
1545689690,0,1
1545691355,1,4
1545694250,0,1
1545696885,0,1
1545699335,2,2
1545700555,1,1
1545701325,1,0
1545705230,0,1
1545709545,1,0
1545710755,1,0
1545713821,0,1
1545720175,2,0
1545725150,1,1
1545726523,1,0
1545727972,2,0
1545729293,1,0
1545732885,1,0
1545735402,0,2
1545739012,1,0
1545740147,2,0
1545747277,0,1
1545751911,0,5
1545754524,0,1
1545758077,2,0
1545762941,0,1
1545767747,0,3
1545772247,0,1
1545775853,2,0
1545782779,0,3
1545784124,1,0
1545786651,1,1
1545789394,0,1
1545795657,1,0
1545799359,1,0
1545801058,1,0
1545803794,1,2
1545805714,1,1
1545807363,0,1
1545812073,1,0
1545813656,1,0
1545820252,1,0
1545822881,0,1
1545824166,1,0
1545832054,1,0
1545835835,0,2
1545837272,1,0
1545838966,0,10
1545840311,2,2
1545841490,1,0
1545843395,0,1
1545848080,2,1
1545850605,1,1
1545852925,2,0
1545860971,0,1
1545862493,2,0
1545868616,0,1
1545869686,0,2
1545872150,0,1
1545874133,2,0
1545876113,1,0
1545880498,0,1
1545883557,4,0
1545889262,1,0
1545890787,2,0
1545894418,1,1
1545896750,0,1
1545898475,2,1
1545902101,2,0
1545903773,1,0
1545904589,1,0
