DateTime,AddedIPs,RemovedIPs
1546090119,1,0
1546090940,1,3
1546092346,4,5
1546094142,10,8
1546094578,5,1
1546095404,3,0
1546096473,2,7
1546098057,12,10
1546100742,5,12
1546101760,3,10
1546103114,10,12
1546104535,9,4
1546106211,5,5
1546108124,4,4
1546109525,6,33
1546110891,6,16
1546112456,8,7
1546113957,13,9
1546115318,8,0
1546116156,8,4
1546117021,3,2
1546118161,4,3
1546119768,5,6
1546120624,3,2
1546121757,6,6
1546122923,6,4
1546123360,3,0
1546124984,9,7
1546126295,7,14
1546127805,7,2
1546128882,1,5
1546129731,4,1
1546130562,2,5
1546132484,8,5
1546134176,3,8
1546135007,3,3
1546136091,4,7
1546137257,4,3
1546139685,7,13
1546141270,1,8
1546143284,9,5
1546144555,1,9
1546146885,7,4
1546147737,4,2
1546148575,4,5
1546150482,6,8
1546152165,7,9
1546154097,8,9
1546157206,14,4
1546158532,4,1
1546159365,2,2
1546160230,7,5
1546161300,8,10
1546162127,4,2
1546163451,2,10
1546164679,2,6
1546166560,7,3
1546168481,12,7
1546170056,4,8
1546171557,8,7
1546172086,2,1
1546172924,0,2
1546174590,5,10
1546176531,7,2
1546178142,7,9
1546179655,8,5
1546180112,4,0
1546180962,6,8
1546182655,10,11
1546183739,5,3
1546185414,9,5
1546186595,5,13
1546187333,4,3
1546188689,6,12
1546190095,3,6
1546191658,4,14
1546193153,4,13
1546193677,2,1
1546194540,1,0
1546195924,2,6
1546197279,6,5
1546198119,4,1
1546198964,3,5
1546199793,3,2
1546200956,1,8
1546202153,6,29
1546203434,2,2
1546204480,2,17
1546205324,4,1
1546207001,8,18
1546208079,4,15
1546208931,1,0
1546209772,1,20
1546211456,3,17
1546213367,4,10
1546215309,6,7
1546216121,1,1
1546217305,1,6
1546218623,2,5
1546219724,2,3
1546221421,3,4
1546222481,5,2
1546224276,6,3
1546226085,3,4
1546226925,0,2
1546227857,1,4
1546229696,6,1
1546233055,2,13
1546234131,3,0
1546235015,2,1
1546235821,1,1
1546236891,4,4
1546238157,2,4
1546240260,4,5
1546243616,11,9
1546245109,4,5
1546245801,2,3
1546246627,3,2
1546247711,6,4
1546249298,6,11
1546250206,8,3
1546252130,5,5
1546253340,8,2
1546254878,8,4
1546256618,16,7
1546258001,8,2
1546259322,6,1
1546260201,2,4
1546261837,8,4
1546263760,17,9
1546265678,21,5
1546267373,7,5
1546268943,9,8
1546270483,26,11
1546270980,12,1
1546271799,14,1
1546273725,13,7
1546276256,18,19
1546278167,10,11
1546279012,2,2
1546280156,7,3
1546280917,5,1
1546285359,33,33
1546286754,6,14
1546288673,7,11
1546289809,3,1
1546290894,6,5
1546292150,5,8
1546293982,7,14
1546294481,4,0
1546295746,5,8
1546297008,6,2
1546298086,9,4
1546299563,11,3
1546301681,16,8
1546302944,5,9
1546304226,4,2
1546305662,5,5
1546306860,5,7
1546308384,11,5
1546309725,9,6
1546311738,3,10
1546313333,4,3
1546314188,0,9
1546315005,2,3
1546316083,4,3
1546316933,4,2
1546317765,6,4
1546321364,22,8
1546322196,7,2
1546323314,17,5
1546324965,25,4
1546326903,6,4
1546327728,14,4
1546329042,22,7
1546330490,35,8
1546332171,14,5
1546334104,10,4
1546335676,6,6
1546337684,6,9
1546339359,13,5
1546340220,6,1
1546341297,4,4
1546342971,1,10
1546344894,29,5
1546345720,16,0
1546346576,11,8
1546347410,10,4
1546348545,1,9
1546349732,6,11
1546352079,10,16
1546354547,8,11
1546355696,2,8
1546357372,4,6
1546358209,4,1
1546359353,4,5
1546360138,6,0
1546361740,6,10
1546362956,6,6
1546363721,3,1
1546365340,1,7
1546366460,2,7
1546367747,4,2
1546369002,4,2
1546370094,4,3
1546371343,4,5
1546373758,14,1
1546375261,6,3
1546376225,8,3
1546378120,20,6
1546379455,5,6
1546380646,3,0
1546381736,6,1
1546384486,8,17
1546385323,2,3
1546388083,12,11
1546389344,4,5
1546391685,6,2
1546393536,9,7
1546395295,5,7
1546396979,7,6
1546397808,4,3
1546399002,9,6
1546400565,6,5
1546401404,3,2
1546402577,6,2
1546403757,4,8
1546405853,12,5
1546407778,6,6
1546408609,3,2
1546409700,6,2
1546410523,9,1
1546411367,4,12
1546412204,7,1
1546413374,5,7
1546414127,10,1
1546415808,14,19
1546418567,16,23
1546420259,7,14
1546421520,6,8
1546422955,7,1
1546424184,2,7
1546425696,11,7
1546426623,10,7
1546428062,10,11
1546429284,13,5
1546430216,10,8
1546431286,17,6
1546432471,29,17
1546433743,8,5
1546435737,7,14
1546436565,2,10
1546437442,9,3
1546438484,6,3
1546439667,1,22
1546441860,29,23
1546442930,16,2
1546444603,26,9
1546445763,5,7
1546446539,1,2
1546447361,4,13
1546448568,5,5
1546449904,11,4
1546451126,16,10
1546452312,6,10
1546456504,27,24
1546457338,4,5
1546459002,33,12
1546460155,20,11
1546461774,17,16
1546463679,17,8
1546464528,13,2
1546465964,21,10
1546467280,14,21
1546468553,11,10
1546470890,30,22
1546471732,6,3
1546473058,8,7
1546474263,6,7
1546475511,14,7
1546476648,13,5
1546477018,5,1
1546478164,17,5
1546479788,18,15
1546481188,5,10
1546483364,14,3
1546484223,5,4
1546485413,5,7
1546486887,8,10
1546488405,6,9
1546489678,11,5
1546490588,10,6
1546492261,10,16
1546493397,9,21
1546494221,3,1
1546496083,8,10
1546497391,10,10
1546498628,7,5
1546499781,11,24
1546500535,3,4
1546501707,4,34
1546503344,10,7
1546504136,1,2
1546504987,4,9
1546505820,8,6
1546506963,11,6
1546508292,8,9
1546509430,6,3
1546510578,2,10
1546512172,5,8
1546513856,11,9
1546515084,10,26
1546516539,15,14
1546517712,3,12
1546518535,5,2
1546519362,9,3
1546521286,12,10
1546522569,8,10
1546523847,5,7
1546525723,24,7
1546526572,15,4
1546527422,9,2
1546528484,23,8
1546529712,6,14
1546531602,12,11
1546532923,15,9
1546533764,7,4
1546534613,4,4
1546535759,2,12
1546537364,14,13
1546538201,5,7
1546540127,10,6
1546540962,6,5
1546542891,5,18
1546543728,1,1
1546545345,7,6
1546546559,4,7
1546547330,3,0
1546548173,4,12
1546549813,31,8
1546551071,22,5
1546552602,42,1
1546553690,13,5
1546554931,13,4
1546557307,16,2
1546558969,18,6
1546560396,10,5
1546561542,12,0
1546563404,15,3
1546565740,23,6
1546566190,4,1
1546567004,7,1
1546568092,12,8
1546568936,10,0
1546569789,10,2
1546570605,3,2
1546571689,8,2
1546573385,17,6
1546574760,5,4
1546575947,3,2
1546576137,1,1
1546578656,7,7
1546580570,5,4
1546582518,5,9
1546584094,12,4
1546585860,13,7
1546587772,19,5
1546588644,8,0
1546589700,7,5
1546591378,10,5
1546593348,9,7
1546594981,17,5
1546595829,5,0
1546596975,8,7
1546597716,2,0
1546598899,5,5
1546600490,11,10
1546601745,9,15
1546602946,6,7
1546604162,5,5
1546607496,36,10
1546608715,15,8
1546609378,4,1
1546610752,7,9
1546613456,15,14
1546614654,4,24
1546615723,4,1
1546618564,12,12
1546620070,7,6
1546621014,4,2
1546622081,3,3
1546622927,5,0
1546624550,8,15
1546625763,10,7
1546626539,2,0
1546627716,8,7
1546629053,16,14
1546630970,6,14
1546632347,4,4
1546633537,3,1
1546634747,2,14
1546636256,4,10
1546638169,12,8
1546639000,4,0
1546640094,5,10
1546641351,6,10
1546642540,7,1
1546643729,1,11
1546645390,0,11
1546646213,1,2
1546648121,5,5
1546648975,1,9
1546649813,2,1
1546650897,3,1
1546651734,3,0
1546653043,2,9
1546654491,1,4
1546656063,1,2
1546657019,4,0
1546658165,3,7
1546659779,3,2
1546661687,4,5
1546662541,2,0
1546664143,4,4
1546665362,4,3
1546666143,4,0
1546667808,4,6
1546668952,10,4
1546670454,10,2
1546672057,3,4
1546673326,5,2
1546674995,5,1
1546676186,4,3
1546677381,1,9
1546678555,3,5
1546679759,9,3
1546680533,3,0
1546681375,5,7
1546683280,18,8
1546684135,8,0
1546684961,10,7
1546686231,10,8
1546687581,4,2
1546688747,4,7
1546690489,5,5
1546691321,8,1
1546692160,6,5
1546693430,7,12
1546694921,5,0
1546696252,11,21
1546697693,5,15
1546698956,12,12
1546701048,18,6
1546702273,6,10
1546703757,8,2
1546704907,5,5
1546706570,6,5
1546708258,12,9
1546709727,13,8
1546711558,12,5
1546712926,10,0
1546714240,10,11
1546715454,7,1
1546717368,11,5
1546718748,7,21
1546720108,8,1
1546721564,6,28
1546723721,12,25
1546725480,6,20
1546727330,10,5
1546728163,3,14
1546730114,8,14
1546731790,1,17
1546732617,3,3
1546733693,3,12
1546734537,2,0
1546735388,3,17
1546737052,1,14
1546738340,2,12
1546740892,3,10
1546741736,3,0
1546743416,4,16
1546744569,4,4
1546745752,1,6
1546747019,3,0
1546748170,2,4
1546749630,1,3
1546752724,5,7
1546754205,4,4
1546756137,1,6
1546757418,4,20
1546758893,6,20
1546760470,7,11
1546761838,4,10
1546764183,9,8
1546765005,3,5
1546766176,2,13
1546767783,6,9
1546769688,6,10
1546771249,4,16
