DateTime,AddedIPs,RemovedIPs
1546118114,72,97
1546119728,128,128
1546120568,51,44
1546121717,56,65
1546122903,0,25181
1546123328,25194,0
1546124923,136,190
1546126241,50,339
1546127465,69,43
1546127768,21,0
1546128848,37,107
1546129687,36,0
1546130528,40,123
1546132447,108,179
1546133712,79,102
1546134128,27,0
1546134967,37,38
1546136046,36,132
1546137168,51,98
1546139648,135,78
1546141207,86,96
1546142709,86,131
1546143246,50,0
1546144509,83,179
1546146847,170,126
1546147688,68,0
1546148527,47,151
1546150447,92,128
1546152128,71,135
1546154048,123,148
1546157154,154,271
1546158488,35,0
1546159328,40,114
1546160182,45,36
1546162088,107,72
1546163411,55,225
1546164610,114,116
1546166527,147,143
1546168447,114,246
1546170023,83,159
1546171517,67,161
1546172047,23,0
1546172887,45,0
1546174565,0,23895
1546176495,24406,0
1546178107,662,165
1546180087,402,132
1546180928,65,143
1546182612,163,199
1546183688,52,0
1546185367,156,176
1546186519,67,152
1546187291,57,0
1546188631,88,180
1546190048,104,119
1546191610,97,139
1546193108,97,154
1546193646,38,0
1546194486,45,0
1546195890,129,210
1546197246,106,97
1546198087,32,0
1546198927,40,178
1546199767,43,0
1546200908,75,135
1546202107,52,129
1546203399,84,0
1546204447,44,141
1546205287,63,0
1546206967,96,146
1546208047,79,94
1546208886,52,0
1546209736,70,123
1546211408,85,133
1546213328,110,178
1546215247,94,128
1546216087,39,0
1546217236,49,155
1546218568,72,105
1546219686,60,0
1546221367,123,144
1546222447,50,69
1546224176,107,79
1546226047,95,168
1546226888,40,0
1546227808,36,112
1546229648,96,115
1546230488,42,0
1546234088,245,158
1546234933,51,110
1546235776,50,36
1546236847,58,78
1546238109,97,86
1546240209,117,119
1546242131,103,106
1546243528,76,111
1546245013,107,86
1546245755,37,0
1546246573,43,37
1546247648,72,97
1546249214,88,86
1546250167,39,23
1546251246,47,101
1546252087,82,0
1546253302,76,135
1546254847,90,100
1546256534,97,94
1546257924,144,109
1546259286,73,0
1546260164,40,87
1546261782,109,99
1546263728,134,110
1546265647,117,140
1546267327,90,126
1546268910,88,154
1546270420,111,97
1546270932,28,0
1546271767,49,33
1546272912,64,84
1546273688,32,0
1546276212,139,237
1546278129,84,125
1546278967,24,0
1546280107,116,110
1546280887,68,0
1546283412,162,261
1546285327,96,98
1546286708,85,119
1546288593,118,109
1546289767,68,0
1546290847,69,123
1546292106,97,107
1546293908,104,155
1546294447,38,0
1546295709,77,89
1546296967,98,0
1546298048,46,115
1546299512,75,62
1546301647,115,103
1546302908,89,121
1546304159,89,22
1546305619,101,55
1546306809,48,83
1546308317,108,106
1546309688,91,0
1546311680,94,211
1546313288,150,0
1546314129,60,106
1546314967,63,63
1546316047,69,73
1546316887,37,0
1546317727,57,154
1546319409,99,96
1546321328,102,85
1546322168,36,28
1546323247,73,77
1546324928,144,93
1546326858,140,80
1546327696,45,0
1546329008,94,60
1546330447,128,88
1546332128,122,96
1546334057,109,106
1546335610,125,142
1546337108,89,133
1546337648,39,0
1546339327,133,89
1546340170,58,29
1546341256,52,68
1546342507,61,85
1546342927,17,0
1546344855,186,104
1546345687,82,0
1546346530,69,104
1546347376,39,38
1546347652,14,90
1546348807,64,0
1546350309,87,89
1546352047,90,150
1546354508,144,107
1546355647,46,716
1546357328,103,639
1546358166,79,196
1546359307,105,271
1546360088,58,0
1546361707,120,157
1546362908,101,80
1546363687,48,0
1546365306,126,111
1546366447,58,197
1546367710,87,97
1546368967,82,28
1546370055,66,56
1546371309,76,104
1546373708,180,106
1546375216,158,105
1546376175,101,29
1546377316,96,114
