DateTime,AddedIPs,RemovedIPs
1546060258,6,5
1546061483,1,5
1546062899,4,1
1546064150,5,4
1546065753,9,12
1546067446,3,5
1546068516,3,0
1546069359,0,4
1546071251,4,22
1546072116,1,1
1546073803,5,7
1546074942,7,19
1546076458,5,4
1546078470,6,7
1546079313,4,0
1546080997,6,7
1546082071,3,4
1546083769,5,1
1546085140,7,2
1546086333,3,0
1546087545,2,3
1546088689,0,4
1546089813,1,0
1546090111,0,1
1546090934,1,4
1546092340,2,1
1546094134,4,1
1546096465,3,5
1546098048,2,1
1546100734,2,2
1546101753,1,2
1546103105,0,5
1546104528,2,0
1546106203,2,0
1546108116,2,5
1546109518,2,11
1546110884,1,3
1546113949,2,9
1546115311,1,0
1546116148,1,1
1546117012,1,0
1546118153,1,3
1546119761,0,3
1546120616,2,2
1546121746,2,4
1546122916,1,2
1546123351,1,0
1546124959,0,12
1546126275,2,3
1546127796,4,0
1546128874,0,9
1546129723,1,0
1546130553,1,5
1546132475,7,4
1546134168,11,4
1546134998,2,2
1546136083,0,3
1546137225,4,6
1546139676,8,9
1546141261,9,7
1546142758,9,7
1546143275,1,0
1546144546,3,9
1546146875,18,6
1546147726,2,0
1546148566,2,11
1546150474,9,5
1546152156,6,4
1546154088,4,13
1546157193,9,15
1546158514,2,0
1546159356,4,9
1546160221,2,3
1546162118,12,4
1546163443,5,6
1546164660,4,5
1546166553,5,5
1546168473,4,12
1546170049,5,9
1546171549,3,3
1546172078,3,0
1546172916,1,0
1546174582,1,5
1546176523,97,1
1546178135,2,2
1546179648,6,4
1546180955,0,4
1546182647,5,3
1546183731,1,0
1546185406,0,15
1546186553,0,7
1546187325,1,1
1546188674,0,6
1546190088,0,4
1546191649,0,3
1546193145,2,4
1546193669,1,0
1546194533,3,1
1546195916,2,4
1546197271,2,1
1546198957,1,4
1546199785,1,0
1546200945,0,1
1546202144,1,3
1546203426,2,1
1546204472,3,3
1546206993,3,5
1546208071,2,7
1546208923,1,1
1546209764,0,1
1546211447,2,2
1546213357,6,2
1546215293,3,11
1546216114,2,0
1546217285,4,7
1546218595,4,4
1546219714,2,0
1546221406,5,17
1546222472,6,3
1546224262,3,11
1546226077,2,12
1546226917,4,0
1546227844,4,9
1546228989,7,9
1546229687,2,0
1546230526,2,0
1546233047,7,11
1546234123,4,0
1546234994,2,10
1546235813,2,6
1546236882,1,7
1546238148,1,3
1546240251,8,9
1546242182,10,6
1546243591,4,3
1546245074,4,8
1546245794,3,0
1546246618,5,3
1546247695,3,8
1546249276,4,1
1546250196,1,0
1546252122,9,6
1546253333,3,2
1546254870,1,10
1546256592,3,3
1546257974,1,4
1546259314,4,0
1546260194,0,2
1546261809,3,3
1546263748,2,2
1546265670,4,3
1546267365,2,2
1546268936,2,3
1546270449,1,0
1546270972,2,0
1546271791,1,0
1546272959,1,1
1546276247,3,6
1546278159,0,5
1546279003,1,0
1546280146,3,1
1546284644,8,5
1546286747,3,2
1546288648,4,1
1546290886,0,1
1546292142,2,2
1546293938,2,1
1546295738,2,2
1546298077,1,2
1546299541,1,2
1546301673,2,6
1546302935,4,10
1546304198,1,2
1546305653,1,3
1546306852,4,1
1546308358,3,5
1546309717,2,0
1546313325,4,12
1546314996,7,6
1546316074,1,13
1546316924,3,0
1546317757,6,5
1546319457,3,6
1546321356,4,7
1546322187,1,1
1546323295,2,5
1546324957,3,2
1546326894,4,7
1546329034,1,1
1546330481,2,5
1546332163,5,11
