DateTime,AddedIPs,RemovedIPs
1546082070,57,46
1546083767,50,44
1546085139,19,71
1546086332,14,5
1546087543,19,27
1546088688,12,80
1546089811,7,3
1546090110,9,0
1546090932,16,45
1546092338,10,58
1546094133,50,33
1546094570,9,4
1546095395,13,3
1546096463,21,71
1546098046,85,68
1546100732,108,75
1546101751,27,88
1546103103,52,77
1546104527,34,5
1546106201,18,63
1546108115,76,25
1546109515,26,89
1546110882,16,24
1546113947,106,68
1546115309,25,1
1546116146,11,62
1546117011,16,2
1546118151,28,31
1546119759,64,52
1546120613,16,24
1546121745,18,16
1546122914,21,27
1546123350,11,5
1546124949,92,90
1546126272,10,222
1546127794,20,29
1546128872,9,57
1546129722,13,3
1546130552,20,54
1546132473,38,106
1546134166,48,46
1546134997,6,20
1546136081,5,79
1546137213,14,43
1546139674,49,24
1546141260,37,39
1546142756,32,59
1546143273,32,5
1546144545,48,86
1546146873,85,50
1546147724,29,3
1546148565,25,72
1546150472,11,57
1546152154,28,65
1546154086,62,70
1546157186,38,128
1546158512,5,2
1546159354,10,56
1546160219,13,11
1546162116,45,14
1546163441,10,109
1546164658,63,52
1546166551,50,60
1546168471,34,104
1546170047,24,84
1546171548,25,78
1546172077,6,1
1546172915,15,0
1546174580,22,67
1546176521,43,51
1546178133,22,72
1546179647,21,60
1546180953,33,62
1546182645,84,119
1546183730,12,0
1546185405,40,95
1546186551,17,59
1546187323,14,4
1546188672,21,89
1546190086,35,66
1546191647,40,76
1546193144,24,65
1546193668,13,2
1546194531,10,3
1546195915,60,89
1546197269,24,41
1546198110,7,3
1546198955,10,97
1546200944,47,55
1546202143,9,45
1546203425,20,2
1546204471,9,66
1546206991,77,28
1546208070,51,34
1546208922,20,1
1546209763,47,22
1546211446,30,53
1546213355,56,115
1546215292,19,51
1546216112,13,3
1546217283,12,60
1546218594,43,54
1546219713,33,2
1546221403,69,58
1546222471,16,27
1546224256,44,22
1546226075,59,102
1546226916,7,4
1546227838,6,37
1546228985,15,40
1546229686,11,2
1546230525,25,1
1546233045,64,55
1546234122,16,1
1546234992,20,40
1546235811,16,6
1546236881,27,27
1546238146,44,22
1546240250,51,55
1546242180,24,50
1546243584,28,36
1546245072,23,18
1546245792,8,4
1546246610,23,18
1546247693,23,27
1546249266,27,24
1546250195,4,11
1546252120,77,56
1546253331,19,71
1546254869,47,32
1546256576,38,19
