DateTime,AddedIPs,RemovedIPs
1546113940,116,71
1546115302,44,2
1546116138,0,15086
1546116998,15067,0
1546118144,41,57
1546119751,95,90
1546120601,31,29
1546121738,39,27
1546122903,0,15070
1546123343,15076,0
1546124941,116,148
1546126253,27,306
1546127786,64,40
1546128864,26,66
1546129714,20,4
1546130545,32,81
1546132465,60,135
1546133731,51,66
1546134159,14,0
1546134989,17,24
1546136073,26,103
1546137190,28,61
1546139665,81,40
1546141250,57,62
1546142740,56,90
1546143265,35,0
1546144536,62,125
1546146866,113,76
1546147715,47,1
1546148558,31,97
1546150464,47,94
1546152145,54,100
1546154077,87,114
1546157177,73,191
1546158505,18,5
1546159347,20,83
1546160211,23,24
1546162107,64,39
1546163431,33,152
1546164650,76,75
1546166544,67,97
1546168463,63,138
1546170039,43,120
1546171541,31,127
1546172069,9,2
1546172907,34,6
1546174565,0,13889
1546176514,14292,0
1546178126,603,102
1546179631,323,95
1546180100,0,15021
1546180945,14981,0
1546182637,126,151
1546183719,31,1
1546185397,94,118
1546186542,42,98
1546187317,43,3
1546188659,52,122
1546190078,77,94
1546191640,69,101
1546193127,74,104
1546193661,26,1
1546194519,26,5
1546195907,92,156
1546197262,58,70
1546198103,23,2
1546198948,18,132
1546199781,0,14674
1546200931,14657,0
1546202136,20,67
1546203417,38,2
1546204464,22,92
1546205311,48,2
1546206984,67,79
1546208063,58,51
1546208914,34,1
1546209756,57,63
1546211437,51,78
1546213346,81,130
1546215277,48,71
1546216104,20,2
1546217263,27,92
1546218587,48,76
1546219705,41,3
1546221395,90,84
1546222464,24,40
1546224225,67,40
1546226067,70,119
1546226907,26,4
1546227824,23,57
1546228969,33,69
1546229678,20,1
1546230517,28,2
1546233037,109,80
1546234114,40,3
1546234977,33,63
1546235804,28,12
1546236873,41,43
1546238127,74,44
1546240236,74,86
1546242165,46,73
1546243562,48,59
1546245053,48,42
1546245784,15,1
1546246594,30,25
1546247680,39,54
1546249252,49,44
1546250185,18,16
1546251266,31,68
1546252113,69,0
1546253323,38,101
1546254862,67,56
1546256564,54,52
1546257960,117,56
1546259303,44,1
1546260186,22,36
1546261798,68,46
1546263743,0,14614
1546265662,14581,0
1546267356,50,88
1546268928,59,106
1546270439,56,59
1546270958,8,3
1546271782,20,24
1546272944,36,50
1546273707,18,1
1546276238,84,101
1546278151,48,96
1546278994,12,2
1546280132,78,59
1546280902,49,2
1546283423,0,14508
1546285343,14421,0
1546286738,36,76
1546288630,50,79
1546289792,28,7
1546290873,43,87
1546292131,57,55
1546293931,51,110
1546294464,20,0
1546295724,0,14292
1546296992,14308,0
1546298066,22,73
1546299530,35,34
1546301664,79,67
1546302925,64,81
