DateTime,Entries,UniqueIPs
1546113940,23267,23267
1546115302,23309,23309
1546116138,8223,8223
1546116998,23290,23290
1546118144,23274,23274
1546119751,23279,23279
1546120601,23281,23281
1546121738,23293,23293
1546122903,8223,8223
1546123343,23299,23299
1546124941,23267,23267
1546126253,22988,22988
1546127786,23012,23012
1546128864,22972,22972
1546129714,22988,22988
1546130545,22939,22939
1546132465,22864,22864
1546133731,22849,22849
1546134159,22863,22863
1546134989,22856,22856
1546136073,22779,22779
1546137190,22746,22746
1546139665,22787,22787
1546141250,22782,22782
1546142740,22748,22748
1546143265,22783,22783
1546144536,22720,22720
1546146866,22757,22757
1546147715,22803,22803
1546148558,22737,22737
1546150464,22690,22690
1546152145,22644,22644
1546154077,22617,22617
1546157177,22499,22499
1546158505,22512,22512
1546159347,22449,22449
1546160211,22448,22448
1546162107,22473,22473
1546163431,22354,22354
1546164650,22355,22355
1546166544,22325,22325
1546168463,22250,22250
1546170039,22173,22173
1546171541,22077,22077
1546172069,22084,22084
1546172907,22112,22112
1546174565,8223,8223
1546176514,22515,22515
1546178126,23016,23016
1546179631,23244,23244
1546180100,8223,8223
1546180945,23204,23204
1546182637,23179,23179
1546183719,23209,23209
1546185397,23185,23185
1546186542,23129,23129
1546187317,23169,23169
1546188659,23099,23099
1546190078,23082,23082
1546191640,23050,23050
1546193127,23020,23020
1546193661,23045,23045
1546194519,23066,23066
1546195907,23002,23002
1546197262,22990,22990
1546198103,23011,23011
1546198948,22897,22897
1546199781,8223,8223
1546200931,22880,22880
1546202136,22833,22833
1546203417,22869,22869
1546204464,22799,22799
1546205311,22845,22845
1546206984,22833,22833
1546208063,22840,22840
1546208914,22873,22873
1546209756,22867,22867
1546211437,22840,22840
1546213346,22791,22791
1546215277,22768,22768
1546216104,22786,22786
1546217263,22721,22721
1546218587,22693,22693
1546219705,22731,22731
1546221395,22737,22737
1546222464,22721,22721
1546224225,22748,22748
1546226067,22699,22699
1546226907,22721,22721
1546227824,22687,22687
1546228969,22651,22651
1546229678,22670,22670
1546230517,22696,22696
1546233037,22725,22725
1546234114,22762,22762
1546234977,22732,22732
1546235804,22748,22748
1546236873,22746,22746
1546238127,22776,22776
1546240236,22764,22764
1546242165,22737,22737
1546243562,22726,22726
1546245053,22732,22732
1546245784,22746,22746
1546246594,22751,22751
1546247680,22736,22736
1546249252,22741,22741
1546250185,22743,22743
1546251266,22706,22706
1546252113,22775,22775
1546253323,22712,22712
1546254862,22723,22723
1546256564,22725,22725
1546257960,22786,22786
1546259303,22829,22829
1546260186,22815,22815
1546261798,22837,22837
1546263743,8223,8223
1546265662,22804,22804
1546267356,22766,22766
1546268928,22719,22719
1546270439,22716,22716
1546270958,22721,22721
1546271782,22717,22717
1546272944,22703,22703
1546273707,22720,22720
1546276238,22703,22703
1546278151,22655,22655
1546278994,22665,22665
1546280132,22684,22684
1546280902,22731,22731
1546283423,8223,8223
1546285343,22644,22644
1546286738,22604,22604
1546288630,22575,22575
1546289792,22596,22596
1546290873,22552,22552
1546292131,22554,22554
1546293931,22495,22495
1546294464,22515,22515
1546295724,8223,8223
1546296992,22531,22531
1546298066,22480,22480
1546299530,22481,22481
1546301664,22493,22493
1546302925,22476,22476
1546304183,22531,22531
1546305645,22570,22570
1546306835,22544,22544
1546308338,22544,22544
1546309708,22594,22594
1546311701,22504,22504
1546313315,22613,22613
1546314162,22599,22599
1546314986,22595,22595
1546316065,22601,22601
1546316913,22620,22620
1546317747,22533,22533
1546319437,22542,22542
1546321347,22548,22548
1546322170,8223,8223
1546323282,22526,22526
1546324947,22553,22553
1546326883,22596,22596
1546327705,8223,8223
1546329025,22628,22628
1546330472,22643,22643
1546332154,22656,22656
1546334085,22658,22658
1546335642,22641,22641
1546337150,22610,22610
1546337665,22633,22633
1546339342,22674,22674
1546340203,22693,22693
1546341280,22698,22698
1546342524,22690,22690
1546342951,22701,22701
1546344878,22752,22752
1546345704,22797,22797
1546346559,22779,22779
1546347386,8223,8223
1546348516,22768,22768
1546349708,22758,22758
1546352063,22725,22725
1546354530,22770,22770
1546355674,22248,22248
1546357355,21714,21714
1546358194,21586,21586
1546359334,21432,21432
1546360116,21469,21469
1546361723,21417,21417
1546362935,21415,21415
1546363705,21447,21447
1546365323,21462,21462
1546366451,8223,8223
1546367727,21348,21348
1546368984,21401,21401
1546370078,21421,21421
1546371325,21411,21411
1546373742,21462,21462
1546375244,21509,21509
1546376204,21550,21550
1546378104,21553,21553
1546379438,21529,21529
1546380630,21534,21534
1546381712,21607,21607
1546384467,21703,21703
1546385303,21733,21733
1546386132,8223,8223
1546388065,21782,21782
1546389327,21818,21818
1546390526,21901,21901
1546391667,8223,8223
1546395278,21960,21960
1546396962,22034,22034
1546397789,22056,22056
1546398952,22111,22111
1546400547,22137,22137
1546401386,22167,22167
1546402548,22122,22122
1546403736,22128,22128
1546405834,22224,22224
1546407761,22176,22176
1546408591,22175,22175
1546409678,22165,22165
1546410505,22215,22215
1546411348,8223,8223
1546412185,22200,22200
1546413353,22186,22186
1546414108,22237,22237
1546415788,22267,22267
1546416866,22315,22315
1546418547,22339,22339
1546420238,22375,22375
1546421467,22320,22320
1546422938,22429,22429
1546424148,22401,22401
1546425643,22392,22392
1546426602,22482,22482
1546428039,22526,22526
1546429248,22547,22547
1546430198,22555,22555
1546431269,22553,22553
1546432418,22528,22528
1546433726,22645,22645
1546435719,22692,22692
1546436554,22713,22713
1546437405,22747,22747
1546438466,22766,22766
1546439627,22735,22735
1546441842,22825,22825
1546442913,22912,22912
1546444586,22943,22943
1546445742,22991,22991
1546446516,23046,23046
1546447345,23048,23048
1546448518,23101,23101
1546449638,23183,23183
1546450834,23173,23173
1546451985,23170,23170
1546453722,23254,23254
1546456476,23283,23283
1546457320,23330,23330
1546458985,23413,23413
1546460136,23416,23416
1546461757,23438,23438
1546463664,23496,23496
1546464511,23544,23544
1546465934,23625,23625
1546467263,23703,23703
1546468545,8223,8223
1546470871,23899,23899
1546471713,23950,23950
1546473033,23910,23910
1546474244,23910,23910
1546475455,23934,23934
1546476626,23992,23992
1546476999,24014,24014
1546478146,24030,24030
1546479770,24049,24049
1546481143,24104,24104
1546483345,24097,24097
1546484201,24121,24121
1546485343,24134,24134
1546486846,24170,24170
1546488349,24158,24158
1546489647,24227,24227
1546490565,24241,24241
1546492243,24312,24312
1546494202,24387,24387
1546496065,24386,24386
1546497349,24402,24402
1546498609,24489,24489
1546500522,24508,24508
1546501650,24494,24494
1546503317,24540,24540
1546504116,24578,24578
1546504967,24515,24515
1546505801,24541,24541
1546506940,24547,24547
1546508271,24515,24515
1546509409,24585,24585
1546510540,24564,24564
1546512154,24576,24576
1546513837,24596,24596
1546515048,24575,24575
1546516517,8223,8223
1546517680,24669,24669
1546518516,24715,24715
1546519346,24746,24746
1546521266,24780,24780
1546522548,24765,24765
1546523805,24840,24840
1546525706,24925,24925
1546526555,24924,24924
1546527395,24959,24959
1546528466,24985,24985
1546529691,25003,25003
1546531554,25026,25026
1546532907,25149,25149
1546533737,8223,8223
1546534595,25164,25164
1546535735,25135,25135
1546537345,25151,25151
1546538183,25166,25166
1546540111,25257,25257
1546540944,25268,25268
1546542874,25285,25285
1546543704,25323,25323
1546545327,25319,25319
1546546538,25325,25325
1546547311,25396,25396
1546548157,25365,25365
1546549787,25316,25316
1546551040,25281,25281
1546552585,25342,25342
1546553674,25423,25423
1546554900,25412,25412
1546556191,25501,25501
1546557286,25463,25463
1546558953,8223,8223
1546560344,25184,25184
1546561499,25228,25228
1546563386,25158,25158
1546564476,25148,25148
1546565719,8223,8223
1546566171,25119,25119
1546566986,25178,25178
1546568073,25112,25112
1546568918,25133,25133
1546569771,25038,25038
1546570586,25048,25048
1546571670,25080,25080
1546573366,25108,25108
