DateTime,AddedIPs,RemovedIPs
1545563679,1,0
1545564819,1,2
1545569802,1,0
1545573944,1,0
1545575312,0,1
1545579760,1,0
1545581683,1,0
1545590131,0,1
1545593735,0,1
1545596089,0,2
1545597770,0,1
1545600510,1,0
1545602999,0,1
1545604960,1,0
1545606893,1,2
1545608566,1,1
1545611323,1,0
1545613010,1,0
1545614127,2,0
1545617750,1,0
1545619356,0,1
1545621276,0,1
1545624366,1,0
1545627397,1,1
1545637252,2,0
1545639273,3,0
1545643809,0,1
1545646487,0,1
1545650089,0,1
1545654512,0,1
1545658121,1,0
1545659601,1,5
1545661731,1,0
1545664543,0,1
1545665841,0,2
1545671754,0,3
1545672937,1,1
1545677431,0,1
1545680567,1,0
1545682474,0,2
1545684154,1,1
1545687767,1,2
1545688592,0,1
1545689689,1,0
1545691354,0,1
1545692851,0,1
1545694980,0,1
1545695807,0,3
1545696884,3,2
1545697714,2,0
1545704074,0,1
1545706594,1,0
1545713820,1,0
1545714956,0,3
1545717949,0,2
1545721007,2,0
1545722927,1,0
1545725150,0,1
1545732884,13,1
1545735401,0,2
1545739012,0,2
1545741760,0,1
1545743427,0,1
1545750645,0,1
1545754523,1,0
1545758077,1,0
1545759644,2,0
1545761141,0,1
1545766111,0,1
1545767746,2,0
1545769712,1,0
1545771034,0,1
1545772247,1,0
1545772479,1,0
1545773326,0,1
1545774504,1,0
1545777072,1,0
1545778398,1,1
1545779687,2,2
1545782765,0,2
1545786650,0,2
1545788569,1,1
1545790472,2,0
1545793852,2,1
1545795656,1,0
1545797154,1,2
1545799359,0,1
1545801057,1,0
1545803794,4,0
1545805714,1,0
1545807362,2,2
1545808551,0,4
1545814603,1,0
1545815706,1,0
1545818721,1,0
1545820249,0,1
1545826465,1,0
1545828163,0,1
1545829844,0,2
1545832054,0,1
1545833676,1,0
1545835834,0,1
1545840326,0,1
1545843394,2,0
1545850604,1,2
1545854140,1,0
1545856120,0,1
1545860963,1,1
1545862492,2,0
1545867770,0,4
1545868616,1,0
1545870515,1,0
1545876112,0,2
1545877250,2,0
1545878447,0,2
1545879395,1,1
1545881759,1,1
1545884734,0,1
1545887674,0,1
1545889261,0,1
1545890778,1,3
1545892964,0,1
1545895532,1,0
1545896749,1,0
1545898474,0,1
1545902100,1,0
1545903773,0,7
1545918156,2,0
1545923429,2,0
1545924633,3,0
1545928833,1,2
1545930650,1,1
1545931866,0,1
1545933400,2,0
1545937014,2,0
1545938913,1,0
1545940140,2,0
1545941447,0,2
1545943253,1,0
1545945044,0,1
1545948106,0,1
1545949724,1,0
1545951034,1,2
1545952481,2,0
1545956105,2,1
1545957753,0,1
1545959451,2,0
1545962028,2,0
1545963356,1,1
1545964956,2,0
1545966886,2,0
1545968140,0,1
1545969345,1,2
1545970487,1,0
1545972949,3,0
1545974081,0,3
1545974935,2,0
1545975769,0,2
1545978664,0,2
1545979373,1,0
1545981354,0,1
1545982119,2,0
1545986560,0,1
1545988477,1,0
1545995456,1,0
1545997354,1,2
1546002947,1,1
1546004562,1,0
1546006469,1,1
1546008158,2,0
1546013688,0,1
1546014511,0,1
1546015371,1,0
1546016194,2,0
1546018962,0,1
1546019805,0,1
1546021723,1,0
1546026154,2,0
1546026993,0,1
1546028154,0,2
1546029341,0,1
1546032507,0,1
1546035344,1,1
1546036842,1,0
1546038892,2,0
1546040557,1,0
1546041945,2,0
1546043509,0,1
1546046154,1,0
1546049172,2,2
1546049684,1,0
1546051259,0,1
1546054972,1,0
1546055804,1,1
1546056887,0,1
1546058462,1,0
1546060259,1,1
1546062900,1,0
1546064151,1,0
1546065754,0,2
1546071251,2,1
1546073803,0,1
1546076458,1,0
1546078471,1,0
1546079313,0,1
1546083769,1,0
1546087545,2,0
1546088690,0,2
1546089813,1,0
1546094135,1,1
1546096465,1,0
1546100734,4,2
1546101753,1,1
1546103105,2,1
1546108117,0,1
1546109518,0,2
1546113949,1,1
1546115311,1,0
1546118153,1,1
1546119762,2,0
1546120616,1,0
1546121748,1,0
1546122916,0,1
1546124969,0,4
1546126275,0,1
1546128874,0,1
1546130554,1,1
1546132476,1,2
1546134168,0,2
1546136083,2,2
1546137225,0,1
1546142759,2,2
1546144547,0,1
1546152156,0,2
1546157197,2,1
1546159356,1,1
1546160221,1,1
1546168473,1,0
1546170049,0,1
1546171549,0,1
1546172917,1,0
1546174582,1,0
1546176523,0,1
1546178135,0,2
1546180105,1,0
1546180955,0,2
1546182647,1,0
1546185406,1,0
1546186553,0,3
1546188675,1,0
1546193145,0,1
1546195917,1,2
1546197271,1,0
1546200946,0,1
1546202145,3,0
1546203426,2,1
1546204473,0,1
1546208072,0,1
1546209765,0,2
1546211447,0,2
1546213358,1,0
1546215294,2,1
1546216114,4,0
1546217286,1,0
1546218596,1,1
1546219716,3,0
1546221407,2,2
1546222473,3,0
1546227849,1,0
1546228998,3,0
1546233047,1,2
1546235003,1,0
1546235813,2,0
1546236883,1,0
1546240252,3,0
1546243600,0,1
1546245794,1,0
1546246618,1,2
1546247695,1,1
1546250197,1,0
1546252122,1,0
1546256593,0,1
1546257977,1,1
1546260195,0,1
1546263752,1,0
1546265671,0,1
1546270456,0,1
1546271792,2,1
1546272959,1,3
1546276248,1,2
1546280147,1,0
1546280911,1,0
1546284646,0,1
1546288648,0,1
1546290886,0,2
1546294473,1,0
1546295738,2,0
1546298077,1,0
1546299541,0,1
1546301673,1,0
1546302935,0,1
1546304206,2,0
1546306852,0,2
1546308358,0,1
1546309717,2,0
1546313325,1,3
1546316075,1,0
1546317758,0,1
1546319458,1,1
1546321356,2,0
1546323295,1,0
1546329035,1,0
1546332164,1,0
1546334095,0,1
1546335658,0,1
1546339352,1,0
1546340212,2,0
1546341289,0,1
1546342533,1,1
1546342962,0,1
1546344887,0,2
1546345713,1,0
1546349724,1,1
1546352072,0,2
1546354540,1,1
1546355688,0,1
1546357364,3,0
1546359345,1,1
1546360131,1,0
1546363714,2,0
1546365332,1,0
1546367739,0,1
1546371335,0,1
1546373751,0,2
1546375253,1,2
1546376217,0,1
1546378113,1,0
1546379448,1,0
1546384478,2,1
1546388075,2,4
1546389336,0,2
1546391678,0,2
1546393528,0,1
1546396972,1,0
1546398968,0,2
1546400557,1,0
1546401396,0,1
1546403749,1,0
1546405845,0,3
1546407771,0,2
1546408602,1,0
1546409692,0,1
1546411360,0,2
1546413366,1,0
1546415799,1,0
1546416878,0,1
1546418558,2,3
1546421499,1,1
1546422948,1,0
1546428054,0,1
1546429258,1,1
1546430208,2,0
1546435729,3,1
1546437416,2,1
1546441852,1,0
1546447354,1,0
1546449648,0,1
1546450849,0,2
1546452153,0,3
1546456490,2,0
1546457330,1,0
1546458994,3,0
1546464520,1,1
1546467273,1,0
1546470882,1,1
1546471724,2,0
1546474254,3,2
1546479780,1,1
1546483355,0,2
1546486864,0,1
1546489670,1,0
1546492254,1,1
1546497362,0,1
