DateTime,Entries,UniqueIPs
1545563679,96,96
1545564819,95,95
1545569802,96,96
1545573944,97,97
1545575312,96,96
1545579760,97,97
1545581683,98,98
1545590131,97,97
1545593735,96,96
1545596089,94,94
1545597770,93,93
1545600510,94,94
1545602999,93,93
1545604960,94,94
1545606893,93,93
1545608566,93,93
1545611323,94,94
1545613010,95,95
1545614127,97,97
1545617750,98,98
1545619356,97,97
1545621276,96,96
1545624366,97,97
1545627397,97,97
1545637252,99,99
1545639273,102,102
1545643809,101,101
1545646487,100,100
1545650089,99,99
1545654512,98,98
1545658121,99,99
1545659601,95,95
1545661731,96,96
1545664543,95,95
1545665841,93,93
1545671754,90,90
1545672937,90,90
1545677431,89,89
1545680567,90,90
1545682474,88,88
1545684154,88,88
1545687767,87,87
1545688592,86,86
1545689689,87,87
1545691354,86,86
1545692851,85,85
1545694980,84,84
1545695807,81,81
1545696884,82,82
1545697714,84,84
1545704074,83,83
1545706594,84,84
1545713820,85,85
1545714956,82,82
1545717949,80,80
1545721007,82,82
1545722927,83,83
1545725150,82,82
1545732884,94,94
1545735401,92,92
1545739012,90,90
1545741760,89,89
1545743427,88,88
1545750645,87,87
1545754523,88,88
1545758077,89,89
1545759644,91,91
1545761141,90,90
1545766111,89,89
1545767746,91,91
1545769712,92,92
1545771034,91,91
1545772247,92,92
1545772479,93,93
1545773326,92,92
1545774504,93,93
1545777072,94,94
1545778398,94,94
1545779687,94,94
1545782765,92,92
1545786650,90,90
1545788569,90,90
1545790472,92,92
1545793852,93,93
1545795656,94,94
1545797154,93,93
1545799359,92,92
1545801057,93,93
1545803794,97,97
1545805714,98,98
1545807362,98,98
1545808551,94,94
1545814603,95,95
1545815706,96,96
1545818721,97,97
1545820249,96,96
1545826465,97,97
1545828163,96,96
1545829844,94,94
1545832054,93,93
1545833676,94,94
1545835834,93,93
1545840326,92,92
1545843394,94,94
1545850604,93,93
1545854140,94,94
1545856120,93,93
1545860963,93,93
1545862492,95,95
1545867770,91,91
1545868616,92,92
1545870515,93,93
1545876112,91,91
1545877250,93,93
1545878447,91,91
1545879395,91,91
1545881759,91,91
1545884734,90,90
1545887674,89,89
1545889261,88,88
1545890778,86,86
1545892964,85,85
1545895532,86,86
1545896749,87,87
1545898474,86,86
1545902100,87,87
1545903773,80,80
1545918156,82,82
1545923429,84,84
1545924633,87,87
1545928833,86,86
1545930650,86,86
1545931866,85,85
1545933400,87,87
1545937014,89,89
1545938913,90,90
1545940140,92,92
1545941447,90,90
1545943253,91,91
1545945044,90,90
1545948106,89,89
1545949724,90,90
1545951034,89,89
1545952481,91,91
1545956105,92,92
1545957753,91,91
1545959451,93,93
1545962028,95,95
1545963356,95,95
1545964956,97,97
1545966886,99,99
1545968140,98,98
1545969345,97,97
1545970487,98,98
1545972949,101,101
1545974081,98,98
1545974935,100,100
1545975769,98,98
1545978664,96,96
1545979373,97,97
1545981354,96,96
1545982119,98,98
1545986560,97,97
1545988477,98,98
1545995456,99,99
1545997354,98,98
1546002947,98,98
1546004562,99,99
1546006469,99,99
1546008158,101,101
1546013688,100,100
1546014511,99,99
1546015371,100,100
1546016194,102,102
1546018962,101,101
1546019805,100,100
1546021723,101,101
1546026154,103,103
1546026993,102,102
1546028154,100,100
1546029341,99,99
1546032507,98,98
1546035344,98,98
1546036842,99,99
1546038892,101,101
1546040557,102,102
1546041945,104,104
1546043509,103,103
1546046154,104,104
1546049172,104,104
1546049684,105,105
1546051259,104,104
1546054972,105,105
1546055804,105,105
1546056887,104,104
1546058462,105,105
1546060259,105,105
1546062900,106,106
1546064151,107,107
1546065754,105,105
1546071251,106,106
1546073803,105,105
1546076458,106,106
1546078471,107,107
1546079313,106,106
1546083769,107,107
1546087545,109,109
1546088690,107,107
1546089813,108,108
1546094135,108,108
1546096465,109,109
1546100734,111,111
1546101753,111,111
1546103105,112,112
