DateTime,AddedIPs,RemovedIPs
1546088670,34,37
1546089799,28,2
1546090097,8,1
1546092321,38,66
1546094119,58,30
1546094547,13,3
1546095382,24,0
1546098025,69,76
1546099527,30,34
1546101739,42,31
1546103073,65,32
1546104502,72,6
1546106180,37,31
1546108102,25,19
1546109503,80,58
1546110865,59,62
1546112424,96,40
1546113926,68,59
1546115298,54,8
1546116989,74,38
1546118133,37,44
1546119740,38,43
1546120586,27,22
1546121732,15,37
1546123337,42,40
1546124934,29,37
1546126258,24,27
1546127483,28,21
1546127781,7,1
1546128859,20,36
1546129704,18,5
1546130539,17,42
1546132459,50,51
1546133725,25,32
1546134150,11,1
1546134983,23,15
1546136062,18,29
1546137179,17,34
1546139660,53,32
1546141232,30,30
1546142723,25,41
1546143259,16,1
1546144525,25,46
1546146860,42,50
1546147703,21,3
1546148546,12,42
1546150458,47,38
1546152139,27,45
1546154067,49,38
1546157171,70,79
1546158500,23,5
1546159341,21,27
1546160199,23,15
1546162100,44,44
1546163425,27,70
1546164637,42,38
1546166539,79,51
1546168458,53,106
1546170033,45,35
1546171536,39,36
1546172059,11,2
1546172901,23,4
1546175734,81,84
1546176510,21,2
1546178121,58,58
1546180098,57,39
1546180939,26,41
1546182630,33,46
1546183706,24,6
1546185387,64,46
1546186533,29,38
1546187306,20,4
1546188653,33,47
1546190065,33,24
1546191629,33,32
1546193122,28,45
1546193656,12,0
1546194506,23,1
1546195902,39,50
1546197257,48,29
1546198098,14,6
1546198942,22,44
1546199778,28,1
1546200917,24,45
1546202126,30,41
1546203410,47,2
1546204458,20,31
1546205302,16,5
1546206979,24,50
1546208057,24,30
1546208900,18,0
1546209750,16,43
1546211426,36,42
1546213341,30,48
1546215262,48,51
1546216098,20,6
1546217257,21,54
1546218581,20,22
1546219699,20,4
1546221384,27,40
1546222458,21,30
1546224215,36,32
1546226061,28,39
1546226901,20,5
1546227818,15,45
1546229665,32,45
1546230504,16,1
1546233024,63,66
1546234099,28,2
1546234963,12,38
1546235798,19,20
1546236862,17,28
1546238120,22,37
1546240221,32,25
1546242145,48,34
1546243547,24,45
1546245037,62,41
1546245773,15,2
1546246585,10,9
1546247664,29,31
1546249236,29,31
1546250179,13,5
1546251261,11,24
1546252103,11,2
1546253318,27,33
1546254857,22,35
1546256554,27,37
1546257950,21,48
1546259298,21,1
1546260177,17,45
1546261792,35,53
1546263741,43,43
1546265656,69,62
1546267346,40,40
1546268922,28,46
1546270432,38,35
1546270944,15,3
1546271778,13,13
1546272931,22,34
1546273702,15,0
1546276229,56,120
1546278142,38,23
1546278984,15,3
1546280119,33,52
