DateTime,Entries,UniqueIPs
1546088670,8315,8315
1546089799,8341,8341
1546090097,8348,8348
1546092321,8320,8320
1546094119,8348,8348
1546094547,8358,8358
1546095382,8382,8382
1546098025,8375,8375
1546099527,8371,8371
1546101739,8382,8382
1546103073,8415,8415
1546104502,8481,8481
1546106180,8487,8487
1546108102,8493,8493
1546109503,8515,8515
1546110865,8512,8512
1546112424,8568,8568
1546113926,8577,8577
1546115298,8623,8623
1546116989,8659,8659
1546118133,8652,8652
1546119740,8647,8647
1546120586,8652,8652
1546121732,8630,8630
1546123337,8632,8632
1546124934,8624,8624
1546126258,8621,8621
1546127483,8628,8628
1546127781,8634,8634
1546128859,8618,8618
1546129704,8631,8631
1546130539,8606,8606
1546132459,8605,8605
1546133725,8598,8598
1546134150,8608,8608
1546134983,8616,8616
1546136062,8605,8605
1546137179,8588,8588
1546139660,8609,8609
1546141232,8609,8609
1546142723,8593,8593
1546143259,8608,8608
1546144525,8587,8587
1546146860,8579,8579
1546147703,8597,8597
1546148546,8567,8567
1546150458,8576,8576
1546152139,8558,8558
1546154067,8569,8569
1546157171,8560,8560
1546158500,8578,8578
1546159341,8572,8572
1546160199,8580,8580
1546162100,8580,8580
1546163425,8537,8537
1546164637,8541,8541
1546166539,8569,8569
1546168458,8516,8516
1546170033,8526,8526
1546171536,8529,8529
1546172059,8538,8538
1546172901,8557,8557
1546175734,8554,8554
1546176510,8573,8573
1546178121,8573,8573
1546180098,8591,8591
1546180939,8576,8576
1546182630,8563,8563
1546183706,8581,8581
1546185387,8599,8599
1546186533,8590,8590
1546187306,8606,8606
1546188653,8592,8592
1546190065,8601,8601
1546191629,8602,8602
1546193122,8585,8585
1546193656,8597,8597
1546194506,8619,8619
1546195902,8608,8608
1546197257,8627,8627
1546198098,8635,8635
1546198942,8613,8613
1546199778,8640,8640
1546200917,8619,8619
1546202126,8608,8608
1546203410,8653,8653
1546204458,8642,8642
1546205302,8653,8653
1546206979,8627,8627
1546208057,8621,8621
1546208900,8639,8639
1546209750,8612,8612
1546211426,8606,8606
1546213341,8588,8588
1546215262,8585,8585
1546216098,8599,8599
1546217257,8566,8566
1546218581,8564,8564
1546219699,8580,8580
1546221384,8567,8567
1546222458,8558,8558
1546224215,8562,8562
1546226061,8551,8551
1546226901,8566,8566
1546227818,8536,8536
1546229665,8523,8523
1546230504,8538,8538
1546233024,8535,8535
1546234099,8561,8561
1546234963,8535,8535
1546235798,8534,8534
1546236862,8523,8523
1546238120,8508,8508
1546240221,8515,8515
1546242145,8529,8529
1546243547,8508,8508
1546245037,8529,8529
1546245773,8542,8542
1546246585,8543,8543
1546247664,8541,8541
1546249236,8539,8539
1546250179,8547,8547
1546251261,8534,8534
1546252103,8543,8543
1546253318,8537,8537
1546254857,8524,8524
1546256554,8514,8514
1546257950,8487,8487
1546259298,8507,8507
1546260177,8479,8479
1546261792,8461,8461
1546263741,8461,8461
1546265656,8468,8468
1546267346,8468,8468
1546268922,8450,8450
1546270432,8453,8453
1546270944,8465,8465
1546271778,8465,8465
1546272931,8453,8453
1546273702,8468,8468
1546276229,8404,8404
1546278142,8419,8419
1546278984,8431,8431
1546280119,8412,8412
1546280896,8429,8429
1546284624,8406,8406
1546285337,8413,8413
1546286724,8427,8427
1546288619,8466,8466
1546289782,8511,8511
1546290859,8506,8506
1546292121,8496,8496
1546293921,8510,8510
1546294458,8524,8524
1546296981,8586,8586
1546298060,8563,8563
1546299524,8570,8570
1546301658,8566,8566
1546302919,8561,8561
1546304169,8569,8569
1546305633,8575,8575
1546306824,8572,8572
1546308332,8576,8576
1546309702,8607,8607
1546311695,8600,8600
1546313303,8638,8638
1546314146,8619,8619
1546314979,8623,8623
1546316059,8622,8622
1546316902,8636,8636
1546317741,8625,8625
1546319424,8616,8616
1546321340,8616,8616
1546323267,8629,8629
1546324941,8630,8630
1546326875,8650,8650
1546329019,8666,8666
1546330465,8673,8673
1546332143,8679,8679
1546334079,8681,8681
1546335627,8680,8680
1546337129,8671,8671
1546337659,8686,8686
1546339337,8683,8683
1546340189,8685,8685
1546341268,8666,8666
1546342518,8658,8658
1546342941,8666,8666
1546344868,8677,8677
1546345698,8695,8695
1546346544,8677,8677
1546348825,8669,8669
1546350319,8673,8673
1546352059,8680,8680
1546354521,8676,8676
1546355661,8627,8627
1546357341,8632,8632
1546358180,8638,8638
1546359326,8627,8627
1546360101,8639,8639
1546361717,8658,8658
1546362921,8680,8680
1546363699,8691,8691
1546365318,8696,8696
1546367721,8671,8671
1546368979,8673,8673
1546370069,8660,8660
1546371320,8648,8648
1546373721,8658,8658
1546375229,8665,8665
1546376189,8692,8692
1546377330,8704,8704
1546378097,8719,8719
1546379429,8701,8701
1546380620,8707,8707
1546381702,8737,8737
1546384460,8739,8739
1546385298,8756,8756
1546388059,8739,8739
1546389321,8731,8731
1546390520,8744,8744
1546391662,8740,8740
1546394737,8715,8715
1546395272,8729,8729
1546396947,8722,8722
1546397784,8729,8729
1546398946,8735,8735
1546400540,8740,8740
1546401380,8751,8751
1546402536,8741,8741
1546403725,8692,8692
1546405827,8686,8686
1546407749,8703,8703
1546408580,8711,8711
1546409661,8704,8704
1546410499,8711,8711
1546411343,8699,8699
1546412179,8711,8711
1546413334,8703,8703
1546414102,8720,8720
1546415781,8677,8677
1546416860,8680,8680
1546418541,8700,8700
1546420222,8726,8726
1546421449,8745,8745
1546422925,8781,8781
1546424136,8787,8787
1546425625,8804,8804
1546426587,8814,8814
1546428025,8814,8814
1546429242,8815,8815
1546430187,8834,8834
1546431263,8822,8822
1546432395,8808,8808
1546433720,8842,8842
1546434927,8824,8824
1546435704,8841,8841
1546436543,8815,8815
1546437390,8813,8813
1546438461,8809,8809
1546439609,8787,8787
1546441827,8792,8792
1546442902,8811,8811
1546444580,8778,8778
1546445728,8801,8801
1546446500,8830,8830
1546447339,8825,8825
1546448503,8828,8828
1546449626,8862,8862
1546450821,8855,8855
1546451974,8841,8841
1546453709,8867,8867
1546456461,8883,8883
1546457306,8906,8906
1546458978,8920,8920
1546460128,8944,8944
1546461743,8955,8955
1546463658,8957,8957
1546464501,8970,8970
1546465923,8975,8975
1546467258,8963,8963
1546468535,8958,8958
1546470864,8971,8971
1546471703,8984,8984
1546473021,8962,8962
1546474232,8971,8971
1546475444,8963,8963
1546476621,8981,8981
1546476988,8988,8988
1546478135,8967,8967
1546479764,8949,8949
1546481137,8940,8940
1546483339,8943,8943
1546484187,8942,8942
1546485327,8945,8945
1546486831,8926,8926
1546488333,8915,8915
1546489631,8931,8931
1546490550,8920,8920
1546492236,8918,8918
1546494191,8907,8907
1546496059,8890,8890
1546497343,8891,8891
1546498596,8907,8907
1546500510,8905,8905
1546501642,8895,8895
1546503299,8894,8894
1546504104,8922,8922
1546504950,8922,8922
1546505785,8946,8946
1546506926,8949,8949
1546508264,8953,8953
1546509395,8983,8983
1546510528,8960,8960
1546512144,8971,8971
1546513827,8964,8964
1546515040,8948,8948
1546517666,8957,8957
1546518504,8964,8964
1546519340,8950,8950
1546521260,8957,8957
1546522537,8942,8942
1546523789,8956,8956
1546525700,8972,8972
1546526549,8961,8961
1546527384,8971,8971
1546528460,8979,8979
1546529680,8980,8980
1546531522,8965,8965
1546532901,8990,8990
1546534589,8976,8976
1546535724,8959,8959
1546537339,8951,8951
1546538177,8953,8953
1546540100,8957,8957
1546540938,8958,8958
1546542863,9060,9060
1546543700,9099,9099
1546545321,9097,9097
1546546527,9057,9057
1546547300,9060,9060
1546548147,9033,9033
1546549781,9025,9025
1546551027,9020,9020
1546552579,9022,9022
1546553668,9015,9015
1546554893,9006,9006
1546556182,9029,9029
1546557274,9009,9009
1546558948,9005,9005
1546560333,8995,8995
1546561493,9013,9013
1546563380,8997,8997
1546564464,8981,8981
1546566165,8977,8977
1546566980,8988,8988
1546568063,8979,8979
1546568906,8985,8985
1546569764,8967,8967
1546570580,8970,8970
1546571663,8958,8958
1546573350,8938,8938
1546574732,8926,8926
1546575922,8943,8943
1546576108,8946,8946
1546579854,8890,8890
1546580542,8899,8899
1546582465,8890,8890
1546584042,8903,8903
1546585836,8900,8900
1546587746,8855,8855
1546588585,8867,8867
1546589666,8834,8834
1546591345,8869,8869
1546593308,8865,8865
1546594947,8854,8854
1546595786,8851,8851
1546596928,8841,8841
1546598828,8834,8834
1546600462,8816,8816
1546601721,8783,8783
1546602922,8785,8785
1546604125,8745,8745
1546607430,8693,8693
1546608654,8688,8688
1546609353,8703,8703
1546610722,8700,8700
1546613430,8752,8752
1546614626,8734,8734
1546615699,8757,8757
1546618538,8705,8705
1546620028,8691,8691
1546620987,8681,8681
1546622058,8672,8672
1546622902,8688,8688
1546624522,8661,8661
1546625724,8658,8658
1546626507,8673,8673
1546627663,8636,8636
1546629021,8616,8616
1546630942,8609,8609
1546632321,8586,8586
1546633502,8609,8609
1546634720,8584,8584
1546636229,8551,8551
1546638139,8553,8553
1546638979,8570,8570
1546640060,8541,8541
1546641322,8527,8527
1546642518,8543,8543
1546643658,8523,8523
1546645350,8513,8513
1546646182,8507,8507
1546648097,8507,8507
1546648947,8487,8487
1546649783,8490,8490
1546650863,8483,8483
1546651707,8497,8497
1546653020,8456,8456
1546654461,8454,8454
1546656034,8431,8431
1546656988,8438,8438
1546658121,8421,8421
1546659745,8405,8405
1546662509,8422,8422
1546665325,8379,8379
1546666104,8397,8397
1546667784,8379,8379
1546668923,8373,8373
1546670423,8358,8358
1546671550,8322,8322
1546673299,8347,8347
1546674930,8321,8321
1546676127,8296,8296
1546677343,8260,8260
1546678526,8269,8269
1546679725,8249,8249
1546680504,8262,8262
1546682741,8197,8197
1546683259,8211,8211
1546684107,8225,8225
1546684938,8185,8185
1546686176,8166,8166
1546687541,8192,8192
1546689927,8161,8161
1546690467,8169,8169
1546691298,8189,8189
1546692138,8164,8164
1546693380,8136,8136
1546694898,8214,8214
1546696221,8162,8162
1546697671,8134,8134
1546698934,8071,8071
1546702237,7955,7955
1546703722,7953,7953
1546704867,7876,7876
1546706546,7724,7724
1546708203,7464,7464
1546709307,7481,7481
1546711532,6361,6361
1546712897,6390,6390
1546714218,5698,5698
1546715431,5649,5649
1546717341,5660,5660
1546718720,5640,5640
1546721542,5655,5655
1546722660,5655,5655
1546723699,5670,5670
1546725458,5659,5659
1546727303,5693,5693
1546728140,5686,5686
1546729799,5703,5703
1546731753,5710,5710
1546732586,5710,5710
1546733669,5724,5724
1546734515,5748,5748
1546735362,5750,5750
1546737022,5749,5749
1546738272,5730,5730
1546740861,5747,5747
1546741708,5752,5752
1546743385,5658,5658
1546744527,5658,5658
1546745723,5653,5653
1546746989,5672,5672
1546748127,5668,5668
1546751434,5667,5667
1546752676,5644,5644
1546754180,5647,5647
1546756108,5645,5645
1546757393,5632,5632
1546758864,5626,5626
1546760429,5607,5607
1546761785,5584,5584
1546764148,5578,5578
1546764984,5571,5571
1546766138,5566,5566
1546767741,5562,5562
1546769661,5571,5571
1546771221,5564,5564
