DateTime,AddedIPs,RemovedIPs
1546331254,9,10
1546331974,12,12
1546332695,18,13
1546333414,10,11
1546334172,6,7568
1546335095,7569,11
1546335814,16,12
1546336536,20,12
1546337533,12,10324
1546338214,10324,9
1546338935,27,19
1546339658,22,19
1546340856,37,51
1546341575,29,29
1546343495,193,82
1546344216,18,36
1546344935,26,36
1546345656,25,35
1546346374,38,17
1546347094,25,18
1546347814,38,15
1546348535,27,23
1546349254,17,16
1546349985,16,29
1546350695,18,20
1546351413,16,22
1546352137,10,46
1546352854,17,16
1546353577,15,22
1546354293,21,18
1546355013,19,17
1546355734,20,11
1546356454,19,12
1546357176,12,16
1546357894,20,19
1546358614,21,8
1546359574,19,17
1546360296,10,15
1546361014,15,9
1546361733,17,12
1546362455,11,12
1546363173,17,16
1546363894,14,12
1546364614,22,21
1546365336,18,17
1546366055,14,19
1546366774,11,12
1546367494,18,16
1546368214,6,19
1546368935,12,17
1546370375,26,44
1546371094,10,10
1546371815,13,18
1546372535,17,13
1546373494,12,42
1546374213,19,12
1546375175,13,19
1546375894,22,12
1546376615,11,18
1546377335,17,10
1546378296,17,15
1546379014,8,13
1546379736,29,14
1546381174,29,23
1546381919,16,10
1546382615,10,12
1546383336,16,4
1546384055,17,11
1546384775,16,12
1546385497,11,16
1546386213,10,6
1546387250,17,15
1546389096,34,57
1546389815,13,9
1546390535,13,16
1546391254,15,20
1546392214,23,15
1546392937,12,18
1546393687,3,16637
1546394854,16646,5
1546395576,17,24
1546396294,20,14
1546397014,16,14
1546397733,13,12
1546398694,12,9
1546399415,12,13
1546400135,9,13
1546401094,18,15
1546401784,16,15
1546402501,11,10
1546403256,28,34
1546403979,16,21
1546404718,11,11
1546405415,21,10
1546406133,19,9
1546407096,21,13
1546407813,12,5
1546408541,9,9
1546409254,14,12
1546409974,18,15
1546410694,21,9
1546411415,7,8
1546412134,19,18
1546412855,19,17
1546413574,17,9
1546414260,17,15
1546415013,12,6
1546415754,14,11
1546416719,12,7
1546417413,11,10
1546418135,16,11
1546418854,21,14
1546420053,19,22
1546420774,15,8
1546421494,21,10
