DateTime,AddedIPs,RemovedIPs
1544037844,151,139
1544044324,159,145
1544052243,152,188
1544056083,74,117
1544060406,92,108
1544062323,85,77
1544068323,118,180
1544074324,94,110
1544076244,93,94
1544082243,144,100
1544090162,75,54
1544092082,60,70
1544098812,132,100
1544104563,141,123
1544111282,77,81
1544115122,62,62
1544120882,146,113
1544125922,89,85
1544127843,84,76
1544131683,95,103
1544138172,152,165
1544144163,129,195
1544148963,78,80
1544154723,136,163
1544160727,149,187
1544168643,142,101
1544174643,69,75
1544181364,138,116
1544187123,143,110
1544195043,131,119
1544201042,151,110
1544208722,141,114
1544216643,126,147
1544224323,142,147
1544228164,85,108
1544233924,159,174
1544239683,56,79
1544246405,150,202
1544250245,146,114
1544260085,134,89
1544266083,78,57
1544272086,149,116
1544278805,164,107
1544282643,76,97
1544287683,80,74
1544291523,137,117
1544299442,154,118
1544307364,123,154
1544311205,68,73
1544315283,46,118
1544321282,141,145
1544328971,97,169
1544334963,157,185
1544341923,92,62
1544345763,62,51
1544350564,120,80
1544356322,163,101
1544362082,90,76
1544366886,153,115
1544374563,96,71
1544376486,96,93
1544381523,84,86
1544385364,140,182
1544394003,159,147
1544399763,59,122
1544401683,74,134
1544406483,138,165
1544414162,57,93
1544420408,156,187
1544422324,76,85
1544428083,162,105
1544433843,70,68
1544440564,125,92
1544448003,120,88
1544453762,62,80
1544458805,75,59
1544462642,139,104
1544469363,164,123
1544475122,98,88
1544477042,85,92
1544483042,144,194
1544486882,89,130
1544492643,98,103
1544498884,118,146
1544505124,155,206
1544512804,148,137
1544519763,144,110
1544525522,78,73
1544527443,81,60
1544531764,124,94
1544539444,84,70
1544541604,71,77
1544548084,153,108
1544554083,154,141
1544559842,102,90
1544563683,97,87
1544568722,141,193
1544574724,81,136
1544580724,154,182
1544584562,48,81
1544590563,189,206
1544596563,87,99
1544602323,161,105
1544610004,140,109
1544613843,83,55
1544617692,117,123
1544626562,139,114
1544634962,75,68
1544637123,82,80
1544639043,84,75
1544645043,163,122
1544651042,168,167
1544658962,145,215
1544663524,78,115
1544670963,131,165
1544676963,62,91
1544682002,171,189
1544685842,89,73
1544691843,128,93
1544695684,71,61
1544703850,137,112
1544710084,127,93
1544715841,121,112
1544722082,90,67
1544727123,169,124
1544734082,88,83
1544736003,87,86
1544741763,128,178
1544749443,115,195
1544757603,112,128
1544763843,153,184
1544769846,149,157
1544778963,79,60
1544782082,141,106
1544787843,126,110
1544796981,78,62
1544799123,77,74
1544802964,136,99
1544809682,89,78
1544813763,92,77
1544815924,91,82
1544818084,77,78
1544824322,134,157
1544830324,69,96
1544836089,123,155
1544841842,111,171
1544849762,148,202
1544856482,72,86
1544860563,146,91
1544866562,59,60
1544872323,153,120
1544880243,172,105
1544884323,148,112
1544892244,82,69
1544894165,85,76
1544899923,134,129
1544908084,87,77
1544910243,150,153
1544918163,64,103
1544920083,73,101
1544927043,136,176
1544930883,56,75
1544935682,154,238
1544943363,126,127
1544949604,66,54
