DateTime,Entries,UniqueIPs
1545729401,1212,1256
1545731295,1223,1266
1545733209,1213,1254
1545735128,1219,1261
1545737051,1229,1270
1545738987,1228,1270
1545740907,1240,1282
1545742819,1225,1267
1545744734,1227,1265
1545746675,1217,1255
1545748569,1218,1257
1545750493,1209,1248
1545752412,1198,1237
1545754379,1193,1232
1545756281,1190,1229
1545758180,1200,1237
1545760096,1196,1233
1545762017,1195,1233
1545763931,1204,1240
1545765851,1216,1253
1545768022,1216,1252
1545769941,1216,1249
1545771884,1221,1252
1545774015,1195,1226
1545775958,1185,1216
1545777848,1215,1246
1545779769,1214,1248
1545781969,1181,1215
1545783855,1178,1215
1545785772,1175,1210
1545789639,1136,1170
1545791538,1154,1188
1545793485,1113,1147
1545795371,1122,1156
1545797574,1127,1164
1545799479,1125,1162
1545803296,1138,1172
1545805221,1140,1175
1545807146,1128,1163
1545809049,1141,1177
1545811218,1129,1164
1545813137,1135,1170
1545815082,1130,1164
1545816997,1124,1156
1545819141,1111,1143
1545821067,1111,1142
1545823225,1104,1135
1545825158,1096,1128
1545827050,1095,1126
1545828986,1092,1122
1545830888,1102,1132
1545832822,1101,1129
1545834761,1116,1145
1545836651,1105,1134
1545838833,1088,1117
1545840776,1110,1142
1545842652,1122,1150
1545844572,1118,1147
1545846735,1088,1118
1545848671,1091,1120
1545850593,1076,1105
1545852498,1051,1080
1545854418,1063,1096
1545856341,1052,1084
1545858254,1040,1072
1545860191,1035,1069
1545862095,1032,1067
1545865929,1013,1049
1545867872,1018,1055
1545870043,1009,1046
1545871934,999,1034
1545874096,997,1030
1545876269,988,1021
1545878191,984,1016
1545880094,983,1014
1545882255,973,1003
1545884060,982,1013
1545885870,1005,1038
1545887771,1004,1041
1545889935,1000,1037
1545891851,1015,1052
1545893786,1023,1060
1545896026,1017,1054
1545897856,1028,1066
1545899791,1022,1059
1545901691,1029,1067
1545903609,1031,1068
1545905556,1036,1073
1545907694,1041,1078
1545909630,1045,1082
1545911536,1060,1097
1545913475,1052,1090
1545915363,1061,1099
1545917538,1053,1095
