DateTime,AddedIPs,RemovedIPs
1545729401,6,18
1545731295,17,18
1545733209,10,22
1545735128,6,18
1545737051,9,0
1545738987,5,18
1545740907,7,22
1545742819,6,13
1545744734,10,15
1545746675,7,16
1545748569,10,16
1545750493,4,15
1545752412,10,15
1545754379,14,16
1545756281,20,18
1545758180,20,18
1545760096,16,18
1545762017,20,19
1545763931,19,9
1545765851,24,13
1545768022,14,23
1545769941,16,16
1545771884,21,15
1545774015,15,16
1545775958,8,20
1545777848,20,22
1545779769,14,23
1545781969,14,0
1545783855,17,14
1545785772,14,16
1545789639,12,41
1545791538,12,0
1545793485,5,9
1545795371,18,14
1545797574,16,11
1545799479,7,20
1545803296,17,37
1545805221,17,24
1545807146,15,0
1545809049,31,19
1545811218,8,48
1545813137,21,0
1545815082,13,25
1545816997,7,18
1545819141,11,13
1545821067,11,5
1545823225,5,16
1545825158,5,22
1545827050,4,0
1545828986,6,31
1545830888,12,27
1545832822,8,27
1545834761,21,28
1545836651,6,22
1545838833,9,47
1545840776,17,30
1545842652,21,0
1545844572,22,22
1545846735,13,15
1545848671,15,47
1545850593,9,28
1545852498,12,34
1545854418,9,26
1545856341,9,0
1545858254,6,22
1545860191,16,43
1545862095,8,0
1545865929,17,31
1545867872,16,18
1545870043,9,10
1545871934,11,16
1545874096,11,14
1545876269,7,16
1545878191,8,15
1545880094,8,9
1545882255,9,23
1545884060,19,0
1545885870,12,15
1545887771,13,7
1545889935,14,18
1545891851,25,12
1545893786,16,28
1545896026,23,37
1545897856,15,0
1545899791,13,26
1545901691,16,0
1545903609,8,9
1545905556,9,18
1545907694,13,11
1545909630,7,9
1545911536,13,6
1545913475,1,0
1545915363,3,11
1545917538,15,24
1545919469,12,17
1545923320,16,42
1545925229,25,7
1545927400,23,12
1545929296,22,13
1545931219,10,17
1545933145,19,24
1545935047,24,19
1545936985,15,21
1545938884,21,25
1545940816,12,10
1545942759,14,9
1545944919,10,6
1545946809,10,0
1545948737,12,16
1545950678,10,10
1545952581,16,19
1545954514,15,23
1545956428,21,14
1545958334,11,12
1545960272,14,12
1545962431,21,5
1545964353,21,8
1545966276,18,9
1545968460,9,10
1545970345,19,16
1545972274,21,26
1545974171,16,13
1545976358,26,13
1545978252,24,18
1545980436,19,23
1545982390,20,15
1545984252,26,18
1545986166,16,20
1545988358,19,19
1545990251,14,17
1545992192,13,18
1545994333,14,9
1545996252,7,0
1545998187,19,0
1546000092,4,22
1546002764,5,10
1546004675,14,20
1546008739,24,19
1546010650,13,0
1546012836,10,30
1546014740,14,17
1546016670,15,12
1546018570,18,6
1546020739,18,9
1546022656,17,13
1546024601,19,29
1546026493,29,17
1546028411,14,12
1546030353,18,24
1546032281,18,13
1546034166,25,13
1546036117,20,15
1546038036,15,26
1546039956,16,24
1546041853,12,20
1546044023,16,22
1546046177,5,27
1546050254,15,34
1546052171,15,21
1546054339,10,21
1546056273,16,16
1546058425,12,29
1546060354,23,20
1546062257,23,14
1546064438,26,14
1546066358,27,14
1546068255,21,19
1546070443,14,22
1546072337,15,24
1546074266,11,26
1546076187,18,10
1546078124,12,13
1546080032,6,11
1546081943,7,12
1546083870,13,15
1546085779,10,22
1546087938,11,14
1546089855,15,17
1546091786,10,20
1546093688,27,14
1546095635,18,34
1546097552,17,13
1546101399,14,44
1546103535,17,15
1546105449,29,23
1546107389,20,16
1546109532,23,26
1546111456,27,24
1546113386,18,18
1546115290,22,24
1546117237,13,21
1546119134,19,24
1546121056,25,9
1546123001,17,17
1546125156,22,14
1546127049,18,27
1546129239,33,17
1546131133,25,14
1546133294,21,16
1546135241,18,21
1546139074,23,50
1546140968,20,13
1546143182,19,21
1546145078,22,20
1546146980,20,15
1546149158,22,16
1546151052,30,14
1546152997,15,18
1546154891,12,21
1546156857,17,20
1546158757,21,25
1546162838,13,24
1546164733,15,30
1546166676,5,6
1546168576,8,7
1546170499,4,2
1546172420,4,9
1546174356,13,11
1546176289,12,18
1546180361,20,30
1546182261,23,26
1546184193,14,22
1546186381,18,25
1546188250,23,24
1546192338,26,44
1546194530,17,19
1546196424,16,21
1546198343,14,15
1546200272,10,18
1546204341,25,34
1546208192,24,39
1546210090,19,9
