DateTime,AddedIPs,RemovedIPs
1541307911,3,5
1541319021,1,7
1541329758,2,2
1541340681,3,4
1541351731,3,10
1541362404,4,2
1541373049,3,10
1541384100,1,2
1541394179,1,3
1541405170,3,1
1541416070,2,5
1541427139,3,3
1541438041,2,7
1541448569,1,9
1541458891,3,6
1541469876,4,5
1541480168,0,6
1541490210,1,1
1541501012,1,0
1541511786,3,3
1541522910,2,2
1541533533,4,4
1541544535,1,2
1541555437,1,3
1541566329,4,4
1541577164,3,7
1541587850,1,2
1541598951,4,1
1541609956,2,2
1541621041,7,4
1541632188,6,8
1541642237,2,3
1541653330,1,3
1541664482,1,7
1541675415,2,5
1541686109,2,3
1541696785,0,2
1541707656,3,3
1541717714,4,5
1541728719,1,5
1541738881,1,4
1541749518,0,2
1541759596,1,7
1541770524,3,4
1541781157,4,3
1541792065,4,2
1541803157,1,2
1541813955,1,1
1541823291,0,5
1541833268,2,3
1541842958,1,3
1541854065,0,6
1541864742,1,1
1541875754,1,5
1541884719,1,5
1541895381,1,2
1541905630,1,4
1541916214,1,0
1541925996,3,3
1541936994,3,2
1541946601,1,2
1541957727,0,5
1541968719,0,2
1541979839,1,3
1541990734,3,3
1542001570,3,1
1542012177,0,2
1542023130,1,1
1542033331,0,1
1542043964,6,2
1542055436,2,0
1542066432,2,5
1542077166,3,1
1542087344,2,2
1542097279,2,2
1542108171,1,4
1542119108,1,4
1542129657,2,2
1542140268,1,2
1542151344,1,1
1542160878,4,1
1542171581,2,1
1542182656,1,1
1542193324,1,3
1542204204,2,2
1542215780,1,3
1542226991,1,3
1542238221,2,5
1542248942,1,2
1542259821,2,3
1542269797,2,5
1542279391,2,1
1542290023,1,1
1542300661,1,0
1542310902,3,3
1542320454,0,2
1542342007,1,4
1542352787,1,4
1542364047,1,1
1542374788,3,4
1542385401,2,4
1542396318,4,5
1542407437,3,1
1542418414,2,2
1542429192,4,5
1542440109,2,2
1542451168,0,6
1542462229,4,3
1542472592,2,3
1542483424,0,8
1542494237,0,5
1542503612,4,2
1542514629,1,4
1542525756,3,3
1542536278,2,7
1542546371,1,1
1542557487,3,5
1542568204,1,4
1542579168,1,4
1542590137,4,3
1542601470,1,4
1542612333,1,2
1542623126,0,7
1542633971,1,4
1542644149,4,5
1542655448,4,3
1542666253,1,2
1542677306,1,1
1542688140,2,4
1542699009,0,4
1542709707,3,3
1542720622,1,3
1542731546,4,4
1542742358,1,1
1542753275,2,3
1542764141,1,5
1542773498,1,5
1542784401,2,2
1542795098,3,1
1542805785,3,1
1542816430,1,2
1542827198,1,5
1542836966,1,3
1542846477,0,3
1542856654,3,7
1542867362,2,0
1542878092,0,7
