DateTime,Entries,UniqueIPs
1545703219,6033,6033
1545704182,6196,6196
1545705143,6375,6375
1545706094,6552,6552
1545707080,6741,6741
1545708010,6926,6926
1545710165,6900,6900
1545711648,7098,7098
1545713312,7300,7300
1545714253,7458,7458
1545715223,7584,7584
1545716193,7770,7770
1545717164,7679,7679
1545718336,7827,7827
1545719297,7985,7985
1545720264,8130,8130
1545721224,8292,8292
1545722183,8442,8442
1545723194,8588,8588
1545724838,8718,8718
1545725785,8893,8893
1545726739,9010,9010
1545728416,8967,8967
1545729404,8964,8964
1545730356,9110,9110
1545731297,9040,9040
1545732262,9103,9103
1545733213,9442,9442
1545734188,9613,9613
1545735136,9774,9774
1545736124,9946,9946
1545737054,10156,10156
1545738013,10335,10335
1545739966,10561,10561
1545740909,10707,10707
1545741875,10706,10706
1545742822,10847,10847
1545743783,10858,10858
1545744737,11012,11012
1545746428,10876,10876
1545747646,11103,11103
1545748572,11266,11266
1545749534,11423,11423
1545750495,11357,11357
1545751454,11493,11493
1545752415,11636,11636
1545753883,11638,11638
1545754833,11772,11772
1545755779,11884,11884
1545761563,11819,11819
1545767049,12098,12098
1545768025,12245,12245
1545768981,12391,12391
1545769944,12545,12545
1545770891,12683,12683
1545771899,12839,12839
1545772845,12988,12988
1545774017,13132,13132
1545775004,13260,13260
1545775967,13246,13246
1545777137,13260,13260
1545778133,13395,13395
1545779062,13425,13425
1545780011,13557,13557
1545780980,13710,13710
1545781977,13738,13738
1545782904,13890,13890
1545783863,14024,14024
1545784820,14174,14174
1545785781,14309,14309
1545786742,14442,14442
1545787717,14546,14546
1545788679,14438,14438
1545789642,14459,14459
1545790582,14609,14609
1545794444,14239,14239
1545797062,14344,14344
1545798017,14522,14522
1545798989,14531,14531
1545800420,14537,14537
1545801388,14563,14563
1545802340,14570,14570
1545803299,14583,14583
1545804262,14562,14562
1545805225,14597,14597
1545806446,14611,14611
1545809318,14402,14402
1545810252,14414,14414
1545811321,14445,14445
1545812413,14472,14472
1545813638,14511,14511
1545814596,14679,14679
1545815539,14699,14699
1545816489,14710,14710
1545817455,14729,14729
1545819144,14497,14497
1545820816,14202,14202
1545822763,14000,14000
1545824650,13789,13789
1545827556,13675,13675
1545838366,12497,12497
1545840276,12515,12515
1545841708,12404,12404
1545843403,12356,12356
1545845562,12541,12541
1545846739,12714,12714
1545848409,12702,12702
1545850116,12891,12891
1545851537,13048,13048
1545853208,13211,13211
1545854914,13108,13108
1545856586,12974,12974
1545858756,12840,12840
1545864039,12355,12355
1545869561,11556,11556
1545871937,11410,11410
1545873636,11249,11249
1545875804,11125,11125
1545881798,10614,10614
1545883478,10602,10602
1545884448,10626,10626
1545886595,10625,10625
1545889477,10321,10321
1545892357,9979,9979
1545895476,9994,9994
1545898465,9678,9678
1545902675,9208,9208
1545904124,9001,9001
1545905060,9170,9170
1545906737,9183,9183
1545907697,9203,9203
1545911084,9023,9023
1545912083,9250,9250
1545913208,9526,9526
1545914193,9351,9351
1545915129,9521,9521
1545916576,9691,9691
1545917541,9881,9881
1545918493,10055,10055
1545920913,10244,10244
1545922358,10441,10441
1545923328,10600,10600
1545924517,10767,10767
1545925454,10761,10761
1545926429,10940,10940
1545927403,10962,10962
1545928337,10929,10929
1545929299,11111,11111
1545930766,11075,11075
1545931939,11240,11240
1545932895,11251,11251
