DateTime,AddedIPs,RemovedIPs
1545703219,85,87
1545704182,69,4
1545705143,71,108
1545706094,82,2
1545707080,66,73
1545708010,87,93
1545710165,107,82
1545711648,115,93
1545713312,100,72
1545714253,78,59
1545715223,51,108
1545716193,95,87
1545717164,116,101
1545718336,65,2
1545719297,67,73
1545720264,80,105
1545721224,95,102
1545722183,76,4
1545723194,79,97
1545724838,75,194
1545725785,87,1
1545726739,58,94
1545728416,75,3
1545729404,78,99
1545730356,81,95
1545731297,53,2
1545732262,178,79
1545733213,182,9
1545734188,112,90
1545735136,95,2
1545736124,111,2
1545737054,132,137
1545738013,113,1
1545739966,140,2
1545740909,95,147
1545741875,84,2
1545742822,77,1
1545743783,100,1
1545744737,93,95
1545746428,104,0
1545747646,130,59
1545748572,106,77
1545749534,97,70
1545750495,89,72
1545751454,78,6
1545752415,73,76
1545753883,96,78
1545754833,77,71
1545755779,68,69
1545761563,223,470
1545767049,223,229
1545768025,79,73
1545768981,84,2
1545769944,88,96
1545770891,91,76
1545771899,102,2
1545772845,95,84
1545774017,92,195
1545775004,90,1
1545775967,97,98
1545777137,79,0
1545778133,82,65
1545779062,109,65
1545780011,80,71
1545780980,111,80
1545781977,120,79
1545782904,102,117
1545783863,85,1
1545784820,95,80
1545785781,93,77
1545786742,93,100
1545787717,63,2
1545788679,82,96
1545789642,88,4
1545790582,105,98
1545794444,220,171
1545797062,190,141
1545798017,116,96
1545798989,111,2
1545800420,110,91
1545801388,92,3
1545802340,68,81
1545803299,106,90
1545804262,104,73
1545805225,92,4
1545806446,102,79
1545809318,137,257
1545810252,87,7
1545811321,86,84
1545812413,95,1
1545813638,87,79
1545814596,108,99
1545815539,73,98
1545816489,73,109
1545817455,95,3
1545819144,93,107
1545820816,85,89
1545822763,90,118
1545824650,122,97
1545827556,158,221
1545838366,306,488
1545840276,100,3
1545841708,117,10
1545843403,118,107
1545845562,133,125
1545846739,104,2
1545848409,144,107
1545850116,124,4
1545851537,98,99
1545853208,93,2
1545854914,114,169
1545856586,113,110
1545858756,111,128
1545864039,174,226
1545869561,178,291
1545871937,123,98
1545873636,76,107
1545875804,105,94
1545881798,144,368
1545883478,102,102
1545884448,116,115
1545886595,92,99
1545889477,109,220
1545892357,114,215
1545895476,143,363
1545898465,125,232
1545902675,171,331
1545904124,109,240
1545905060,98,3
1545906737,111,130
1545907697,114,5
1545911084,130,97
1545912083,134,115
1545913208,143,6
1545914193,92,6
1545915129,93,1
1545916576,104,133
1545917541,93,1
1545918493,104,104
1545920913,112,109
1545922358,106,4
1545923328,75,115
1545924517,88,3
1545925454,91,0
1545926429,103,114
1545927403,100,2
1545928337,74,3
1545929299,92,93
1545930766,88,4
1545931939,88,160
1545932895,77,3
1545933887,69,3
1545934809,101,11
1545935770,84,6
1545936731,68,1
1545937740,109,2
1545939875,94,84
1545940819,70,2
1545941778,80,7
1545943470,85,110
1545944438,84,3
1545945403,88,5
1545946349,83,2
1545947336,98,87
1545948290,69,3
1545949240,103,81
1545950180,67,7
1545951133,74,79
1545952118,79,4
1545953081,85,99
1545954052,83,3
1545954971,75,103
1545955942,101,4
1545956923,85,6
1545957899,87,120
1545958839,80,3
1545959801,62,1
1545960737,98,81
1545961695,94,3
1545962924,96,85
1545963850,94,112
1545964811,82,3
1545965791,72,1
1545966760,76,145
1545967934,76,2
1545968899,88,73
1545969877,98,98
1545971420,91,3
1545972744,71,170
1545973696,58,2
1545974671,78,3
1545975611,67,2
1545976843,63,2
1545982400,227,83
1545987857,188,181
1546001794,353,342
1546012839,251,357
1546022203,208,576
1546023876,100,4
1546025543,122,3
1546027478,107,3
1546028915,88,110
1546031068,92,170
1546033463,121,5
1546034412,64,2
1546036813,88,3
1546038975,86,212
1546042118,140,4
1546045714,159,127
1546047164,93,148
1546048347,89,6
1546050753,112,132
1546053866,115,124
1546056746,94,90
1546059027,110,149
1546060824,101,3
1546062758,130,220
1546064441,98,2
1546065397,79,3
1546067793,96,5
1546069477,84,3
1546070452,90,6
1546072340,124,159
1546074759,115,77
1546077132,90,236
1546079310,107,76
1546081946,96,73
1546083879,100,140
1546087474,109,289
1546088919,96,73
1546091080,123,198
1546096116,132,165
1546098992,119,261
1546100675,100,5
1546102573,96,2
1546104746,94,0
1546105950,79,75
1546108357,126,69
1546110026,97,142
1546111459,95,116
1546113140,111,4
1546115555,110,4
1546116731,63,3
1546117719,100,61
1546119439,88,76
1546120592,93,156
1546122033,119,134
1546124204,89,6
1546125876,73,4
1546127582,100,193
1546129250,109,5
1546130681,105,0
1546132848,134,6
1546133810,94,132
1546135934,91,5
1546138352,145,157
1546141469,116,238
1546143186,96,71
1546145559,98,74
1546146524,74,56
1546147475,69,65
1546161162,311,882
1546170039,231,582
1546171957,101,146
1546175074,118,202
1546176298,89,62
1546177940,102,156
1546180364,121,222
1546181789,105,82
1546183470,93,74
1546185165,89,179
1546187539,92,128
1546188758,86,72
1546191160,110,151
1546193052,93,145
1546194037,102,79
1546196188,103,166
1546198574,119,240
1546199550,73,86
1546201706,128,141
1546203875,116,175
1546206276,117,152
1546207214,96,77
1546210355,151,191
1546212249,97,74
1546213946,93,130
1546215649,95,155
1546218730,126,199
1546220201,87,5
1546221891,101,5
1546223555,133,4
1546226670,136,3
1546232919,214,119
1546234596,105,6
1546241797,188,190
1546245389,151,97
1546246838,128,8
1546251157,193,343
1546254757,121,1
1546255938,101,5
1546257621,109,2
1546260038,117,87
1546265081,145,253
1546266516,133,4
1546267984,131,142
1546269850,99,6
1546271530,105,6
1546273962,96,107
1546275620,73,0
1546277287,90,236
1546278984,98,4
1546279932,86,5
1546282819,112,5
1546284487,92,4
1546295568,286,140
1546296737,76,1
1546297713,83,85
1546299380,107,2
1546300838,79,100
1546302752,119,5
1546304453,116,5
1546306089,88,3
1546309000,182,260
1546311887,160,219
1546314035,118,96
1546315484,126,84
1546316921,87,101
1546318570,113,98
1546320269,131,136
1546321244,82,84
1546322659,98,107
1546326759,147,317
1546328649,117,158
1546330341,109,62
1546333478,126,169
