DateTime,AddedIPs,RemovedIPs
1545703219,361,362
1545704182,363,366
1545705143,367,360
1545706094,362,366
1545707080,378,372
1545708010,393,397
1545710165,403,407
1545711648,362,367
1545713312,387,380
1545714253,377,377
1545715223,380,382
1545716193,352,352
1545717164,361,355
1545718336,405,407
1545719297,382,388
1545720264,387,382
1545721224,372,378
1545722183,345,349
1545723194,362,348
1545724838,348,349
1545725785,363,366
1545726739,366,368
1545728416,351,354
1545729404,366,361
1545730356,360,367
1545731297,362,353
1545732262,485,487
1545733213,514,513
1545734188,507,508
1545735136,351,355
1545736124,387,391
1545737054,495,481
1545738013,453,465
1545739966,439,428
1545740909,405,405
1545741875,394,403
1545742822,361,357
1545743783,392,393
1545744737,384,382
1545746428,400,402
1545747646,452,446
1545748572,481,483
1545749534,368,370
1545750495,344,341
1545751454,352,352
1545752415,391,393
1545753883,423,422
1545754833,382,379
1545755779,374,378
1545761563,485,486
1545767049,510,507
1545768025,386,389
1545768981,384,383
1545769944,385,386
1545770891,373,374
1545771899,395,395
1545772845,422,426
1545774017,398,391
1545775004,366,366
1545775967,372,373
1545777137,363,362
1545778133,346,347
1545779062,398,401
1545780011,401,399
1545780980,374,373
1545781977,382,382
1545782904,416,414
1545783863,414,413
1545784820,355,359
1545785781,342,340
1545786742,377,374
1545787717,375,376
1545788679,365,364
1545789642,370,369
1545790582,360,365
1545794444,512,519
1545797062,489,499
1545798017,416,419
1545798989,391,408
1545800420,375,358
1545801388,408,404
1545802340,377,386
1545803299,380,376
1545804262,364,375
1545805225,399,390
1545806446,415,420
1545809318,440,441
1545810252,388,382
1545811321,364,364
1545812413,383,368
1545813638,368,381
1545814596,392,387
1545815539,385,388
1545816489,377,369
1545817455,436,431
1545819144,429,430
1545820816,339,340
1545822763,376,376
1545824650,396,391
1545827556,425,427
1545838366,561,563
1545840276,391,387
1545841708,384,387
1545843403,409,404
1545845562,407,416
1545846739,399,390
1545848409,472,476
1545850116,453,456
1545851537,397,389
1545853208,400,402
1545854914,425,419
1545856586,421,423
1545858756,431,427
1545864039,482,489
1545869561,453,454
1545871937,406,406
1545873636,412,408
1545875804,401,407
1545881798,431,434
1545883478,412,413
1545884448,451,447
1545886595,446,452
1545889477,391,392
1545892357,407,407
1545895476,443,441
1545898465,451,457
1545902675,454,447
1545904124,398,406
1545905060,372,375
1545906737,404,392
1545907697,396,400
1545911084,445,451
1545912083,425,417
1545913208,476,473
1545914193,456,455
1545915129,391,396
1545916576,387,385
1545917541,398,394
1545918493,391,388
1545920913,399,407
1545922358,399,394
1545923328,396,394
1545924517,407,407
1545925454,390,396
1545926429,396,391
1545927403,433,436
1545928337,443,439
1545929299,405,408
1545930766,398,399
1545931939,396,396
1545932895,391,387
1545933887,371,368
1545934809,439,436
1545935770,442,448
1545936731,399,404
1545937740,446,439
