DateTime,AddedIPs,RemovedIPs
1545702254,7,20
1545703217,11,16
1545704181,12,31
1545705142,6,18
1545706093,11,11
1545707078,10,16
1545708008,12,9
1545710164,30,31
1545711647,33,44
1545713311,23,39
1545714252,15,21
1545715222,13,12
1545716192,18,20
1545717162,9,14
1545718334,16,12
1545719296,13,35
1545720263,15,12
1545721223,23,18
1545722182,21,19
1545723193,16,14
1545724837,13,17
1545725784,9,28
1545726738,11,18
1545728414,5,36
1545729403,13,23
1545730355,9,21
1545731296,4,22
1545732261,21,16
1545733211,37,16
1545734187,39,22
1545735135,16,18
1545736123,17,16
1545737053,33,18
1545738011,26,16
1545739964,57,25
1545740908,26,16
1545741874,30,16
1545742821,17,23
1545743782,35,18
1545744736,23,19
1545746427,47,26
1545747645,21,22
1545748571,45,17
1545749533,35,16
1545750494,17,24
1545751453,13,9
1545752414,18,11
1545753882,28,11
1545754831,16,15
1545755778,26,16
1545761562,133,73
1545767048,144,77
1545768024,30,9
1545768980,22,6
1545769943,20,17
1545770890,19,13
1545771898,27,17
1545772844,23,12
1545774016,21,10
1545775003,27,10
1545775965,23,6
1545777136,23,8
1545778132,14,14
1545779061,24,22
1545780010,24,17
1545780979,18,15
1545781976,30,23
1545782903,15,32
1545783862,18,12
1545784819,18,29
1545785779,15,19
1545786740,17,26
1545787716,11,19
1545788678,19,12
1545789640,21,27
1545790581,13,14
1545794443,119,37
1545797061,91,40
1545798016,46,18
1545798988,46,17
1545800419,27,14
1545801387,33,18
1545802339,26,8
1545803298,17,12
1545804261,14,8
1545805223,17,14
1545806444,32,35
1545809317,50,22
1545810251,10,11
1545811319,20,10
1545812411,18,10
1545813636,19,34
1545814595,23,17
1545815538,20,11
1545816488,11,9
1545817453,26,16
1545819143,30,13
1545820815,23,21
1545822762,41,22
1545824649,32,24
1545827555,65,36
1545838365,200,122
1545840274,26,16
1545841707,25,24
1545843402,24,7
1545845561,32,21
1545846738,7,0
1545848408,28,22
1545850115,22,21
1545851536,28,20
1545853207,25,9
1545854913,17,9
1545856585,25,7
1545858755,28,27
1545864038,94,62
1545869559,74,116
1545871936,24,92
1545873635,24,72
1545875803,32,43
1545881797,62,106
1545883477,14,14
1545884447,14,23
1545886594,26,27
1545889476,21,45
1545892356,38,40
1545895474,49,65
1545898464,41,45
1545902674,58,88
1545904123,23,23
1545905059,23,9
1545906736,33,29
1545907696,16,16
1545911083,46,48
1545912082,14,12
1545913206,27,17
1545914192,11,37
1545915128,19,0
1545916575,15,16
1545917540,12,25
1545918491,5,33
1545920912,21,85
1545922357,11,32
1545923327,8,25
1545924516,19,24
1545925453,14,24
1545926427,11,18
1545927402,11,31
1545928336,11,26
1545929298,10,20
1545930765,19,16
1545931938,14,41
1545932894,10,18
1545933886,15,23
1545934808,9,0
1545935769,6,17
1545936730,10,23
1545937739,18,14
1545939874,24,46
1545940818,11,0
1545941777,12,19
1545943469,10,33
1545944437,16,16
1545945401,20,20
1545946348,15,15
1545947334,21,15
1545948289,5,19
1545949239,14,19
1545950179,10,21
1545951132,12,13
1545952117,12,28
1545953078,16,18
1545954051,20,20
1545954970,12,29
1545955940,23,36
1545956922,27,25
1545957898,16,33
1545958838,15,30
1545959800,11,31
1545960736,34,33
1545961694,41,17
1545962923,35,21
1545963849,18,24
1545964810,16,24
1545965790,16,26
1545966759,11,21
1545967933,14,24
1545968897,17,25
1545969876,12,15
1545971419,24,31
1545972743,23,35
1545973695,12,20
1545974670,15,17
1545975609,15,15
1545976841,11,15
1545982398,113,112
1545987856,106,108
1546001793,268,290
1546012838,164,159
1546022201,114,115
1546023875,24,31
1546025542,42,19
1546027476,36,31
1546028913,19,19
1546031067,27,46
1546033462,44,42
1546034411,13,0
1546036812,30,45
1546038973,25,39
1546042117,48,135
1546045713,91,157
1546047163,48,69
1546048346,25,19
1546050752,44,51
1546053865,46,67
1546056745,40,37
1546059026,36,56
1546060823,20,41
1546062757,40,25
1546064439,29,28
1546065395,12,17
1546067792,39,67
1546069475,24,34
1546070451,18,25
1546072339,26,33
1546074758,43,43
1546077131,29,51
1546079309,24,58
1546081945,42,44
1546083878,24,34
1546087472,45,52
1546088918,23,16
1546091079,30,33
1546096115,62,59
1546098991,44,44
1546100673,19,30
1546102572,27,24
1546104745,25,35
1546105949,18,12
1546108356,39,39
1546110025,23,5
1546111457,21,27
1546113139,25,5
1546115554,29,25
1546116730,10,19
1546117718,15,15
1546119438,20,24
1546120591,18,11
1546122032,29,24
1546124204,25,26
1546125875,23,23
1546127581,28,26
1546129248,40,66
1546130680,44,37
1546132847,57,70
1546133809,29,32
1546135933,38,47
1546138351,54,60
1546141468,45,64
1546143184,20,21
1546145558,39,33
1546146523,10,8
1546147474,11,10
1546161160,215,215
1546170038,142,141
1546171956,39,20
1546175072,43,45
1546176297,20,15
1546177939,24,15
1546180362,38,22
1546181788,16,28
1546183470,20,10
1546185164,32,19
1546187537,24,36
1546188757,19,14
1546191159,31,22
1546193051,14,19
1546194035,17,6
1546196187,31,30
1546198573,32,16
1546199549,11,6
1546201705,28,30
1546203874,28,15
1546206275,31,31
1546207213,8,29
1546210354,52,34
1546212248,26,27
1546213945,19,25
1546215648,32,74
1546218729,64,104
1546220200,20,36
1546221890,25,54
1546223554,34,38
1546226669,53,42
1546232918,136,93
1546234595,28,11
1546241795,113,118
1546245388,69,35
1546246837,23,31
1546251156,97,83
1546254756,60,42
1546255937,17,10
1546257620,38,34
1546260037,40,30
1546265080,75,68
1546266515,27,7
1546267983,28,23
1546269849,27,14
1546271529,19,7
1546273961,38,31
1546275618,16,33
1546277286,18,7
1546278983,25,22
1546279931,13,20
1546282818,38,34
1546284486,19,27
1546295566,196,130
1546296736,23,11
1546297712,22,11
1546299379,26,15
1546300837,23,51
1546302751,39,66
1546304452,30,73
1546306088,29,75
1546308999,101,246
1546311886,76,76
1546314034,47,38
1546315483,29,23
1546316920,21,38
1546318569,35,28
