DateTime,AddedIPs,RemovedIPs
1545702254,7,7
1545703217,11,11
1545704181,12,12
1545705142,6,6
1545706093,11,11
1545707078,10,10
1545708008,12,12
1545710164,30,30
1545711647,33,33
1545713311,23,23
1545714252,15,15
1545715222,13,13
1545716192,18,18
1545717162,9,9
1545718334,16,16
1545719296,13,13
1545720263,15,15
1545721223,23,23
1545722182,21,21
1545723193,16,16
1545724837,13,13
1545725784,9,9
1545726738,11,11
1545728414,5,5
1545729403,13,13
1545730355,9,9
1545731296,4,4
1545732261,21,21
1545733211,37,37
1545734187,39,39
1545735135,16,16
1545736123,17,17
1545737053,33,33
1545738011,26,26
1545739964,57,57
1545740908,26,26
1545741874,30,30
1545742821,17,17
1545743782,35,35
1545744736,23,23
1545746427,47,47
1545747645,21,21
1545748571,45,45
1545749533,35,35
1545750494,17,17
1545751453,13,13
1545752414,18,18
1545753882,28,28
1545754831,16,16
1545755778,26,26
1545761562,133,133
1545767048,144,144
1545768024,30,30
1545768980,22,22
1545769943,20,20
1545770890,19,19
1545771898,27,27
1545772844,23,23
1545774016,21,21
1545775003,27,27
1545775965,23,23
1545777136,23,23
1545778132,14,14
1545779061,24,24
1545780010,24,24
1545780979,18,18
1545781976,30,30
1545782903,15,15
1545783862,18,18
1545784819,18,18
1545785779,15,15
1545786740,17,17
1545787716,11,11
1545788678,19,19
1545789640,21,21
1545790581,13,13
1545794443,119,119
1545797061,91,91
1545798016,46,46
1545798988,46,46
1545800419,27,27
1545801387,33,33
1545802339,26,26
1545803298,17,17
1545804261,14,14
1545805223,17,17
1545806444,32,32
1545809317,50,50
1545810251,10,10
1545811319,20,20
1545812411,18,18
1545813636,19,19
1545814595,23,23
1545815538,20,20
1545816488,11,11
1545817453,26,26
1545819143,30,30
1545820815,23,23
1545822762,41,41
1545824649,32,32
1545827555,65,65
1545838365,200,200
1545840274,26,26
1545841707,25,25
1545843402,24,24
1545845561,32,32
1545846738,7,7
1545848408,28,28
1545850115,22,22
1545851536,28,28
1545853207,25,25
1545854913,17,17
1545856585,25,25
1545858755,28,28
1545864038,94,94
1545869559,74,74
1545871936,24,24
1545873635,24,24
1545875803,32,32
1545881797,62,62
1545883477,14,14
1545884447,14,14
1545886594,26,26
1545889476,21,21
1545892356,38,38
1545895474,49,49
1545898464,41,41
1545902674,58,58
1545904123,23,23
1545905059,23,23
1545906736,33,33
1545907696,16,16
1545911083,46,46
1545912082,14,14
1545913206,27,27
1545914192,11,11
1545915128,19,19
1545916575,15,15
1545917540,12,12
1545918491,5,5
1545920912,21,21
1545922357,11,11
1545923327,8,8
1545924516,19,19
1545925453,14,14
1545926427,11,11
1545927402,11,11
1545928336,11,11
1545929298,10,10
1545930765,19,19
1545931938,14,14
1545932894,10,10
1545933886,15,15
1545934808,9,9
1545935769,6,6
1545936730,10,10
1545937739,18,18
1545939874,24,24
1545940818,11,11
1545941777,12,12
1545943469,10,10
1545944437,16,16
1545945401,20,20
1545946348,15,15
1545947334,21,21
1545948289,5,5
1545949239,14,14
1545950179,10,10
1545951132,12,12
1545952117,12,12
1545953078,16,16
1545954051,20,20
1545954970,12,12
1545955940,23,23
1545956922,27,27
1545957898,16,16
1545958838,15,15
1545959800,11,11
1545960736,34,34
1545961694,41,41
1545962923,35,35
1545963849,18,18
1545964810,16,16
1545965790,16,16
1545966759,11,11
1545967933,14,14
1545968897,17,17
1545969876,12,12
1545971419,24,24
1545972743,23,23
1545973695,12,12
1545974670,15,15
1545975609,15,15
1545976841,11,11
1545982398,113,113
1545987856,106,106
1546001793,268,268
1546012838,164,164
1546022201,114,114
1546023875,24,24
1546025542,42,42
1546027476,36,36
1546028913,19,19
1546031067,27,27
1546033462,44,44
1546034411,13,13
1546036812,30,30
1546038973,25,25
1546042117,48,48
1546045713,91,91
1546047163,48,48
1546048346,25,25
1546050752,44,44
1546053865,46,46
1546056745,40,40
1546059026,36,36
1546060823,20,20
1546062757,40,40
1546064439,29,29
1546065395,12,12
1546067792,39,39
1546069475,24,24
1546070451,18,18
1546072339,26,26
1546074758,43,43
