DateTime,AddedIPs,RemovedIPs
1545702255,28,44
1545703219,31,53
1545704182,19,40
1545705143,22,38
1545706094,22,45
1545707080,20,53
1545708010,36,40
1545710165,26,78
1545711648,31,97
1545713312,34,88
1545714253,20,55
1545715223,19,46
1545716193,23,50
1545717164,24,64
1545718336,20,85
1545719297,37,87
1545720264,25,82
1545721224,41,83
1545722183,36,88
1545723194,28,78
1545724838,21,84
1545725785,29,75
1545726739,19,66
1545728416,30,116
1545729404,26,62
1545730356,22,85
1545731297,11,72
1545732262,46,60
1545733213,50,58
1545734188,16,68
1545735136,37,46
1545736124,40,48
1545737054,27,48
1545738013,29,53
1545739966,25,109
1545740909,22,48
1545741875,23,57
1545742822,27,66
1545743783,18,52
1545744737,24,48
1545746428,12,112
1545747646,42,46
1545748572,12,66
1545749534,33,32
1545750495,35,65
1545751454,27,70
1545752415,22,69
1545753883,21,66
1545754833,21,74
1545755779,15,66
1545761563,23,319
1545767049,21,916
1545768025,25,52
1545768981,10,49
1545769944,27,66
1545770891,36,49
1545771899,29,52
1545772845,37,70
1545774017,29,37
1545775004,20,43
1545775967,26,34
1545777137,22,60
1545778133,28,36
1545779062,28,34
1545780011,35,62
1545780980,35,50
1545781977,34,50
1545782904,24,45
1545783863,20,45
1545784820,23,49
1545785781,19,62
1545786742,22,65
1545787717,29,66
1545788679,21,52
1545789642,26,56
1545790582,35,51
1545794444,56,188
1545797062,65,163
1545798017,60,43
1545798989,62,52
1545800420,51,56
1545801388,41,48
1545802340,36,51
1545803299,45,57
1545804262,44,44
1545805225,48,44
1545806446,36,104
1545809318,41,93
1545810252,35,51
1545811321,24,47
1545812413,39,55
1545813638,33,73
1545814596,37,50
1545815539,21,44
1545816489,20,66
1545817455,24,44
1545819144,25,99
1545820816,34,64
1545822763,22,89
1545824650,34,108
1545827556,43,164
1545838366,50,567
1545840276,31,106
1545841708,54,110
1545843403,30,46
1545845562,57,148
1545846739,29,0
1545848409,47,130
1545850116,53,112
1545851537,39,99
1545853208,30,48
1545854914,32,97
1545856586,45,45
1545858756,37,137
1545864039,26,230
1545869561,45,236
1545871937,35,136
1545873636,22,95
1545875804,32,100
1545881798,32,288
1545883478,41,55
1545884448,47,98
1545886595,36,90
1545889477,38,147
1545892357,36,179
1545895476,47,161
1545898465,41,181
1545902675,68,318
1545904124,47,57
1545905060,46,63
1545906737,39,132
1545907697,56,57
1545911084,46,172
1545912083,57,53
1545913208,52,60
1545914193,49,122
1545915129,33,0
1545916576,51,116
1545917541,41,55
1545918493,37,47
1545920913,38,146
1545922358,25,43
1545923328,32,55
1545924517,24,56
1545925454,38,59
1545926429,45,49
1545927403,30,50
1545928337,33,50
1545929299,28,47
1545930766,30,49
1545931939,24,43
1545932895,18,50
1545933887,22,92
1545934809,40,0
1545935770,33,48
1545936731,28,47
1545937740,26,43
1545939875,37,161
1545940819,28,0
1545941778,37,51
1545943470,29,94
1545944438,31,50
1545945403,36,43
1545946349,36,51
1545947336,32,49
1545948290,22,54
1545949240,32,40
1545950180,38,46
1545951133,27,41
1545952118,30,58
1545953081,29,49
1545954052,26,57
1545954971,27,49
1545955942,45,42
1545956923,30,50
1545957899,40,60
1545958839,36,58
1545959801,24,54
1545960737,36,56
1545961695,28,45
1545962924,30,49
1545963850,54,80
1545964811,38,50
1545965791,36,54
1545966760,20,69
1545967934,28,66
1545968899,33,38
1545969877,29,49
1545971420,32,55
1545972744,34,108
1545973696,33,48
1545974671,34,153
1545975611,17,84
1545976843,30,61
1545982400,53,416
1545987857,43,308
1546001794,50,929
1546012839,49,645
1546022203,37,522
1546023876,37,112
1546025543,27,44
1546027478,42,170
1546028915,33,61
1546031068,23,111
1546033463,50,158
1546034412,26,0
1546036813,24,171
1546038975,35,116
1546042118,48,166
1546045714,46,197
1546047164,42,97
1546048347,39,37
1546050753,54,86
1546053866,44,177
1546056746,37,79
1546059027,45,137
1546060824,47,84
1546062758,57,127
1546064441,34,59
1546065397,44,54
1546067793,30,178
1546069477,33,114
1546070452,27,55
1546072340,57,106
1546074759,42,118
1546077132,28,133
1546079310,23,177
1546081946,29,99
1546083879,38,119
1546087474,30,231
1546088919,31,55
1546091080,39,152
1546096116,36,272
1546098992,36,162
1546100675,40,123
1546102573,32,53
1546104746,37,134
1546105950,23,37
1546108357,47,134
1546110026,30,37
1546111459,29,659
1546113140,40,42
1546115555,34,109
1546116731,16,32
1546117719,36,42
1546119439,37,85
1546120592,35,30
1546122033,40,79
1546124204,39,84
1546125876,36,49
1546127582,40,88
1546129250,38,88
1546130681,50,43
1546132848,56,109
1546133810,46,47
1546135934,33,96
1546138352,39,151
1546141469,35,202
1546143186,46,102
1546145559,41,115
1546146524,39,60
1546147475,38,46
1546161162,51,845
1546170039,47,645
1546171957,30,115
1546175074,54,229
1546176298,35,84
1546177940,37,66
1546180364,44,199
1546181789,50,97
1546183470,39,52
1546185165,33,108
1546187539,37,154
1546188758,36,38
1546191160,21,90
1546193052,29,102
1546194037,44,30
1546196188,27,154
1546198574,39,100
1546199550,36,37
1546201706,39,127
1546203875,37,98
1546206276,38,89
1546207214,25,49
1546210355,31,119
1546212249,20,94
1546213946,29,41
1546215649,17,90
1546218730,23,161
1546220201,27,55
1546221891,26,126
1546223555,44,133
1546226670,37,201
1546232919,36,375
1546234596,30,51
1546241797,21,432
1546245389,35,162
1546246838,36,120
1546251157,46,334
1546254757,31,157
1546255938,35,60
1546257621,28,96
1546260038,38,209
1546265081,36,308
1546266516,42,46
1546267984,48,102
1546269850,32,107
1546271530,30,54
1546273962,22,156
1546275620,21,104
1546277287,25,60
1546278984,33,106
1546279932,31,58
1546282819,40,177
1546284487,26,690
1546295568,38,704
1546296737,28,52
1546297713,33,65
1546299380,39,75
1546300838,25,115
1546302752,36,121
1546304453,29,116
1546306089,25,48
1546309000,48,237
1546311887,40,193
1546314035,37,109
1546315484,46,73
1546316921,46,124
1546318570,43,62
1546320269,43,122
1546321244,39,61
1546322659,44,152
1546326759,41,280
1546328649,42,155
1546330341,45,154
1546333478,51,230
1546336597,42,233
1546338278,25,143
1546347372,34,697
1546354357,53,534
1546362729,34,700
1546365393,39,253
1546367559,45,190
1546369450,30,163
1546371152,36,207
1546373580,37,152
1546375233,46,103
1546378360,41,329
1546379290,30,0
1546381455,38,255
1546384109,47,251
1546386270,34,166
1546387286,29,103
1546389873,47,182
1546391318,37,160
1546392994,46,177
1546395636,36,167
1546397070,43,170
1546398763,49,99
1546400189,39,102
1546402596,52,243
1546404770,43,181
1546407158,49,180
1546408820,48,200
1546410489,49,205
1546412192,44,210
1546414364,39,252
1546416262,46,198
1546419370,46,378
1546424677,54,606
1546426840,36,517
1546430682,58,302
1546433557,46,367
1546435457,57,184
1546441936,42,770
1546443157,36,461
1546447707,42,542
1546450593,48,329
1546454197,39,293
1546456600,37,1992
1546457806,38,0
1546459492,62,221
1546464752,46,419
1546471945,49,671
1546475555,43,384
1546477729,45,168
1546480337,31,255
1546482016,56,184
1546485137,56,240
1546486093,50,104
1546487055,35,117
1546489478,34,344
1546493556,39,467
1546496170,27,344
1546497879,46,260
1546499569,36,143
1546521376,80,3183
1546539385,64,2605
1546573474,65,4823
1546576118,72,290
1546577056,36,117
1546578053,52,0
1546579708,72,210
1546580678,40,102
1546586205,53,715
1546590995,52,461
1546594366,59,567
1546596778,73,241
1546598689,52,245
1546601791,60,323
1546603960,54,239
1546604889,47,123
1546607051,44,284
1546608735,50,258
1546611135,53,230
1546612603,48,244
1546614779,54,235
1546615938,38,120
1546617618,45,267
1546619796,44,254
1546622676,54,369
1546624113,40,260
1546625767,29,129
1546627954,46,236
1546629639,47,246
1546631286,44,107
1546632255,41,117
1546633934,41,242
1546635639,48,267
1546637088,39,107
1546638992,27,191
1546640445,38,122
1546642868,52,368
1546643794,33,0
1546646199,34,279
1546649061,46,410
1546650767,53,437
1546652441,32,144
1546654361,51,454
1546656253,36,181
1546658671,45,484
1546661095,52,353
1546662757,47,359
1546665157,45,383
1546666093,39,188
1546667766,51,388
1546669570,35,410
1546671159,49,229
1546672595,38,473
1546674748,58,441
1546678118,57,817
1546680990,46,47
1546683477,59,128
1546685052,36,0
1546687448,43,76
1546690848,55,0
1546693472,60,68
1546695636,49,71
1546697313,51,0
1546698758,39,53
1546700468,47,68
1546702353,45,0
1546704037,37,71
1546705686,48,0
1546706891,53,57
1546708363,47,0
1546710756,46,71
1546712197,36,48
1546713869,42,0
1546716032,55,140
1546718193,40,72
1546719871,43,0
1546721313,33,62
1546722303,28,0
1546723940,33,0
1546727069,40,0
1546728742,35,0
1546731185,32,0
1546733082,44,0
1546735235,40,68
1546737137,40,0
1546738813,37,0
1546739778,20,0
1546741459,37,0
1546742451,38,71
1546745072,38,0
1546746802,46,0
1546748415,41,0
1546750367,26,45
1546752738,32,0
1546753699,41,0
1546755887,37,64
1546757770,31,0
1546759241,53,63
1546761639,46,0
1546763085,44,77
1546765943,29,0
1546768099,47,78
1546769602,30,0
1546771544,55,69
