DateTime,AddedIPs,RemovedIPs
1544436053,0,2
1544439649,0,19
1544443234,0,5
1544446835,0,4
1544450431,0,33
1544454031,2,23
1544457630,1,6
1544461230,2,6
1544464829,1,4
1544468438,0,5
1544472029,1,10
1544475635,2,7
1544479231,1,1
1544482833,0,11
1544486433,0,24
1544490038,1,1
1544493631,1,0
1544497235,1,0
1544500835,1,0
1544511635,2,0
1544515232,0,1
1544518835,1,1
1544522435,1,1
1544526034,5,0
1544529634,1,0
1544533235,0,1
1544540429,0,1
1544544032,0,1
1544551235,1,1
1544562035,1,34
1544565627,0,18
1544569232,0,20
1544572835,0,4
1544576425,1,9
1544580033,1,12
1544583628,1,0
1544587232,1,0
1544590828,0,1
1544594429,0,3
1544598031,0,3
1544601635,2,0
1544605229,0,1
1544608829,0,2
1544612433,1,3
1544616035,0,4
1544619630,1,5
1544623230,0,2
1544626834,0,2
1544630436,2,9
1544634030,28,5
1544637637,0,1
1544641229,0,1
1544644835,0,1
1544648435,1,0
1544659233,1,0
1544662825,1,1
1544666434,0,1
1544670026,1,1
1544673622,1,0
1544680823,1,1
1544698826,0,2
1544702426,0,1
1544706031,1,3
1544709626,0,1
1544713235,1,1
1544716833,1,0
1544724028,0,1
1544731235,0,2
1544734833,2,0
1544738422,0,3
1544742027,1,4
1544745627,0,1
1544752833,0,1
1544756431,2,0
1544760026,0,2
1544763621,1,0
1544770828,0,2
1544774424,1,0
1544781622,1,1
1544788826,2,2
1544792428,1,1
1544796025,0,1
1544803228,2,0
1544814028,1,0
1544828428,0,2
1544835638,1,0
1544842835,1,0
1544846433,0,30
1544853629,1,0
1544857228,0,1
1544860833,2,0
1544868030,1,1
1544878827,1,0
1544886022,0,2
1544889624,2,1
1544893221,1,0
1544896831,1,0
1544900428,0,1
1544907630,1,1
1544911230,0,1
1544918431,26,0
1544929228,1,3
1544932835,1,0
1544936429,2,0
1544940034,0,2
1544943635,2,0
1544947229,1,1
1544954430,4,0
1544958038,1,0
1544961630,1,1
1544965233,3,5
1544968833,0,3
1544972431,0,4
1544976033,0,1
1544979636,0,1
1544983228,2,0
1544990430,1,1
1544994030,0,1
1544997634,1,1
1545001223,0,1
1545004840,0,1
1545008436,0,1
1545012035,1,0
1545022824,1,0
1545030027,1,0
1545037228,0,1
1545040830,1,0
1545058830,0,1
1545066027,1,0
1545073230,0,2
1545076830,1,1
1545080423,1,2
1545084031,1,1
1545087631,0,2
1545091223,0,1
1545094823,1,0
1545102028,0,1
1545105624,3,0
1545109231,1,2
1545116431,2,0
1545120027,1,1
1545123631,2,1
1545127230,2,2
1545130837,3,1
1545134429,2,0
1545138032,1,1
1545141634,1,1
1545148828,4,1
1545152434,1,0
1545156033,1,2
1545159630,2,0
1545163228,3,0
1545166832,1,1
1545170433,0,2
1545177632,20,0
1545181232,0,1
1545184830,0,1
1545188430,0,1
1545192029,1,1
1545195632,1,1
1545199227,1,1
1545206433,0,1
1545210024,0,1
1545213630,2,1
1545217228,0,1
1545228032,2,0
1545231629,1,0
1545235230,2,1
1545238838,0,21
1545246031,0,3
1545249634,1,0
1545253236,1,2
1545256837,3,3
1545271241,1,0
1545274834,1,1
1545278434,1,1
1545282029,2,0
1545285636,4,0
1545289235,1,1
1545292837,2,0
1545296436,3,1
1545300030,0,1
1545303636,1,0
1545307235,3,1
1545310831,1,0
1545314430,1,1
1545318039,0,1
1545321635,0,3
1545325230,0,1
1545328837,0,1
1545336033,1,3
1545339627,0,2
1545343232,1,2
1545346834,0,4
1545350437,0,3
1545354028,1,1
1545357632,0,1
1545361227,2,3
1545364839,0,1
1545368436,0,2
1545372031,0,3
1545375634,1,1
1545379229,2,1
1545382831,2,1
1545386429,5,2
1545390033,11,0
1545393638,12,1
1545397237,7,2
1545400830,11,0
1545404441,2,0
1545408041,0,1
1545415232,1,0
1545426035,0,1
1545429636,2,0
1545436835,22,1
1545440438,2,2
1545444034,0,1
1545447634,2,0
1545454834,0,3
1545458433,1,1
1545462030,0,1
1545465632,0,1
1545472836,1,1
1545483633,1,1
1545494436,0,1
1545498035,0,1
1545501666,2,1
1545505243,1,1
1545508845,1,0
1545512442,0,1
1545516038,3,0
1545519637,1,0
1545523240,0,20
1545534034,2,1
1545537635,1,1
1545541235,3,1
1545544833,4,0
1545548440,2,0
1545552031,1,0
1545555635,1,1
1545559231,1,0
1545562839,1,0
1545570033,0,2
1545573638,1,1
1545580831,2,0
1545584424,2,1
1545588031,2,1
1545591627,2,0
1545595238,0,2
1545602429,1,4
1545606027,1,7
1545620435,1,0
1545624028,1,0
1545627639,0,1
1545645632,1,0
1545649227,0,1
1545656425,1,0
1545660032,1,0
1545663632,1,0
1545667232,0,1
1545670829,1,0
1545674432,1,1
1545678035,1,0
1545681634,0,1
1545685235,0,1
1545688833,6,0
1545696040,17,0
1545699641,2,0
1545703234,1,0
1545706838,3,2
1545710429,5,0
1545717634,6,0
1545721242,1,2
1545724834,2,0
1545728435,1,0
1545732038,4,1
1545742836,5,0
1545746434,1,1
1545750040,1,0
1545764441,0,1
1545768040,0,1
1545771637,1,2
1545775232,2,2
1545782441,1,22
1545786031,5,0
1545789650,1,1
1545793235,1,0
1545796835,0,1
1545800433,3,1
1545804035,1,1
1545807634,1,0
1545811234,1,2
1545814838,1,1
1545818433,1,1
1545825637,2,0
1545829232,1,0
1545832838,0,1
1545836437,0,3
1545840046,0,2
1545847236,1,0
1545850830,3,1
1545854438,1,0
1545861635,1,1
1545865234,4,0
1545868836,3,0
1545872438,3,2
1545876038,3,1
1545879642,3,0
1545883235,2,1
1545886833,4,1
1545890437,1,3
1545894037,2,0
1545897640,1,2
1545901232,2,0
1545904843,3,0
1545908448,1,0
1545912034,0,1
1545915636,1,0
1545919235,1,2
1545922834,0,1
1545926440,2,0
1545930036,1,2
1545933632,3,2
1545937242,3,0
1545940836,0,2
1545944436,0,1
1545948032,1,3
1545951639,1,3
1545955242,7,0
1545958838,15,2
1545966036,1,2
1545973235,0,1
1545980438,1,0
