DateTime,AddedIPs,RemovedIPs
1543759233,0,1
1543762826,1,3
1543766432,2,1
1543773634,1,0
1543795249,0,2
1543802435,1,0
1543806024,2,1
1543809634,1,7
1543813221,0,18
1543824025,4,1
1543827630,8,0
1543831232,4,0
1543834833,31,0
1543838433,6,2
1543842036,8,0
1543845634,36,0
1543849237,19,0
1543852837,5,0
1543856435,5,0
1543860040,1,2
1543863637,4,0
1543867239,4,0
1543878029,7,1
1543881627,14,3
1543892443,0,1
1543896038,0,1
1543899626,1,1
1543903227,1,0
1543906844,0,2
1543910433,0,1
1543914043,1,0
1543917629,0,1
1543928426,2,0
1543935628,0,2
1543939238,0,1
1543946447,1,0
1543950037,1,0
1543953639,1,0
1543960841,3,0
1543968037,1,0
1543971635,1,0
1543975243,1,0
1543982427,1,1
1543986027,1,2
1543989633,1,0
1543993235,1,1
1544004037,0,1
1544014843,1,6
1544018438,0,1
1544022038,1,0
1544025627,10,0
1544032844,1,0
1544036426,0,3
1544040030,1,0
1544043635,0,3
1544050843,0,1
1544054433,0,1
1544058039,1,1
1544065238,0,1
1544076040,1,23
1544083234,0,11
1544086832,0,1
1544090433,1,0
1544094028,0,1
1544097624,0,3
1544101241,0,2
1544112023,1,2
1544122824,1,1
1544126436,0,1
1544130029,1,0
1544133625,0,1
1544140824,1,2
1544148023,0,1
1544151624,0,1
1544155224,1,1
1544158825,0,2
1544162423,1,3
1544166028,1,5
1544169624,0,3
1544173224,1,0
1544176827,2,3
1544187623,1,1
1544194823,2,1
1544198424,5,1
1544205624,0,2
1544209227,0,2
1544212823,0,2
1544216425,1,3
1544220025,2,1
1544227225,0,1
1544230823,3,1
1544238033,3,1
1544241624,24,2
1544248825,2,1
1544252425,2,0
1544256025,0,1
1544259625,1,1
1544266826,1,1
1544274025,2,0
1544281223,1,0
1544292025,0,1
1544299226,1,0
1544302827,1,0
1544306426,1,1
1544313629,1,1
1544324427,2,2
1544328025,1,0
1544331627,1,0
1544335230,3,1
1544342425,2,0
1544346037,4,0
1544349630,2,1
1544353233,1,0
1544360440,2,0
1544371242,1,0
1544378436,0,1
1544385641,1,0
1544389238,0,1
1544403641,1,0
1544410833,0,1
1544421629,0,1
1544428838,0,1
1544432437,0,5
1544436034,0,1
1544439632,0,19
1544443230,0,5
1544446827,0,4
1544450422,0,33
1544454021,1,22
1544457625,0,6
1544461220,1,6
1544464822,1,4
1544468430,0,4
1544472020,1,9
1544475626,1,7
1544479228,0,1
1544482823,0,11
1544486421,0,24
1544490029,1,1
1544497226,1,0
1544500826,1,0
1544515223,0,1
1544518826,0,1
1544522426,1,1
1544526029,3,0
1544529625,1,0
1544533225,0,1
1544551225,0,1
1544562022,1,0
1544565627,0,3
