DateTime,AddedIPs,RemovedIPs
1544601852,0,1
1544609027,2,1
1544616233,1,1
1544623439,2,2
1544627042,0,3
1544630624,0,1
1544637863,0,2
1544641443,0,2
1544645044,0,2
1544648672,2,2
1544652255,8,0
1544655885,0,2
1544659442,2,2
1544663033,1,0
1544666660,3,0
1544670228,12,0
1544673822,13,2
1544677422,9,3
1544681020,9,1
1544684616,5,6
1544688231,2,2
1544691848,4,1
1544695413,1,1
1544699068,0,1
1544702641,2,3
1544706248,0,1
1544709840,2,1
1544713440,2,0
1544717084,1,0
1544720665,1,0
1544724273,1,1
1544727866,1,1
1544731457,2,1
1544735058,1,0
1544738596,1,1
1544742232,0,1
1544745849,3,2
1544749398,2,3
1544752995,0,3
1544756592,0,1
1544760177,1,4
1544763811,3,2
1544767421,1,0
1544771020,0,1
1544774629,0,1
1544789045,0,1
1544792638,0,1
1544803455,0,1
1544807063,2,1
1544810640,1,2
1544814234,5,1
1544817852,2,2
1544821486,0,1
1544825072,1,3
1544828643,2,2
1544832254,0,1
1544835858,0,1
1544839459,0,1
1544846676,0,2
1544850213,0,1
1544853810,2,0
1544857443,1,1
1544864663,0,1
1544868279,2,1
1544871820,0,2
1544882634,0,4
1544889865,2,6
1544900685,1,1
1544904246,1,0
1544911446,2,1
1544915044,1,3
1544922244,0,4
1544925862,2,2
1544929449,0,1
1544933033,0,1
1544936650,0,1
1544940279,0,2
1544943863,0,1
1544954678,2,0
1544958249,0,1
1544965418,0,3
1544976243,3,1
1544979830,0,1
1544983425,0,1
1544987012,0,4
1544994234,2,1
1544997831,1,2
1545001406,3,3
1545005001,0,2
1545008615,0,1
1545012231,1,1
1545015847,0,2
1545022987,2,1
1545026621,1,1
1545030231,0,1
1545033823,0,1
1545037427,0,1
1545041040,2,0
1545051847,1,1
1545055457,1,3
1545059037,1,2
1545062596,2,1
1545069855,1,3
1545073433,1,0
1545077013,1,0
1545080612,4,0
1545084215,3,2
1545087874,1,0
1545091433,4,2
1545094999,2,4
1545098581,1,7
1545102230,2,0
1545105829,1,3
1545113017,2,0
1545116636,0,4
1545120245,1,0
1545123840,1,3
1545127419,2,3
1545131057,1,1
1545134640,0,1
1545138233,1,1
1545141850,3,2
1545145483,2,1
1545149025,3,1
1545152623,3,1
1545156217,2,1
1545159833,1,0
1545163430,2,0
1545167035,0,1
1545170639,2,2
1545174208,3,3
1545177858,2,2
1545181446,3,1
1545185045,0,1
1545188646,1,0
1545192216,0,1
1545195825,0,1
1545199444,1,0
1545206656,1,0
1545213819,0,1
1545217440,0,1
1545221039,0,2
1545224650,1,0
1545228251,2,0
1545231867,0,2
1545235468,1,2
1545242645,2,0
1545246228,0,4
1545253448,2,2
1545257089,2,1
1545260655,1,1
1545264252,6,3
1545267829,4,4
1545271455,2,3
1545275018,2,9
1545278637,1,6
1545282199,1,7
1545285823,0,5
1545289405,1,8
1545293006,1,6
1545296622,0,12
1545300213,0,2
1545303793,2,0
1545307417,0,1
1545311022,1,0
1545314636,1,0
1545318243,2,1
1545321804,1,1
1545325421,3,1
1545329001,1,1
1545332642,3,0
1545336224,3,0
1545339830,3,3
1545343411,0,2
1545347044,0,2
1545350645,1,1
1545354248,0,1
1545357839,0,3
1545361450,1,0
1545368682,0,3
1545372265,1,1
1545379456,1,0
1545383062,0,1
1545386675,0,1
1545397464,0,1
1545401028,0,1
1545408257,1,0
1545411852,0,1
