DateTime,AddedIPs,RemovedIPs
1541264628,0,1
1541293430,1,1
1541311441,0,1
1541318627,0,1
1541336627,0,1
1541343820,1,0
1541376258,1,0
1541383424,1,0
1541401413,0,1
1541415828,0,1
1541426653,1,0
1541430221,1,0
1541462663,1,0
1541466241,0,1
1541469827,1,0
1541473429,1,1
1541484194,1,0
1541509432,0,2
1541527442,1,1
1541541859,1,0
1541545446,1,0
1541549047,1,0
1541574227,0,1
1541585032,0,1
1541588622,1,1
1541592218,1,0
1541595830,2,0
1541599429,1,0
1541610235,2,1
1541617426,0,1
1541621044,0,1
1541624633,1,1
1541635451,0,1
1541646242,1,0
1541657028,1,0
1541660630,1,0
1541678629,0,2
1541689461,0,1
1541693079,1,0
1541707452,1,0
1541725446,0,1
1541747056,0,1
1541754264,1,0
1541757881,1,0
1541765035,1,1
1541768585,0,1
1541797435,1,0
1541847844,0,1
1541851457,0,2
1541855023,0,2
1541858637,1,0
1541887443,1,0
1541891011,1,0
1541898228,2,1
1541901840,1,0
1541909016,1,0
1541916232,1,0
1541952241,0,1
1541973844,2,0
1541980997,1,1
1541991841,0,1
1541995428,1,0
1541999054,1,0
1542006246,2,0
1542009835,1,0
1542031412,0,1
1542035050,0,1
1542042260,1,0
1542056637,1,0
1542063840,1,0
1542067441,1,1
1542078225,0,1
1542089022,1,0
1542110637,1,0
1542132218,0,1
1542135823,1,0
1542146609,2,1
1542150231,1,1
1542157438,1,0
1542182636,1,0
1542193411,0,2
1542196987,0,2
1542204196,1,1
1542207797,0,1
1542215024,0,1
1542218591,0,1
1542229424,0,1
1542236643,1,0
1542250995,0,1
1542258202,1,0
1542294210,1,1
1542297815,0,1
1542315815,0,1
1542319426,1,0
1542323019,1,0
1542341023,0,1
1542359026,0,1
1542362620,0,1
1542369781,0,1
1542391423,2,0
1542413008,0,1
1542416605,1,0
1542420234,2,1
1542463394,1,1
1542467012,1,0
1542470617,1,0
1542481437,1,0
1542499431,1,0
1542502994,1,1
1542513793,0,1
1542531827,1,0
1542557032,1,0
1542564195,1,0
1542589431,2,0
1542593013,0,1
1542596611,1,0
1542600203,0,1
1542603818,1,0
1542607435,0,1
1542611017,0,2
1542618242,1,0
1542621839,0,1
1542643426,1,0
1542647026,1,0
1542654223,2,0
1542661443,0,1
1542675836,0,1
1542682990,1,0
1542686599,0,2
1542690190,0,1
1542693794,0,1
1542715428,0,1
1542737028,1,0
1542740638,0,1
1542751446,0,2
1542755019,0,1
1542762248,0,2
1542773026,3,0
1542780227,1,1
1542798236,1,0
1542801790,1,0
1542809040,1,1
1542816203,1,0
1542841470,0,1
1542852225,1,0
1542863076,1,0
1542895408,1,0
1542902620,1,0
1542927852,1,0
1542931427,0,1
1542956644,1,0
1542960258,1,0
1542963845,0,1
1542996231,1,1
1543007025,0,1
1543025023,0,2
1543032212,0,1
1543046630,0,1
1543057427,1,0
1543071834,1,1
1543075423,0,2
1543082640,0,1
1543086228,1,0
1543100635,0,1
1543104231,0,1
1543107829,1,1
1543133049,1,0
1543136617,0,1
1543140238,1,0
1543147439,3,0
1543158218,1,0
1543161827,0,1
1543165432,1,0
1543169049,1,1
1543194232,0,2
1543201453,0,1
1543205026,1,0
1543208639,1,0
1543223037,0,1
1543241073,0,1
1543244644,1,0
1543251833,0,1
1543259037,0,1
1543262664,1,1
1543266249,1,0
1543273440,1,1
1543277022,1,0
1543287843,1,1
1543302227,1,0
1543320218,1,1
1543323816,1,1
1543327436,1,0
1543331038,1,0
1543334629,1,0
1543341840,0,1
1543349029,1,0
1543356244,0,1
1543367029,1,0
1543377827,0,4
1543399439,2,0
1543403048,0,1
1543406648,0,1
1543413842,0,1
1543417434,1,0
1543421029,0,1
1543424619,1,0
1543464222,0,1
1543467825,0,1
1543478626,1,0
1543489452,2,0
1543503851,1,1
1543507443,0,1
1543518246,1,0
1543532625,0,1
1543565044,1,1
1543572197,1,0
1543615450,3,0
1543629816,2,1
1543633417,1,0
1543640629,1,0
1543644221,1,0
1543647817,1,0
1543651459,1,0
1543655061,0,1
1543662226,1,0
1543665856,1,0
1543676618,2,1
1543680230,2,0
1543691070,0,1
1543694651,2,0
1543709045,0,1
1543712643,1,1
1543723440,1,1
1543727054,1,0
1543745049,0,1
1543752245,0,1
1543763029,0,1
1543766632,2,0
1543770264,0,1
1543777399,1,0
1543781062,0,1
1543784634,1,0
1543788259,0,1
1543795436,0,1
1543806246,1,0
1543809829,0,1
1543849442,0,1
1543853030,0,1
1543856624,1,0
1543860226,0,1
1543871043,0,1
1543878198,1,0
1543881833,0,1
1543892622,1,1
1543925005,0,1
1543932231,1,2
1543935839,1,0
1543939462,0,1
1543953829,0,2
1543961035,1,0
1544004250,0,1
1544011434,0,1
1544022229,0,1
1544025796,0,1
1544029410,0,1
1544054633,2,0
1544094184,1,1
1544097804,1,0
1544105009,0,1
1544115786,0,1
1544133799,1,0
1544141005,1,1
1544158997,2,0
1544169788,0,1
1544176986,0,2
1544184201,0,1
1544216589,1,0
1544220185,2,1
1544223812,0,1
1544234599,0,1
1544238187,0,2
1544245387,0,1
1544256186,0,1
1544263397,1,1
1544266986,0,1
1544270590,1,1
1544281397,0,3
1544284995,0,2
1544299418,0,1
1544303002,0,1
1544317424,1,1
1544328226,0,1
1544331837,0,1
1544342629,2,0
1544353433,0,1
1544357045,0,1
1544378616,0,1
1544382234,0,1
1544385841,1,0
1544389426,0,1
1544396641,2,0
1544411032,0,1
1544425426,0,1
1544454198,1,0
1544461404,1,1
1544468632,2,0
1544479444,1,0
1544504622,0,1
1544508246,1,1
1544511837,0,1
1544540603,1,0
1544551417,2,0
1544565825,1,1
1544576635,1,0
1544580234,1,0
1544583840,1,0
1544591001,1,0
1544612627,1,0
1544623420,1,0
1544645025,1,0
1544655865,0,1
1544659422,0,1
1544684595,1,0
1544702619,2,0
1544706227,2,1
1544713419,1,1
1544727845,1,1
1544738575,0,1
1544749370,0,1
1544760155,1,0
1544770999,1,0
1544810626,1,0
1544821465,0,1
1544825051,0,2
1544828621,1,0
1544846655,1,0
1544871799,0,1
1544922224,1,0
1544940262,0,1
1544958229,1,0
1544972617,1,0
1544976223,1,0
1544990614,1,0
1545015828,1,1
1545044591,0,1
1545048256,1,0
1545055438,0,1
1545059019,1,1
1545066221,0,1
1545069835,1,0
1545073414,1,2
1545076994,1,0
1545080593,0,1
1545084196,1,1
1545094980,1,0
1545156198,0,1
1545167016,1,0
1545181426,0,2
1545185025,1,1
1545188625,0,1
1545195805,0,1
1545221019,0,1
1545228231,0,1
1545239059,1,0
1545242625,1,0
1545264232,0,1
1545285805,0,1
1545311002,0,2
1545318225,0,1
1545325403,1,0
1545332625,1,1
1545336206,0,1
1545343392,1,0
1545347026,2,0
1545350627,1,1
1545357821,1,0
1545361433,1,0
1545365049,2,1
1545368665,4,1
1545375818,0,1
1545451416,0,1
1545462251,0,1
1545465829,1,0
1545469412,1,0
1545476594,2,0
1545483845,1,0
1545491030,1,0
1545527040,0,1
1545545003,1,0
1545548635,1,0
1545552212,1,0
1545566590,1,0
1545577421,1,0
1545591812,1,0
1545602589,0,1
1545606204,1,1
1545620607,0,1
1545649430,1,0
1545656636,1,0
1545663807,0,1
1545674638,1,2
1545689025,0,1
1545707021,0,1
1545725008,4,0
1545739394,1,1
1545743016,1,0
1545746636,1,0
1545761021,1,0
1545771801,0,1
1545782632,0,1
1545789816,0,1
1545807809,0,1
1545829404,1,0
1545840253,2,0
1545843824,0,1
1545847415,0,2
1545869026,1,0
1545879843,0,1
1545883383,0,1
1545887016,1,0
1545908590,1,0
1545923008,1,0
1545933843,1,0
1545948202,0,1
1545951845,0,2
1545966254,0,1
1545973438,0,4
1545994978,1,0
1546005829,1,0
1546009446,1,0
1546070566,0,1
1546074221,0,2
1546081397,0,2
1546088588,0,1
1546095790,0,1
1546099432,2,0
1546103013,1,0
1546106615,2,1
1546110201,1,0
1546124630,1,0
1546149838,1,1
1546153422,1,1
1546156993,1,1
1546164198,1,0
1546171385,1,1
1546175051,1,1
1546178634,1,0
1546182243,0,1
1546189421,1,1
1546196633,0,1
1546229028,1,0
1546232623,2,0
1546236225,1,1
1546254187,1,0
1546261412,0,1
1546264995,1,0
1546272213,0,1
1546275780,1,0
1546279399,1,1
1546308218,1,0
1546311828,0,1
1546329819,0,3
