DateTime,AddedIPs,RemovedIPs
1544976864,55,48
1544980475,60,45
1544984085,56,39
1544987687,77,47
1544991285,38,45
1544994877,64,58
1544998472,63,42
1545002082,39,51
1545005681,50,50
1545009269,50,49
1545012861,42,57
1545016468,38,33
1545020077,33,45
1545023680,34,38
1545027274,38,68
1545030887,38,43
1545034477,43,49
1545038089,59,50
1545041673,57,58
1545045273,36,50
1545048870,48,51
1545052470,42,68
1545056054,53,79
1545059648,46,55
1545063256,41,80
1545066870,30,56
1545070461,63,52
1545074069,45,43
1545077685,68,59
1545081274,58,62
1545084879,47,55
1545088464,42,41
1545092063,34,37
1545095701,50,47
1545099269,36,49
1545102880,34,44
1545106482,39,58
1545110071,48,59
1545113659,53,60
1545117256,42,49
1545120859,53,63
1545124461,52,47
1545128048,61,63
1545131635,46,57
1545135254,62,53
1545138851,47,52
1545142443,53,34
1545146044,47,46
1545149667,42,52
1545153275,38,43
1545156876,44,62
1545160467,45,50
1545164072,36,51
1545167662,26,50
1545171265,72,42
1545174870,53,34
1545178455,51,54
1545182053,44,50
1545185668,40,52
1545189252,55,56
1545192864,34,39
1545196464,41,36
1545200068,34,50
1545203646,36,49
1545207246,59,53
1545210846,59,49
1545214433,62,53
1545218044,42,44
1545221639,34,42
1545225244,48,45
1545228838,71,45
1545232448,64,56
1545236044,46,41
1545239647,36,41
1545243257,42,43
1545246853,41,47
1545250453,37,45
1545254060,49,38
1545257651,49,48
1545261262,31,27
1545264859,40,61
1545268493,42,35
1545272075,28,39
1545275691,44,38
1545279272,43,38
1545282889,41,45
1545286470,29,43
1545290078,22,34
1545293687,49,43
1545297288,102,45
1545300937,110,51
1545304474,86,50
1545308085,54,57
1545311689,62,57
1545315273,77,59
1545318854,59,48
1545322479,70,50
1545326076,72,43
1545329702,61,50
1545333258,65,76
1545336866,45,49
1545340459,57,47
1545344062,55,44
1545347666,35,46
1545351260,39,54
1545354866,48,41
1545358466,31,49
1545362055,45,51
1545365649,41,46
1545369236,34,41
1545372849,34,45
1545376452,59,46
1545380055,51,63
1545383644,48,71
1545387245,82,100
1545390853,55,76
1545394446,67,60
1545398054,60,99
1545401649,51,78
1545405253,48,70
1545408846,50,47
1545412447,53,54
1545416062,71,57
1545419670,148,57
1545423280,171,44
1545426906,139,41
1545430484,107,53
1545434082,82,59
1545437682,52,49
1545441288,49,43
1545444881,61,50
1545448473,50,40
1545452096,48,41
1545455685,51,37
1545459274,58,40
1545462882,62,42
1545466477,44,49
1545470076,40,27
1545473673,42,34
1545477280,40,42
1545480871,41,39
1545484472,71,56
1545488072,44,47
1545491680,56,97
1545495275,41,49
1545498899,84,45
1545502488,212,44
1545506105,92,45
1545509705,65,38
1545513298,77,57
1545516896,52,55
1545520510,60,44
1545524097,46,45
1545527691,127,37
1545531298,46,34
1545534879,35,43
1545538501,39,31
1545542114,27,35
1545545694,42,31
1545549307,35,51
1545552901,99,36
1545556527,85,41
1545560121,64,51
1545563718,47,39
1545567323,54,57
1545570914,120,37
1545574536,49,36
1545578132,43,45
