DateTime,Entries,UniqueIPs
1544976864,13699,13699
1544980475,13714,13714
1544984085,13731,13731
1544987687,13761,13761
1544991285,13754,13754
1544994877,13760,13760
1544998472,13781,13781
1545002082,13769,13769
1545005681,13769,13769
1545009269,13770,13770
1545012861,13755,13755
1545016468,13760,13760
1545020077,13748,13748
1545023680,13744,13744
1545027274,13714,13714
1545030887,13709,13709
1545034477,13703,13703
1545038089,13712,13712
1545041673,13711,13711
1545045273,13697,13697
1545048870,13694,13694
1545052470,13668,13668
1545056054,13642,13642
1545059648,13633,13633
1545063256,13594,13594
1545066870,13568,13568
1545070461,13579,13579
1545074069,13581,13581
1545077685,13590,13590
1545081274,13586,13586
1545084879,13578,13578
1545088464,13579,13579
1545092063,13576,13576
1545095701,13579,13579
1545099269,13566,13566
1545102880,13556,13556
1545106482,13537,13537
1545110071,13526,13526
1545113659,13519,13519
1545117256,13512,13512
1545120859,13502,13502
1545124461,13507,13507
1545128048,13505,13505
1545131635,13494,13494
1545135254,13503,13503
1545138851,13498,13498
1545142443,13517,13517
1545146044,13518,13518
1545149667,13508,13508
1545153275,13503,13503
1545156876,13485,13485
1545160467,13480,13480
1545164072,13465,13465
1545167662,13441,13441
1545171265,13471,13471
1545174870,13490,13490
1545178455,13487,13487
1545182053,13481,13481
1545185668,13469,13469
1545189252,13468,13468
1545192864,13463,13463
1545196464,13468,13468
1545200068,13452,13452
1545203646,13439,13439
1545207246,13445,13445
1545210846,13455,13455
1545214433,13464,13464
1545218044,13462,13462
1545221639,13454,13454
1545225244,13457,13457
1545228838,13483,13483
1545232448,13491,13491
1545236044,13496,13496
1545239647,13491,13491
1545243257,13490,13490
1545246853,13484,13484
1545250453,13476,13476
1545254060,13487,13487
1545257651,13488,13488
1545261262,13492,13492
1545264859,13471,13471
1545268493,13478,13478
1545272075,13467,13467
1545275691,13473,13473
1545279272,13478,13478
1545282889,13474,13474
1545286470,13460,13460
1545290078,13448,13448
1545293687,13454,13454
1545297288,13511,13511
1545300937,13570,13570
1545304474,13606,13606
1545308085,13603,13603
1545311689,13608,13608
1545315273,13626,13626
1545318854,13637,13637
1545322479,13657,13657
1545326076,13686,13686
1545329702,13697,13697
1545333258,13686,13686
1545336866,13682,13682
1545340459,13692,13692
1545344062,13703,13703
1545347666,13692,13692
1545351260,13677,13677
1545354866,13684,13684
1545358466,13666,13666
1545362055,13660,13660
1545365649,13655,13655
1545369236,13648,13648
1545372849,13637,13637
1545376452,13650,13650
1545380055,13638,13638
1545383644,13615,13615
1545387245,13597,13597
1545390853,13576,13576
1545394446,13583,13583
1545398054,13544,13544
1545401649,13517,13517
1545405253,13495,13495
1545408846,13498,13498
1545412447,13497,13497
1545416062,13511,13511
1545419670,13602,13602
1545423280,13729,13729
1545426906,13827,13827
1545430484,13881,13881
1545434082,13904,13904
1545437682,13907,13907
1545441288,13913,13913
1545444881,13924,13924
1545448473,13934,13934
1545452096,13941,13941
1545455685,13955,13955
1545459274,13973,13973
1545462882,13993,13993
1545466477,13988,13988
1545470076,14001,14001
1545473673,14009,14009
1545477280,14007,14007
1545480871,14009,14009
1545484472,14024,14024
1545488072,14021,14021
1545491680,13980,13980
1545495275,13972,13972
1545498899,14011,14011
1545502488,14179,14179
1545506105,14226,14226
1545509705,14253,14253
1545513298,14273,14273
1545516896,14270,14270
1545520510,14286,14286
1545524097,14287,14287
1545527691,14377,14377
1545531298,14389,14389
1545534879,14381,14381
1545538501,14389,14389
1545542114,14381,14381
1545545694,14392,14392
1545549307,14376,14376
1545552901,14439,14439
1545556527,14483,14483
1545560121,14496,14496
1545563718,14504,14504
1545567323,14501,14501
1545570914,14584,14584
1545574536,14597,14597
1545578132,14595,14595
1545581728,14659,14659
1545585312,14653,14653
1545588942,14641,14641
1545592520,14625,14625
1545596122,14612,14612
1545599740,14647,14647
1545603337,14677,14677
1545606928,14693,14693
1545610534,14693,14693
1545614125,14695,14695
1545617729,14676,14676
1545621335,14682,14682
1545624929,14684,14684
1545628507,14693,14693
1545632099,14685,14685
1545635716,14674,14674
1545639302,14668,14668
1545642921,14666,14666
1545646507,14684,14684
1545650109,14706,14706
1545653710,14714,14714
1545657305,14708,14708
1545660902,14697,14697
1545664516,14693,14693
1545668113,14671,14671
1545671699,14672,14672
1545675299,14662,14662
1545678903,14654,14654
1545682495,14623,14623
1545686100,14598,14598
1545689703,14599,14599
1545693299,14630,14630
1545696896,14631,14631
1545700492,14637,14637
1545704099,14642,14642
1545707708,14643,14643
1545711299,14676,14676
1545714909,14670,14670
1545718505,14637,14637
1545722103,14626,14626
1545725706,14640,14640
1545729307,14680,14680
1545732921,14660,14660
1545736518,14649,14649
1545740120,14629,14629
1545743706,14662,14662
1545747300,14644,14644
1545750911,14624,14624
1545754514,14620,14620
1545758109,14611,14611
1545761720,14630,14630
1545765325,14624,14624
1545768929,14640,14640
1545772521,14689,14689
1545776119,14715,14715
1545779725,14722,14722
1545783317,14712,14712
1545786918,14708,14708
1545790502,14699,14699
1545794109,14694,14694
1545797705,14692,14692
1545801329,14681,14681
1545804905,14679,14679
1545808502,14689,14689
1545812110,14677,14677
1545815725,14672,14672
1545819338,14666,14666
1545822903,14668,14668
1545826505,14754,14754
1545830115,14788,14788
1545833709,14813,14813
1545837311,14910,14910
1545840905,14928,14928
1545844513,14932,14932
1545848114,14938,14938
1545851725,14993,14993
1545855326,15079,15079
1545858933,15082,15082
1545862526,15079,15079
1545866164,15077,15077
1545869794,15070,15070
1545873338,15064,15064
1545876998,15064,15064
1545880550,15083,15083
1545884167,15100,15100
1545887758,15088,15088
1545891365,15086,15086
1545895024,15089,15089
1545898573,15094,15094
