DateTime,AddedIPs,RemovedIPs
1544966187,24,20
1544969779,36,31
1544973364,34,22
1544976967,49,38
1544980583,47,38
1544984223,49,27
1544987816,82,30
1544991396,23,32
1544995001,54,44
1544998591,44,38
1545002192,32,47
1545005787,40,38
1545009360,40,35
1545012961,36,35
1545016559,34,16
1545020172,25,25
1545023796,24,19
1545027388,30,37
1545030991,34,31
1545034587,32,34
1545038210,50,36
1545041791,43,47
1545045402,24,36
1545048961,34,38
1545052587,34,54
1545056139,37,72
1545059752,33,35
1545063381,32,51
1545066980,24,43
1545070591,63,41
1545074194,36,28
1545077848,45,49
1545081407,52,54
1545085039,37,39
1545088612,35,29
1545092193,22,28
1545095861,29,42
1545099426,25,37
1545102987,23,39
1545106614,39,42
1545110191,38,45
1545113767,48,43
1545117352,32,41
1545120978,35,44
1545124569,40,37
1545128157,55,53
1545131721,42,49
1545135356,51,36
1545138954,35,32
1545142545,48,31
1545146171,34,35
1545149791,34,35
1545153390,25,31
1545157003,32,45
1545160616,33,35
1545164212,29,36
1545167797,23,38
1545171385,57,23
1545174987,47,27
1545178565,43,36
1545182180,39,36
1545185782,36,37
1545189365,49,40
1545192975,31,28
1545196576,33,33
1545200191,24,41
1545203760,27,40
1545207339,52,44
1545210939,47,34
1545214546,49,39
1545218127,36,34
1545221750,23,31
1545225329,41,34
1545228947,52,33
1545232552,50,45
1545236138,37,28
1545239752,30,26
1545243370,31,27
1545246952,27,32
1545250570,28,25
1545254175,36,31
1545257780,36,36
1545261369,26,18
1545264968,31,45
1545268589,35,25
1545272210,22,31
1545275892,33,24
1545279420,28,30
1545283040,32,35
1545286606,21,30
1545290241,19,28
1545293827,44,30
1545297428,82,42
1545301086,83,34
1545304673,73,36
1545308240,52,44
1545311820,54,40
1545315408,73,39
1545318985,47,39
1545322607,57,36
1545326214,57,31
1545329818,51,33
1545333377,53,55
1545336992,35,41
1545340585,48,33
1545344167,39,34
1545347785,28,32
1545351379,35,36
1545354988,33,33
1545358576,20,34
1545362165,36,40
1545365761,31,43
1545369340,20,32
1545372947,26,36
1545376556,37,38
1545380150,42,45
1545383816,38,59
1545387346,71,71
1545390960,44,62
1545394539,53,54
1545398153,49,85
1545401752,38,62
1545405358,36,58
1545408967,37,36
1545412569,48,42
1545416194,70,46
1545419796,86,38
1545423415,101,35
1545427024,69,27
1545430597,80,39
1545434190,48,51
1545437810,32,35
1545441405,32,31
1545444996,44,38
1545448576,31,34
1545452205,37,30
1545455797,38,32
1545459393,49,32
1545462994,48,33
1545466584,41,40
1545470171,33,20
1545473775,38,30
1545477380,34,30
1545480969,38,29
1545484593,60,48
1545488157,32,36
1545491764,40,91
1545495373,35,35
1545499035,70,32
1545502607,185,29
1545506209,100,36
1545509829,65,33
1545513435,70,33
1545517027,47,39
1545520628,46,22
1545524202,37,34
1545527799,111,29
1545531397,40,32
1545534987,31,37
1545538614,26,25
1545542216,18,26
1545545799,28,22
1545549426,31,45
1545553025,83,29
1545556710,78,34
1545560264,58,44
1545563858,42,29
1545567458,41,42
1545571051,106,29
1545574655,42,29
1545578265,35,33
1545581879,111,42
1545585453,38,38
1545589113,32,47
1545592676,38,58
1545596288,24,34
1545599899,58,30
1545603501,76,46
1545607064,45,27
1545610656,36,41
1545614236,40,33
1545617847,24,41
1545621462,34,34
1545625042,37,30
1545628621,44,31
1545632204,30,37
1545635812,22,44
1545639425,30,26
1545643048,40,44
1545646608,54,40
1545650214,45,24
1545653805,44,40
1545657408,41,38
1545660997,36,45
1545664601,36,31
1545668205,22,39
1545671786,27,25
1545675392,34,47
1545678996,34,39
1545682581,29,46
1545686179,25,48
1545689789,26,27
1545693391,55,25
1545696976,21,25
1545700578,35,31
1545704195,37,30
1545707791,28,33
1545711374,71,40
1545715007,30,40
1545718602,22,60
1545722203,19,37
1545725811,48,33
1545729414,85,44
1545733031,46,60
1545736645,47,43
1545740217,30,43
1545743808,69,42
1545747403,19,38
1545751005,28,46
1545754623,31,36
1545758216,24,28
1545761823,49,34
1545765450,35,34
1545769048,46,32
1545772643,65,24
1545776232,56,26
1545779836,45,39
1545783428,31,36
1545787023,31,34
1545790605,23,40
1545794206,36,39
