DateTime,Entries,UniqueIPs
1544966187,10930,10930
1544969779,10935,10935
1544973364,10947,10947
1544976967,10958,10958
1544980583,10967,10967
1544984223,10989,10989
1544987816,11041,11041
1544991396,11032,11032
1544995001,11042,11042
1544998591,11048,11048
1545002192,11033,11033
1545005787,11035,11035
1545009360,11040,11040
1545012961,11041,11041
1545016559,11059,11059
1545020172,11059,11059
1545023796,11064,11064
1545027388,11057,11057
1545030991,11060,11060
1545034587,11058,11058
1545038210,11072,11072
1545041791,11068,11068
1545045402,11056,11056
1545048961,11052,11052
1545052587,11032,11032
1545056139,10997,10997
1545059752,10995,10995
1545063381,10976,10976
1545066980,10957,10957
1545070591,10979,10979
1545074194,10987,10987
1545077848,10983,10983
1545081407,10981,10981
1545085039,10979,10979
1545088612,10985,10985
1545092193,10979,10979
1545095861,10966,10966
1545099426,10954,10954
1545102987,10938,10938
1545106614,10935,10935
1545110191,10928,10928
1545113767,10933,10933
1545117352,10924,10924
1545120978,10915,10915
1545124569,10918,10918
1545128157,10920,10920
1545131721,10913,10913
1545135356,10928,10928
1545138954,10931,10931
1545142545,10948,10948
1545146171,10947,10947
1545149791,10946,10946
1545153390,10940,10940
1545157003,10927,10927
1545160616,10925,10925
1545164212,10918,10918
1545167797,10903,10903
1545171385,10937,10937
1545174987,10957,10957
1545178565,10964,10964
1545182180,10967,10967
1545185782,10966,10966
1545189365,10975,10975
1545192975,10978,10978
1545196576,10978,10978
1545200191,10961,10961
1545203760,10948,10948
1545207339,10956,10956
1545210939,10969,10969
1545214546,10979,10979
1545218127,10981,10981
1545221750,10973,10973
1545225329,10980,10980
1545228947,10999,10999
1545232552,11004,11004
1545236138,11013,11013
1545239752,11017,11017
1545243370,11021,11021
1545246952,11016,11016
1545250570,11019,11019
1545254175,11024,11024
1545257780,11024,11024
1545261369,11032,11032
1545264968,11018,11018
1545268589,11028,11028
1545272210,11019,11019
1545275892,11028,11028
1545279420,11026,11026
1545283040,11023,11023
1545286606,11014,11014
1545290241,11005,11005
1545293827,11019,11019
1545297428,11059,11059
1545301086,11108,11108
1545304673,11145,11145
1545308240,11153,11153
1545311820,11167,11167
1545315408,11201,11201
1545318985,11209,11209
1545322607,11230,11230
1545326214,11256,11256
1545329818,11274,11274
1545333377,11272,11272
1545336992,11266,11266
1545340585,11281,11281
1545344167,11286,11286
1545347785,11282,11282
1545351379,11281,11281
1545354988,11281,11281
1545358576,11267,11267
1545362165,11263,11263
1545365761,11251,11251
1545369340,11239,11239
1545372947,11229,11229
1545376556,11228,11228
1545380150,11225,11225
1545383816,11204,11204
1545387346,11204,11204
1545390960,11186,11186
1545394539,11185,11185
1545398153,11149,11149
1545401752,11125,11125
1545405358,11103,11103
1545408967,11104,11104
1545412569,11110,11110
1545416194,11134,11134
1545419796,11182,11182
1545423415,11248,11248
1545427024,11290,11290
1545430597,11331,11331
1545434190,11328,11328
1545437810,11325,11325
1545441405,11326,11326
1545444996,11332,11332
1545448576,11329,11329
1545452205,11336,11336
1545455797,11342,11342
1545459393,11359,11359
1545462994,11374,11374
1545466584,11375,11375
1545470171,11388,11388
1545473775,11396,11396
1545477380,11400,11400
1545480969,11409,11409
1545484593,11421,11421
1545488157,11417,11417
1545491764,11366,11366
1545495373,11366,11366
1545499035,11404,11404
1545502607,11560,11560
1545506209,11624,11624
1545509829,11656,11656
1545513435,11693,11693
1545517027,11701,11701
1545520628,11725,11725
1545524202,11728,11728
1545527799,11810,11810
1545531397,11818,11818
1545534987,11812,11812
1545538614,11813,11813
1545542216,11805,11805
1545545799,11811,11811
1545549426,11797,11797
1545553025,11851,11851
1545556710,11895,11895
1545560264,11909,11909
1545563858,11922,11922
1545567458,11921,11921
1545571051,11998,11998
1545574655,12011,12011
1545578265,12013,12013
1545581879,12082,12082
1545585453,12082,12082
1545589113,12067,12067
1545592676,12047,12047
1545596288,12037,12037
1545599899,12065,12065
1545603501,12095,12095
1545607064,12113,12113
1545610656,12108,12108
1545614236,12115,12115
1545617847,12098,12098
1545621462,12098,12098
1545625042,12105,12105
1545628621,12118,12118
1545632204,12111,12111
1545635812,12089,12089
1545639425,12093,12093
1545643048,12089,12089
1545646608,12103,12103
1545650214,12124,12124
1545653805,12128,12128
1545657408,12131,12131
1545660997,12122,12122
1545664601,12127,12127
1545668205,12110,12110
1545671786,12112,12112
1545675392,12099,12099
1545678996,12094,12094
1545682581,12077,12077
1545686179,12054,12054
1545689789,12053,12053
1545693391,12083,12083
1545696976,12079,12079
1545700578,12083,12083
1545704195,12090,12090
1545707791,12085,12085
1545711374,12116,12116
1545715007,12106,12106
1545718602,12068,12068
1545722203,12050,12050
1545725811,12065,12065
1545729414,12106,12106
1545733031,12092,12092
1545736645,12096,12096
1545740217,12083,12083
1545743808,12110,12110
1545747403,12091,12091
1545751005,12073,12073
1545754623,12068,12068
1545758216,12064,12064
1545761823,12079,12079
1545765450,12080,12080
1545769048,12094,12094
1545772643,12135,12135
1545776232,12165,12165
1545779836,12171,12171
1545783428,12166,12166
1545787023,12163,12163
1545790605,12146,12146
1545794206,12143,12143
1545797808,12141,12141
1545801430,12134,12134
1545805013,12132,12132
1545808614,12132,12132
1545812225,12121,12121
1545815856,12117,12117
1545819475,12110,12110
1545823013,12117,12117
1545826603,12206,12206
1545830225,12226,12226
1545833801,12251,12251
1545837404,12340,12340
1545841002,12352,12352
1545844610,12360,12360
1545848217,12372,12372
1545851831,12427,12427
1545855427,12518,12518
1545859038,12520,12520
1545862628,12522,12522
1545866322,12522,12522
1545869947,12516,12516
1545873448,12511,12511
1545877175,12510,12510
1545880686,12521,12521
1545884315,12532,12532
1545887865,12525,12525
1545891492,12523,12523
1545898774,12530,12530
1545902465,12527,12527
1545905995,12499,12499
1545909603,12475,12475
1545913183,12458,12458
1545916672,12431,12431
1545920224,12412,12412
1545923830,12412,12412
1545927406,12411,12411
1545930979,12405,12405
1545934598,12401,12401
1545938200,12399,12399
1545941805,12425,12425
1545945419,12431,12431
1545949013,12436,12436
1545952623,12428,12428
1545956195,12425,12425
1545959803,12412,12412
1545963413,12418,12418
1545967006,12392,12392
1545970738,12582,12582
1545974347,12663,12663
1545977942,12660,12660
1545981578,12659,12659
1545985157,12697,12697
1545992478,12684,12684
1545995960,12686,12686
1545999570,12682,12682
1546003140,12691,12691
1546006646,12687,12687
1546010234,12690,12690
1546013841,12672,12672
1546017443,12658,12658
1546021104,12549,12549
1546024649,12561,12561
1546028272,12623,12623
1546031878,12683,12683
1546035521,12691,12691
1546039107,12696,12696
1546042725,12725,12725
1546046305,12734,12734
1546049911,12723,12723
1546053496,12725,12725
1546057081,12730,12730
1546060735,12769,12769
1546064359,12754,12754
1546067932,12751,12751
1546071516,12760,12760
1546075119,12793,12793
1546078713,12818,12818
1546082271,12825,12825
1546085859,12815,12815
1546089463,12791,12791
1546093009,12785,12785
1546096639,12792,12792
1546100257,12782,12782
1546103895,12792,12792
1546107473,12742,12742
1546111096,12739,12739
1546114683,12769,12769
1546118272,12779,12779
1546121863,12794,12794
1546125458,12879,12879
1546129048,12884,12884
1546132643,12805,12805
1546136231,12799,12799
1546139831,12801,12801
1546143433,12792,12792
1546147023,12799,12799
1546150614,12799,12799
1546154199,12791,12791
1546157807,12780,12780
1546161421,12780,12780
1546165023,12771,12771
1546168620,12806,12806
1546172221,12827,12827
1546175828,12868,12868
1546179427,12926,12926
1546183020,12930,12930
1546186633,12834,12834
1546190235,12823,12823
1546193849,12829,12829
1546197435,12815,12815
1546201056,12834,12834
1546204653,12846,12846
1546208251,12820,12820
1546211839,12820,12820
1546215447,12816,12816
1546219063,12793,12793
1546222643,12784,12784
1546226240,12792,12792
1546229856,12791,12791
1546233431,12775,12775
1546237060,12762,12762
1546240654,12760,12760
1546244277,12742,12742
1546247885,12732,12732
1546251518,12721,12721
1546255117,12706,12706
1546258720,12697,12697
1546262305,12688,12688
1546265919,12681,12681
1546269470,12672,12672
1546273063,12686,12686
1546276695,12706,12706
1546280297,12695,12695
1546283894,12698,12698
1546287475,12691,12691
1546291109,12742,12742
1546294674,12753,12753
1546298285,12769,12769
1546301857,12800,12800
1546305452,12814,12814
1546309140,12805,12805
1546312699,12793,12793
1546316249,12738,12738
1546319972,12729,12729
1546323525,12734,12734
1546327089,12728,12728
1546330620,12740,12740
1546334324,12746,12746
1546337840,12747,12747
1546341489,12734,12734
1546345054,12737,12737
1546348700,12709,12709
1546352248,12708,12708
1546355837,12697,12697
1546359452,12690,12690
1546363051,12679,12679
1546366670,12659,12659
1546370308,12660,12660
1546373869,12648,12648
1546377486,12661,12661
1546381116,12651,12651
1546384765,12669,12669
1546388304,12725,12725
1546391893,12956,12956
1546399180,13011,13011
1546402753,13011,13011
1546406284,13021,13021
1546409884,12997,12997
1546413509,12991,12991
1546417182,12984,12984
1546420715,13021,13021
1546424339,13058,13058
1546427952,13111,13111
1546431574,13039,13039
1546435094,13038,13038
1546438661,13022,13022
1546442226,12939,12939
1546445837,12944,12944
1546449446,12961,12961
1546453062,12967,12967
1546456647,12985,12985
1546460241,12928,12928
1546463843,12937,12937
1546467444,12925,12925
1546471050,12969,12969
1546474655,12972,12972
1546478255,12970,12970
1546481855,12954,12954
1546485451,12952,12952
1546489057,13025,13025
1546492637,13020,13020
1546496246,13027,13027
1546499844,13027,13027
1546503447,13027,13027
1546507092,13025,13025
1546510683,13024,13024
1546514297,13018,13018
1546517861,13010,13010
1546521453,13057,13057
1546525063,13093,13093
1546528679,13110,13110
1546532251,13115,13115
1546535884,13107,13107
1546539482,13100,13100
1546543070,13149,13149
1546546673,13185,13185
1546550280,13174,13174
1546553897,13167,13167
1546557465,13173,13173
1546561047,13158,13158
1546564639,13158,13158
1546568239,13137,13137
1546571861,13132,13132
1546575481,12931,12931
1546579041,12840,12840
1546582655,12834,12834
1546586271,12820,12820
1546589882,12801,12801
1546593456,12788,12788
1546597059,12789,12789
1546600626,12782,12782
1546604227,12774,12774
1546607833,12831,12831
1546611425,12841,12841
1546615020,12829,12829
1546618630,12822,12822
1546622222,12815,12815
1546625838,12801,12801
1546629439,12789,12789
1546633056,12777,12777
1546636652,12777,12777
1546640273,12778,12778
1546643857,12769,12769
1546647447,12730,12730
1546651041,12724,12724
1546654656,12723,12723
1546658271,12721,12721
1546661858,12717,12717
1546665453,12668,12668
1546669040,12662,12662
1546672642,12648,12648
1546676272,12639,12639
1546679858,12622,12622
1546683454,12615,12615
1546687041,12633,12633
1546690640,12648,12648
1546694210,12660,12660
1546697843,12684,12684
1546701427,12689,12689
1546705024,12697,12697
1546708621,12687,12687
1546712243,12644,12644
1546715867,12652,12652
1546719452,12657,12657
1546723043,12673,12673
1546726645,12672,12672
1546730237,12596,12596
1546733841,12608,12608
1546737437,12611,12611
1546741044,12602,12602
1546744646,12601,12601
1546748253,12602,12602
1546751858,12590,12590
1546755452,12592,12592
1546759046,12611,12611
1546762653,12633,12633
1546766277,12635,12635
1546769852,12659,12659
1546773436,12691,12691
