DateTime,AddedIPs,RemovedIPs
1544904326,2,0
1544907927,2,4
1544911522,1,3
1544915120,1,3
1544922332,1,0
1544925924,3,0
1544929525,1,0
1544936731,0,1
1544940325,0,1
1544943938,1,2
1544947554,1,1
1544951162,3,0
1544954725,1,6
1544958339,6,2
1544961937,1,1
1544965530,0,2
1544972725,1,1
1544976333,2,1
1544979948,2,1
1544983546,6,2
1544987150,3,0
1544990747,4,0
1544994334,0,1
1544997934,4,1
1545001547,0,1
1545005153,2,1
1545008743,1,2
1545012323,1,0
1545015930,0,5
1545019534,0,2
1545023140,0,2
1545026744,2,2
1545030343,1,0
1545033948,3,1
1545037551,3,1
1545041150,1,2
1545044740,1,4
1545048329,2,1
1545051936,1,4
1545055520,1,4
1545059127,3,4
1545062725,2,4
1545066339,5,1
1545069939,4,0
1545073546,2,4
1545077151,0,1
1545080741,2,1
1545084348,2,0
1545087941,0,3
1545091537,1,0
1545095195,1,5
1545098742,1,1
1545102344,0,1
1545105957,1,2
1545109541,3,4
1545113128,2,4
1545116731,1,1
1545120338,2,3
1545123934,2,5
1545127527,3,2
1545131111,1,4
1545134747,10,3
1545138323,4,5
1545141929,2,0
1545145527,3,7
1545149140,12,3
1545152734,2,4
1545156355,3,5
1545159948,5,3
1545163541,0,1
1545167145,0,10
1545170740,2,0
1545174340,2,1
1545177932,2,2
1545181537,2,2
1545185140,2,2
1545188735,1,1
1545192345,1,1
1545199539,0,2
1545203141,1,3
1545206725,0,3
1545210323,2,5
1545213919,2,0
1545217515,8,4
1545221128,3,5
1545224717,4,2
1545228319,2,6
1545231922,3,1
1545235527,3,2
1545239130,3,2
1545242741,2,0
1545246332,1,1
1545249934,2,1
1545253531,2,4
1545257133,3,6
1545260726,1,3
1545264331,2,1
1545267936,3,13
1545271534,13,0
1545275175,1,1
1545278750,4,1
1545282357,1,2
1545285948,5,3
1545289547,1,2
1545293161,1,0
1545296763,3,6
1545300408,2,4
1545303963,1,2
1545307550,2,1
1545311150,5,2
1545314741,2,2
1545318340,4,4
1545321941,5,1
1545325543,2,0
1545329149,2,3
1545332720,5,1
1545336331,7,3
1545339935,2,6
1545343519,1,4
1545347126,5,5
1545350735,1,5
1545354333,1,2
1545357936,1,3
1545361533,1,3
1545365122,0,2
1545368713,1,2
1545372321,4,4
1545375920,1,0
1545379517,3,1
1545383121,3,2
1545386723,2,2
1545390329,5,4
1545393919,1,1
1545397522,1,2
1545401113,4,2
1545404725,1,2
1545408325,3,1
1545411925,2,4
1545415539,0,3
1545419146,3,0
1545422746,4,1
1545426368,3,0
1545429942,3,3
1545433531,0,4
1545437149,1,6
1545440737,1,2
1545444334,1,3
1545447921,1,2
1545451547,0,3
1545455130,0,2
1545458726,4,2
1545462333,1,1
1545465935,5,3
1545469528,4,8
1545473133,0,1
1545476723,2,1
1545480317,4,3
1545483940,0,2
1545487514,2,2
1545491118,1,4
1545494724,2,5
1545498338,3,2
1545501930,0,3
1545505537,3,3
1545509134,4,1
1545512748,2,3
1545516334,1,1
1545519940,3,1
1545523529,7,0
1545527128,3,2
1545530723,0,2
1545534316,0,2
1545537928,1,0
1545541530,1,0
1545545122,2,0
1545548730,0,1
1545552334,2,1
1545555973,1,2
1545559552,0,4
1545563132,2,3
1545566737,2,4
1545577539,1,1
1545581152,1,2
1545584734,3,3
1545588350,2,6
1545591939,4,6
1545595540,4,2
1545599158,0,1
1545602749,0,3
1545606342,0,2
1545613532,0,3
1545617136,0,1
1545620748,56,0
1545624346,24,1
1545627921,6,1
1545631531,2,1
1545635132,1,1
1545638730,2,2
1545642346,1,4
1545645933,5,0
1545649519,0,1
1545653121,0,2
1545656719,3,1
1545660316,1,1
1545663923,2,3
1545667519,1,1
1545671110,0,3
1545674716,2,2
1545678319,2,4
1545681910,0,2
1545685513,0,2
1545689111,1,2
1545692703,1,1
1545696311,3,0
1545699913,0,1
1545703519,0,1
1545707123,2,1
1545710705,2,1
1545714319,0,2
1545717928,1,3
1545721520,1,1
1545725119,1,0
1545728737,2,1
1545732350,4,3
1545735929,2,1
1545739527,6,9
1545743128,0,2
1545746726,3,3
1545750332,0,3
1545753931,0,2
1545757520,0,2
1545761136,2,2
1545764741,1,4
1545768339,1,2
1545771933,2,0
1545775528,1,0
1545779141,1,2
1545782730,0,3
1545786334,1,2
1545789922,2,0
1545793525,1,3
1545797116,0,2
1545800731,1,0
1545807923,3,0
1545811545,1,1
1545815140,1,2
1545818745,1,3
1545822318,1,5
1545825913,3,21
1545829531,1,2
1545833109,3,4
1545836713,3,3
1545840318,0,3
1545843920,4,2
1545847520,0,1
1545851126,2,2
1545854712,3,2
1545858322,3,1
1545861915,4,4
1545865576,4,0
1545869190,0,2
1545872733,11,1
1545876396,1,3
1545879953,2,11
1545883572,0,2
1545887163,2,2
1545890774,1,5
1545894425,3,4
1545897988,0,3
1545901633,3,0
1545905229,2,6
1545908832,2,1
1545912425,2,4
1545915954,1,3
1545919523,0,6
1545923124,2,4
1545926708,3,4
1545930301,4,1
1545933911,6,2
1545937508,2,5
1545941108,2,3
1545944719,2,2
1545948313,1,1
1545951921,2,5
1545955519,0,1
1545959113,1,1
1545962713,1,2
1545966311,1,1
1545969982,3,0
1545977202,2,3
1545980813,0,2
1545984360,0,4
1545988031,1,4
1545991626,3,1
1545995205,2,4
1545998802,1,0
1546002390,13,1
1546005927,2,5
1546009526,4,2
1546013120,1,2
1546016718,1,3
1546020331,2,2
1546023926,2,1
1546027520,3,4
1546031122,1,2
1546034730,1,1
1546038329,1,0
1546041934,1,2
1546045529,1,0
1546049130,4,3
1546052745,0,1
1546056327,1,1
1546059936,3,1
1546063535,1,7
1546067133,2,2
1546070740,1,4
1546074331,2,6
1546077951,3,1
1546081519,0,1
1546085125,4,9
1546088730,1,6
1546092296,4,4
1546095927,4,2
1546099529,2,3
1546103130,1,2
1546106728,0,1
1546110337,1,2
1546113937,2,3
1546117529,2,1
1546121120,1,0
1546124717,0,4
1546128315,0,10
1546131913,1,5
1546139113,1,0
1546146310,0,1
1546149912,0,4
1546153498,2,1
1546157116,1,1
1546160707,2,2
1546164320,2,1
1546167905,2,0
1546171516,6,1
1546175109,0,1
1546178713,3,0
1546182302,1,0
1546185929,1,3
1546189513,1,3
1546193130,1,2
